p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-10000N,0.016229041,0.005518463,0.0036502,0.010668179,0.023717307,0.007277216,0.008354683,0.009105548
DIP-10003N,0,0,0,0,0,0,0,0
DIP-10004N,0,0,0,0,0,0,0,0
DIP-10007N,0,0,0,0,0,0,0,0
DIP-10008N,0.005865617,0.001729318,0.001072414,0.003709845,0.005491639,0.002179217,0.001551279,0.002127544
DIP-10010N,0.019953739,0.006633578,0.000741567,0.003736984,0.011955124,0.004840072,0.001471151,0.004082965
DIP-10014N,0.004942267,0.001843545,0.000598609,0.003540229,0.006920823,0.00125805,0.000854699,0.001693946
DIP-10015N,0,0,0,0,0,0,0,0
DIP-10016N,0,0,0,0,0,0,0,0
DIP-10017N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-10018N,0.007903245,0.004698278,0.003359745,0.008592077,0.007681864,0.004130774,0.005344006,0.006594256
DIP-10019N,0.004197328,0.002751741,0.000854572,0.003760051,0.006742175,0.003009583,0.001217946,0.001639394
DIP-10021N,0.016172701,0.002752678,0.001759521,0.007905471,0.013973846,0.003153022,0.003019224,0.002906326
DIP-10023N,0,0,0,0,0,0,0,0
DIP-10024N,0.016495091,0.003217075,0.000956232,0.003754624,0.018690153,0.004758483,0.002565165,0.001434352
DIP-10029N,0.43786484,0.057056264,0.025076687,0.036072612,0.57841575,0.168357665,0.048630238,0.045930297
DIP-10031N,0,0,0,0,0,0,0,0
DIP-10032N,0,0,0,0,0,0,0,0
DIP-10033N,0,0,0,0,0,0,0,0
DIP-10034N,0.013070873,0.004453907,0.003128289,0.007122523,0.014038159,0.00440844,0.005546997,0.002601585
DIP-10035N,0.010945604,0.002183416,0.001289801,0.005243175,0.013123481,0.004822965,0.004103624,0.00212096
DIP-10037N,0.003361618,0.00115163,0.000636731,0.00655804,0.004741318,0.001677839,0.001985038,0.003128298
DIP-10039N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10041N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10042N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-10043N,0,0,0,0,0,0,0,0
