geneID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
TSPAN6,10.7856,10.767,22.166,81.0857,80.7689,11.0754,4.9049,59.9378,6.5123,45.448,58.5745
TNMD,0.0633,0.0263,0.2386,0,0.0415,0.1419,0.053,0.6792,0.2648,0.285,0.1966
DPM1,26.53,27.0366,29.67,35.4927,28.7767,22.4343,21.7061,30.9227,29.6588,27.4237,30.6205
SCYL3,5.559,7.9781,9.3308,14.3979,10.0182,6.5024,4.9946,10.1373,6.9805,8.1474,11.156
C1orf112,2.3726,2.637,2.3913,3.3948,3.3805,2.0817,2.1145,3.4772,2.2288,2.6901,2.9938
FGR,3.5852,4.7203,8.7333,8.6252,7.4724,4.6767,3.5952,10.1748,8.0447,5.7314,6.803
CFH,26.6639,51.8998,109.0279,94.6987,89.7957,33.6209,37.0155,90.5723,35.3869,80.8783,89.1341
FUCA2,12.9444,15.5646,18.1974,28.2053,37.1444,12.2513,14.1923,25.6906,13.6755,22.0575,27.8682
GCLC,19.129,24.4271,52.3787,97.2444,87.6468,23.6536,15.7012,80.9802,21.0908,73.489,71.7993
NFYA,4.3224,4.0042,5.2537,8.7933,7.8974,3.4571,4.6599,7.2536,5.6819,8.279,8.18
STPG1,0,0,0,0,0,0,0,0,0,0,0
NIPAL3,1.8322,3.1119,4.0736,9.5839,7.5654,1.3607,1.3632,4.9315,2.0145,7.6543,6.5433
LAS1L,22.4054,20.0239,20.2904,19.4481,14.2199,16.9067,17.802,22.6046,24.3605,20.5174,20.5024
ENPP4,6.6372,6.3972,7.8749,6.4767,5.8635,5.5339,8.4141,4.3926,3.5941,5.2246,4.4272
SEMA3F,5.2304,7.0926,24.8196,84.8124,66.1802,6.2344,3.4859,51.6276,11.7631,53.5775,57.392
CFTR,0.0557,0.0116,0.0525,6.4708,0.0639,0.0187,0.0291,0.0679,0.0364,0.0399,0.0691
ANKIB1,9.2198,9.6368,10.4058,12.7289,14.7995,9.2037,8.7732,10.9426,8.3495,11.3332,11.2849
CYP51A1,5.7098,6.7213,6.1076,8.7499,9.8277,6.2828,5.5969,7.4294,7.0561,7.8402,9.1703
KRIT1,9.0602,9.8683,10.682,14.6871,12.0352,9.7298,8.412,11.9133,9.4387,9.3179,12.5478
RAD52,7.3588,10.338,7.2205,9.2255,7.2072,11.8644,10.0128,7.6597,8.7964,6.7299,9.2779
BAD,38.6243,42.6602,29.2841,33.3449,36.9688,36.7238,51.2643,28.831,30.5824,27.8243,33.8987
LAP3,24.5646,27.3141,29.826,29.1394,28.9078,22.9714,26.885,26.2766,43.7875,22.6713,34.1666
CD99,39.4084,56.4928,45.2476,25.4957,51.4977,34.7916,32.4112,29.8232,37.6008,31.1745,31.015
HS3ST1,3.6045,5.0908,8.5593,20.0443,29.2409,4.3998,0.7638,21.3261,3.6329,18.505,24.5674
AOC1,0,0,0,0,0,0,0,0,0,0,0
WNT16,0.0925,0.033,0.0427,0.1768,0.0867,0.083,0.0332,0.0645,0.0968,0.0757,0.0985
HECW1,0.0374,0.1556,0.1747,0.4591,0.4749,0.1846,0.0679,0.3103,0.1696,0.378,0.5036
MAD1L1,8.3684,8.0326,7.9386,10.5076,7.3838,6.3992,6.3166,9.4081,6.7299,8.42,8.7093
LASP1,20.8823,22.4284,27.6906,44.8299,59.8593,23.3125,15.723,44.0654,21.4774,46.0153,47.4973
SNX11,8.26,9.4368,9.2022,10.2426,8.0669,7.5013,11.3507,8.0734,13.6337,8.3035,10.082
TMEM176A,12.4962,15.5835,53.9223,36.3504,46.6146,12.0884,19.2092,77.4961,25.1019,37.2185,66.4176
M6PR,21.334,23.6808,26.6659,36.3274,32.8462,22.7355,21.9468,29.727,25.8029,35.1752,36.0984
KLHL13,7.3559,7.4175,4.1925,4.0944,3.7116,8.1678,6.9773,3.8228,3.4716,3.3406,3.6454
CYP26B1,3.8164,0.6894,1.9892,1.1346,2.251,1.7404,0.9312,4.3471,3.7935,1.9363,1.5565
ICA1,3.0954,3.6255,11.8061,36.08,34.7012,3.4959,1.8905,23.7345,4.1665,22.1621,24.1062
DBNDD1,0.3534,0.7113,3.5857,3.5335,7.7144,0.6003,3.24,3.1565,0.5446,2.7104,3.1878
ALS2,4.476,4.4314,4.5507,4.4347,5.049,4.0773,3.5429,4.9542,4.9853,3.9156,4.0977
CASP10,1.2105,1.2176,2.0888,7.0593,2.8264,1.4511,0.6161,4.4876,1.9161,1.8286,5.8058
CFLAR,24.5557,33.1363,29.5714,21.6747,16.3445,25.5778,18.8119,24.7277,30.2954,21.9334,22.4509
