Entry,Gene names  (primary )
O43657,TSPAN6
Q9H2S6,TNMD
O60762,DPM1
Q8IZE3,SCYL3
Q9NSG2,C1orf112
P09769,FGR
P08603,CFH
Q9BTY2,FUCA2
P48506,GCLC
P23511,NFYA
Q5TH74,STPG1
Q6P499,NIPAL3
Q9Y4W2,LAS1L
Q9Y6X5,ENPP4
Q13275,SEMA3F
P13569,CFTR
Q9P2G1,ANKIB1
Q16850,CYP51A1
O00522,KRIT1
P43351,RAD52
Q92934,BAD
P28838,LAP3
P14209,CD99
O14792,HS3ST1
P19801,AOC1
Q9UBV4,WNT16
Q76N89,HECW1
Q9Y6D9,MAD1L1
Q14847,LASP1
Q9Y5W9,SNX11
Q96HP8,TMEM176A
P20645,M6PR
Q9P2N7,KLHL13
Q9NR63,CYP26B1
Q05084,ICA1
Q9H9R9,DBNDD1
Q96Q42,ALS2
Q92851,CASP10
O15519,CFLAR
P10646,TFPI
Q7L592,NDUFAF7
P52756,RBM5
Q9Y216,MTMR7
P52569,SLC7A2
P84085,ARF5
Q6SZW1,SARM1
Q9Y4D7,PLXND1
P54819,AK2
P28907,CD38
Q02790,FKBP4
O60341,KDM1A
P78332,RBM6
Q8N5S9,CAMKK1
P46063,RECQL
Q96JG6,VPS50
O14558,HSPB6
O14559,ARHGAP33
O14561,NDUFAB1
Q16654,PDK4
Q86VW1,SLC22A16
O75800,ZMYND10
Q2M3G0,ABCB5
Q96QS3,ARX
Q9UJS0,SLC25A13
Q9NRC1,ST7
P30260,CDC27
P02730,SLC4A1
P30988,CALCR
P53701,HCCS
O14641,DVL2
Q9GZN4,PRSS22
Q92900,UPF1
O75563,SKAP2
P05141,SLC25A5
Q9NWR8,MCUB
P31270,HOXA11
P52435,POLR2J
Q9H6R0,DHX33
P50221,MEOX1
Q9UPZ6,THSD7A
P49916,LIG3
Q9H6T3,RPAP3
Q53FZ2,ACSM3
Q96IC2,REXO5
Q6FI81,CIAPIN1
Q8TCT7,SPPL2B
Q7L5A3,FAM214B
Q9P299,COPZ2
P31323,PRKAR2B
Q8N5Y2,MSL3
Q92793,CREBBP
O95153,TSPOAP1
P05164,MPO
P27169,PON1
P16383,GCFC2
Q9H977,WDR54
Q9UKG9,CROT
P21439,ABCB4
Q8IZD2,KMT2E
Q6NTF9,RHBDD2
P57073,SOX8
Q9P2D0,IBTK
O14628,ZNF195
O75592,MYCBP2
Q9UKT7,FBXL3
P20701,ITGAL
Q15119,PDK2
P26006,ITGA3
P17010,ZFX
P13473,LAMP2
P08514,ITGA2B
Q9Y574,ASB4
Q9NZC3,GDE1
Q96EN9,REX1BD
O75462,CRLF1
Q9BZF2,OSBPL7
Q9Y2Y6,TMEM98
Q9Y2T7,YBX2
O76009,KRT33A
Q99558,MAP3K14
Q09428,ABCC8
O60359,CACNG3
Q24JP5,TMEM132A
P63010,AP2B1
P20366,TAC1
O14978,ZNF263
P78423,CX3CL1
Q8TB22,SPATA20
O43497,CACNA1G
Q9NP84,TNFRSF12A
P56179,DLX6
P80192,MAP3K9
P11233,RALA
Q9UHR4,BAIAP2L1
Q6ZMT4,KDM7A
P50549,ETV1
Q53H12,AGK
Q5TAA0,TTC22
Q8N3S3,PHTF2
Q9Y258,CCL26
O94887,FARP2
Q9Y6N9,USH1C
O75223,GGCT
Q9UBU7,DBF4
P21731,TBXA2R
O00458,IFRD1
Q8TCE9,LGALS14
Q12887,COX10
Q9UHL9,GTF2IRD1
Q8N7H5,PAF1
P49754,VPS41
Q17R89,ARHGAP44
Q9BQ52,ELAC2
Q9Y6U3,SCIN
P51689,ARSD
P41247,PNPLA4
