geneID,id,essential
TSPAN6,1,0
TNMD,2,0
DPM1,3,1
SCYL3,4,1
C1orf112,5,0
FGR,6,1
CFH,7,0
FUCA2,8,0
GCLC,9,1
NFYA,10,1
STPG1,11,0
NIPAL3,12,0
LAS1L,13,1
ENPP4,14,1
SEMA3F,15,0
CFTR,16,0
ANKIB1,17,0
CYP51A1,18,1
KRIT1,19,1
RAD52,20,1
BAD,21,1
LAP3,22,0
CD99,23,0
HS3ST1,24,0
AOC1,25,0
WNT16,26,0
HECW1,27,0
MAD1L1,28,1
LASP1,29,1
SNX11,30,0
TMEM176A,31,0
M6PR,32,0
KLHL13,33,0
CYP26B1,34,1
ICA1,35,0
DBNDD1,36,0
ALS2,37,0
CASP10,38,0
CFLAR,39,1
TFPI,40,0
NDUFAF7,41,1
RBM5,42,1
MTMR7,43,0
SLC7A2,44,0
ARF5,45,1
SARM1,46,0
PLXND1,47,0
AK2,48,1
CD38,49,0
FKBP4,50,1
KDM1A,51,1
RBM6,52,1
CAMKK1,53,1
RECQL,54,0
VPS50,55,0
HSPB6,56,0
ARHGAP33,57,0
NDUFAB1,58,1
PDK4,59,1
SLC22A16,60,0
ZMYND10,61,1
ABCB5,62,1
ARX,63,0
SLC25A13,64,1
ST7,65,1
CDC27,66,1
SLC4A1,67,1
CALCR,68,0
HCCS,69,1
DVL2,70,0
PRSS22,71,0
UPF1,72,1
SKAP2,73,0
SLC25A5,74,1
MCUB,75,0
HOXA11,76,0
POLR2J,77,1
DHX33,78,1
MEOX1,79,0
THSD7A,80,0
LIG3,81,1
RPAP3,82,1
ACSM3,83,0
REXO5,84,0
CIAPIN1,85,1
SPPL2B,86,1
FAM214B,87,0
COPZ2,88,0
PRKAR2B,89,1
MSL3,90,0
CREBBP,91,1
TSPOAP1,92,0
MPO,93,1
PON1,94,0
GCFC2,95,0
WDR54,96,1
CROT,97,0
ABCB4,98,1
KMT2E,99,0
RHBDD2,100,1
SOX8,101,1
IBTK,102,1
ZNF195,103,0
MYCBP2,104,0
FBXL3,105,0
ITGAL,106,0
PDK2,107,1
ITGA3,108,1
ZFX,109,1
LAMP2,110,0
ITGA2B,111,1
ASB4,112,0
GDE1,113,0
REX1BD,114,1
CRLF1,115,0
OSBPL7,116,1
TMEM98,117,0
YBX2,118,1
KRT33A,119,0
MAP3K14,120,0
ABCC8,121,0
CACNG3,122,0
TMEM132A,123,0
AP2B1,124,1
TAC1,125,0
ZNF263,126,1
CX3CL1,127,1
SPATA20,128,0
CACNA1G,129,0
TNFRSF12A,130,1
DLX6,131,1
MAP3K9,132,1
RALA,133,1
BAIAP2L1,134,0
KDM7A,135,0
ETV1,136,0
AGK,137,1
TTC22,138,0
PHTF2,139,0
CCL26,140,1
FARP2,141,0
USH1C,142,0
GGCT,143,0
DBF4,144,1
TBXA2R,145,1
IFRD1,146,1
LGALS14,147,0
COX10,148,1
GTF2IRD1,149,0
PAF1,150,1
VPS41,151,1
ARHGAP44,152,0
ELAC2,153,1
SCIN,154,0
ARSD,155,0
PNPLA4,156,1
MYH13,157,0
ADIPOR2,158,0
CDKL3,159,1
UPP2,160,0
PRSS21,161,0
MARK4,162,1
PROM1,163,1
CCDC124,164,0
CEACAM21,165,0
PAFAH1B1,166,1
NOS2,167,0
DNAH9,168,0
KIAA0100,169,1
SLC13A2,170,1
GAS7,171,1
TRAPPC6A,172,0
MATK,173,0
CEACAM7,174,0
CD79B,175,1
SCN4A,176,1
ST7L,177,0
TKTL1,178,0
PAX6,179,0
RPUSD1,180,0
RHBDF1,181,1
LUC7L,182,0
CACNA2D2,183,1
BAIAP3,184,0
TSR3,185,1
PIGQ,186,1
CRAMP1,187,0
TEAD3,188,1
SELE,189,1
DNAJC11,190,1
FMO3,191,0
MYLIP,192,1
NOX1,193,1
E2F2,194,0
PSMB1,195,1
SYN1,196,0
JARID2,197,0
CDKL5,198,1
CAMK1G,199,1
CDK11A,200,1
NADK,201,1
TFAP2B,202,0
TFAP2D,203,0
DLEC1,204,0
CYTH3,205,0
ADAM22,206,1
SYPL1,207,0
CYB561,208,0
SPAG9,209,0
CELSR3,210,1
AASS,211,0
PLEKHG6,212,0
SS18L2,213,1
MPND,214,0
MGST1,215,0
CRY1,216,1
PGLYRP1,217,0
NFIX,218,0
ST3GAL1,219,0
MMP25,220,0
IL32,221,0
PKD1,222,0
MAPK8IP2,223,0
MED24,224,1
RHOBTB2,225,0
HEATR5B,226,0
SEC62,227,1
RPS20,228,1
CSDE1,229,1
UBE3C,230,0
REV3L,231,1
TENM1,232,0
PAX7,233,0
MASP2,234,0
IYD,235,1
FAM76A,236,0
TRAF3IP3,237,0
POMT2,238,0
VTA1,239,1
MLXIPL,240,0
BAZ1B,241,1
RANBP9,242,1
ETV7,243,0
SPRTN,244,1
EEF1AKNMT,245,1
DYRK4,246,0
ZNF207,247,1
UQCRC1,248,1
STARD3NL,249,0
CD9,250,1
HHATL,251,1
NCAPD2,252,1
IFFO1,253,1
GIPR,254,0
PHF7,255,1
SEMA3G,256,0
NISCH,257,0
STAB1,258,0
FUZ,259,0
SLC6A13,260,1
IDS,261,0
PRSS3,262,0
ZNF200,263,0
CD4,264,0
LRRC23,265,1
BTK,266,1
HFE,267,0
SCMH1,268,0
FYN,269,1
HIVEP2,270,0
FMO1,271,0
ELOA,272,1
LYPLA2,273,0
CLCN6,274,0
MRC2,275,1
SLC6A7,276,0
TSPAN9,277,0
BTBD7,278,0
APBA3,279,0
MKS1,280,0
ABHD5,281,1
ANOS1,282,0
AKAP8L,283,1
MBTD1,284,1
UTP18,285,1
RNF216,286,0
TTC19,287,1
PTBP1,288,1
DPF1,289,0
SYT7,290,0
LARS2,291,1
PIK3C2A,292,1
PLAUR,293,1
ANLN,294,1
WIZ,295,0
RABGAP1,296,1
DCN,297,1
QPCTL,298,1
PPP5C,299,1
CEP68,300,0
MAP4K3,301,1
ZBTB32,302,0
TYROBP,303,1
TMEM159,304,0
GABRA3,305,1
BRCA1,306,1
ERCC1,307,1
CD22,308,0
SEMA3B,309,0
MBTPS2,310,1
PRICKLE3,311,0
LTF,312,0
EXTL3,313,1
NR1H4,314,1
ELOVL5,315,1
ALOX5,316,0
KDM5D,317,0
CALCOCO1,318,0
UBR7,319,0
MAP4K5,320,1
EHD3,321,0
PSMC4,322,1
MAN2B2,323,0
SLC7A14,324,0
CLDN11,325,1
SLC25A39,326,1
MVP,327,1
NUB1,328,1
PGM3,329,1
RWDD2A,330,0
CLK1,331,1
POLR3B,332,1
ANGEL1,333,0
RNF14,334,1
DNASE1L1,335,1
DDX11,336,1
HEBP1,337,1
GPRC5A,338,0
MAMLD1,339,1
CD6,340,0
TACC3,341,1
UFL1,342,1
POLA2,343,1
ZC3H3,344,1
