geneID,essential,,geneID2,essential
TSPAN6,NE,,TSPAN6,0
TSPAN6,NE,,TNMD,0
TSPAN6,NE,,DPM1,1
TSPAN6,NE,,SCYL3,1
TSPAN6,NE,,C1orf112,0
TSPAN6,NE,,FGR,1
TSPAN6,NE,,CFH,0
TNMD,NE,,FUCA2,0
TNMD,NE,,GCLC,1
TNMD,NE,,NFYA,1
TNMD,NE,,STPG1,0
TNMD,NE,,NIPAL3,0
TNMD,NE,,LAS1L,1
TNMD,NE,,ENPP4,1
DPM1,E,,SEMA3F,0
DPM1,E,,CFTR,0
DPM1,NE,,ANKIB1,0
DPM1,NE,,CYP51A1,1
DPM1,NE,,KRIT1,1
DPM1,NE,,RAD52,1
DPM1,NE,,BAD,1
DPM1,NE,,LAP3,0
SCYL3,E,,CD99,0
SCYL3,NE,,HS3ST1,0
SCYL3,NE,,AOC1,0
SCYL3,NE,,WNT16,0
SCYL3,NE,,HECW1,0
SCYL3,NE,,MAD1L1,1
SCYL3,NE,,LASP1,1
C1orf112,NE,,SNX11,0
C1orf112,NE,,TMEM176A,0
C1orf112,NE,,M6PR,0
C1orf112,NE,,KLHL13,0
C1orf112,NE,,CYP26B1,1
C1orf112,NE,,ICA1,0
C1orf112,NE,,DBNDD1,0
FGR,E,,ALS2,0
FGR,NE,,CASP10,0
FGR,NE,,CFLAR,1
FGR,NE,,TFPI,0
FGR,NE,,NDUFAF7,1
FGR,NE,,RBM5,1
FGR,NE,,MTMR7,0
CFH,NE,,SLC7A2,0
CFH,NE,,ARF5,1
CFH,NE,,SARM1,0
CFH,NE,,PLXND1,0
CFH,NE,,AK2,1
CFH,NE,,CD38,0
CFH,NE,,FKBP4,1
FUCA2,NE,,KDM1A,1
FUCA2,NE,,RBM6,1
FUCA2,NE,,CAMKK1,1
FUCA2,NE,,RECQL,0
FUCA2,NE,,VPS50,0
FUCA2,NE,,HSPB6,0
FUCA2,NE,,ARHGAP33,0
GCLC,E,,NDUFAB1,1
GCLC,E,,PDK4,1
GCLC,E,,SLC22A16,0
GCLC,E,,ZMYND10,1
GCLC,NE,,ABCB5,1
GCLC,NE,,ARX,0
GCLC,NE,,SLC25A13,1
NFYA,E,,ST7,1
NFYA,E,,CDC27,1
NFYA,E,,SLC4A1,1
NFYA,E,,CALCR,0
NFYA,NE,,HCCS,1
NFYA,NE,,DVL2,0
NFYA,NE,,PRSS22,0
NFYA,NE,,UPF1,1
STPG1,NE,,SKAP2,0
STPG1,NE,,SLC25A5,1
STPG1,NE,,MCUB,0
STPG1,NE,,HOXA11,0
STPG1,NE,,POLR2J,1
STPG1,NE,,DHX33,1
STPG1,NE,,MEOX1,0
NIPAL3,NE,,THSD7A,0
NIPAL3,NE,,LIG3,1
NIPAL3,NE,,RPAP3,1
NIPAL3,NE,,ACSM3,0
NIPAL3,NE,,REXO5,0
NIPAL3,NE,,CIAPIN1,1
NIPAL3,NE,,SPPL2B,1
LAS1L,E,,FAM214B,0
LAS1L,E,,COPZ2,0
LAS1L,E,,PRKAR2B,1
LAS1L,E,,MSL3,0
LAS1L,E,,CREBBP,1
LAS1L,E,,TSPOAP1,0
LAS1L,E,,MPO,1
LAS1L,E,,PON1,0
LAS1L,E,,GCFC2,0
LAS1L,NE,,WDR54,1
ENPP4,E,,CROT,0
ENPP4,NE,,ABCB4,1
ENPP4,NE,,KMT2E,0
ENPP4,NE,,RHBDD2,1
ENPP4,NE,,SOX8,1
ENPP4,NE,,IBTK,1
ENPP4,NE,,ZNF195,0
ENPP4,NE,,MYCBP2,0
SEMA3F,NE,,FBXL3,0
SEMA3F,NE,,ITGAL,0
SEMA3F,NE,,PDK2,1
SEMA3F,NE,,ITGA3,1
SEMA3F,NE,,ZFX,1
SEMA3F,NE,,LAMP2,0
