name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
Q0050,0,0,0,0,0,0,0,0,0,0,0,0
Q0080,0,0,0,0,0,0,0,0,0,0,0,0
Q0085,0,0,0,0,0,0,0,0,0,0,0,0
Q0130,0,0,0,0,0,0,0,0,0,0,0,0
Q0250,0,0,0,0,0,0,0,0,0,0,0,0
Q0275,0,0,0,0,0,0,0,0,0,0,0,0
R0020C,0,0,0,0,0,0,0,0,0,0,0,0
R0030W,0,0,0,0,0,0,0,0,0,0,0,0
YAL001C,2.584420443,3.089811961,3.04125754,2.74339509,2.741338015,2.452950875,2.29994158,1.53105549,1.946840048,1.692293167,2.748998483,2.305271784
YAL002W,0.778610408,1.057330787,1.115441084,0.882326702,0.964638114,0.937496881,0.87620151,0.707822422,0.94680353,0.618855149,0.816135625,0.828107774
YAL003W,17.24337006,6.887967745,11.42292007,15.80873585,23.85299174,22.57262421,24.22416369,28.96613566,38.32251867,20.92561658,20.83117676,15.15824445
YAL004W,0.429271271,0.566539168,0.537210693,0.498161127,0.695371926,0.391299496,0.442402343,0.298448945,0.280944685,0.389968961,0.204926327,0.168113147
YAL005C,119.6118291,130.7785212,134.6798808,125.2801463,133.1467946,91.11238098,97.4883067,97.91129302,97.82466635,89.43602754,94.71897125,86.62847392
YAL007C,1.720929106,1.56429561,1.344580253,1.262261073,1.275747498,1.027853747,1.148505767,1.374993444,2.953093688,3.227140585,2.242576957,2.902512471
YAL009W,1.685832381,1.874812921,1.901495933,1.712463776,2.100827138,1.862394531,1.954750578,1.872101108,1.685089191,1.684249242,1.455614289,1.671269179
YAL010C,0.464665522,0.287026942,0.409891784,0.511897822,0.585691084,0.492305438,0.474912465,0.460317115,0.317688455,0.384720266,0.349161953,0.405764401
YAL011W,0.620747427,0.551257173,0.741658191,0.70174257,0.525386512,0.687203427,0.868619899,0.872404436,0.684032778,0.653571685,0.626409322,0.762141267
YAL012W,11.69655768,2.5649604,5.078540484,4.461665392,4.998408318,4.604348024,6.376806259,22.10804907,22.55441857,14.71712876,15.35919952,13.63550122
YAL013W,3.10839351,3.368515253,2.998146534,2.587557236,2.760912339,2.722141107,3.067852338,3.427049081,2.989955743,2.497450352,2.206885815,2.397299051
YAL014C,2.727846463,3.182468335,3.005002419,3.258510828,3.136473656,3.007111629,3.477074702,3.057323615,2.39012138,2.47744751,2.432296673,2.417886416
YAL015C,1.681151152,1.437250733,0.952672064,1.035125991,1.104312102,1.154840807,1.033494731,1.14307336,1.110223413,1.11756585,1.089087327,1.348686457
YAL016W,10.04126819,14.83791669,12.21485663,12.76871936,12.43188699,13.29018402,10.93587303,7.561551253,8.946041904,8.992612203,7.163835526,7.863073667
YAL017W,4.688187599,5.983943939,5.287001371,4.89812994,5.325990836,5.411382357,4.379981359,2.280861695,3.359107097,3.497648557,2.961410284,3.364016613
YAL018C,0,0,0,0,0,0,0,0,0,0,0,0
YAL019W,0.691173693,0.392894417,0.556423326,0.447611769,0.595736861,0.743126869,0.792058488,2.144022186,2.989551902,1.226510763,1.014253666,1.223079801
YAL021C,4.039519071,3.853133162,4.60031271,4.279691935,4.293453137,4.357098897,4.311188857,4.280499061,6.317344984,4.046137253,3.535977324,4.089906057
YAL022C,2.581271887,2.131942392,2.301477512,1.925975283,1.865403414,1.843698541,2.089052677,2.679467122,3.815299272,2.296642224,1.755737265,1.863348444
YAL023C,9.664665541,7.205713272,6.618379911,5.528359254,5.280285358,5.040447235,5.387357394,8.737896284,15.31245931,12.66054948,11.47082742,10.00528749
YAL024C,0.691580991,0.704428564,0.536443353,0.618821979,0.46434333,0.550872207,0.447481781,0.765521586,1.374037166,1.17688781,1.031074484,1.086378415
YAL025C,0.244764358,0.17969801,0.359909375,0.301283578,0.346056541,0.41516607,0.58535854,2.537919303,1.496702026,0.348911931,0.426434497,0.471960386
YAL026C,1.404757023,1.155684511,1.266043862,1.264332215,1.130631566,1.339438359,1.18410186,1.335870981,1.326424321,1.31840682,1.38340805,1.275076151
YAL027W,1.663284898,1.745100657,1.62903746,1.597303748,1.392710884,1.340282798,1.405521035,0.792415331,1.319817722,1.226167798,1.335427682,1.397339324
YAL028W,0.845973154,2.162970741,2.151378791,1.887923956,1.862685402,1.644479632,1.948069493,0.895903756,0.479912336,0.422832648,0.325022141,0.321458663
YAL029C,2.387258013,1.066221794,1.367922863,1.546612501,1.438933055,1.313548366,1.332713922,4.789830287,2.648189823,2.178161661,2.754044851,2.912669182
YAL030W,2.804752111,4.865768433,4.954084714,4.611591498,4.317577918,4.33957529,4.332282623,3.113357067,2.296164712,2.240419467,2.230144421,1.907772978
YAL031C,2.378870805,2.563721021,2.690376043,2.348365863,2.237126589,2.151063363,2.200807452,1.581015547,2.175941348,1.601788719,1.920125564,1.621947805
YAL032C,0.829750856,0.98093152,0.770795325,0.646205425,0.653441032,0.572434892,0.720805208,0.616320054,0.915415168,0.483387381,0.551638186,0.568327477
YAL033W,2.910305977,1.921357473,1.808686415,1.656286319,1.900877118,1.634493828,1.726743539,2.754839897,4.820210695,2.469391386,3.036149025,2.924528281
YAL034C,3.998084068,7.042648316,7.488078117,7.020941734,8.720105648,7.81626447,8.065723419,4.748554389,4.641182979,2.819498618,2.809088627,2.01150314
YAL034W-A,0.947846969,0.914920132,0.60256965,0.418214132,0.621019324,0.380565206,0.470193813,0.401539584,1.013177633,1.046899756,1.237627268,0.987114787
YAL035W,9.027065595,7.186509132,7.693642299,7.624956608,8.312413533,6.537043254,8.211061954,10.26088651,14.7175792,8.371775468,7.631771247,8.27080043
YAL036C,2.064341426,0.69386369,2.533224185,2.897073269,4.110135317,4.074364265,6.04057757,12.22678264,9.436459222,3.398727815,3.317768017,4.199153582
YAL038W,40.92405701,34.07542356,21.74828339,37.21472486,59.53220495,50.75220108,60.58190918,54.05610784,56.5313975,37.46738052,38.08968989,38.18701935
YAL040C,2.790313482,2.499194543,2.835021416,1.991233031,2.180588325,2.089480599,2.420658589,4.140337388,8.673888683,3.477105141,2.987703482,3.029487292
YAL041W,1.449760556,1.728086273,1.969973564,1.806688309,1.905764222,2.178791125,2.038166007,2.060637077,1.602090518,1.662636042,1.442156712,1.758533517
YAL042W,5.636473973,4.580281417,4.447918971,3.656936169,4.159753482,3.780621449,4.405843417,4.631841501,4.391035398,4.718087991,4.30509154,4.443036397
YAL043C,1.680080374,2.002062162,1.737102509,1.649864753,1.53112948,1.915041169,2.030039271,2.055175026,1.667011897,1.772940914,1.345814347,1.529431025
YAL045C,0,0,0,0,0,0,0,0,0,0,0,0
YAL047C,0,0,0,0,0,0,0,0,0,0,0,0
YAL048C,0,0,0,0,0,0,0,0,0,0,0,0
YAL049C,6.557476839,7.739269734,8.579635938,7.911891619,7.887563705,7.345231056,6.685839812,4.465593259,3.723062913,3.530264298,3.228123665,4.07595404
YAL051W,1.65287741,1.406692545,1.642668883,1.682894667,1.765360236,1.85919408,1.77113684,1.503722151,2.227427681,1.382714232,1.088808974,1.4399091
YAL053W,2.241098682,1.754956643,2.461026033,2.398763339,2.247151454,2.640689611,2.8528862,4.261628548,2.813982248,2.049992283,2.104537209,2.201650143
YAL054C,46.87618637,66.31578954,67.21068827,57.57026418,57.32091268,48.05253728,48.51496124,29.58925629,7.448799611,4.585870902,5.406369845,7.233532747
YAL055W,0.470273018,0.600798706,0.691623132,0.607139945,0.734562417,0.661729117,0.678597013,0.457323889,0.638400694,0.446172168,0.545280218,0.520217002
YAL056W,0.767401973,0.965409358,0.972778002,1.133461515,1.155374288,1.123405655,0.943004072,0.491458167,0.596610675,0.541301916,0.426151107,0.458513935
YAL058W,0,0,0,0,0,0,0,0,0,0,0,0
YAL059W,1.048543036,0.559164375,1.265390913,1.39279,1.584902326,1.713459849,2.477017323,8.886673769,7.044707616,1.00594757,1.345250905,1.57321759
YAL060W,13.29984093,13.26525084,8.248717626,8.496831576,6.603104433,6.094227155,6.214675903,3.195780277,7.786868214,7.097932339,7.098524888,7.18053786
YAL061W,8.41576163,9.214103699,8.06207482,7.260481834,6.098567645,6.250828107,6.771234671,3.226469318,3.266217192,1.628986994,1.215855678,1.492661297
YAL062W,23.70520465,24.607879,21.61985016,18.81837591,16.58996805,13.36211459,12.31370259,13.20725314,19.49793959,12.46991539,10.25828457,11.15429195
YAL063C-A,0,0,0,0,0,0,0,0,0,0,0,0
YAL064W,0,0,0,0,0,0,0,0,0,0,0,0
YAL064W-B,0,0,0,0,0,0,0,0,0,0,0,0
