,D4N
0,4.0
1,0.0
2,0.0
3,0.0
4,7.5
5,3.0
6,1.0
7,0.0
8,0.0
9,6.25
10,2.0
11,4.25
12,2.0
13,0.0
14,1.0
15,1.0
16,0.0
17,0.0
18,0.0
19,16.0
20,1.0
21,2.0
22,3.0
23,2.25
24,1.0
25,0.0
26,8.0
27,0.0
28,0.0
29,0.0
30,1.0
31,6.0
32,0.0
33,1.0
34,7.0
35,25.0
36,1.0
37,1.0
38,0.0
39,8.0
40,0.0
41,2.0
42,4.0
43,1.0
44,1.0
45,0.0
46,0.0
47,0.0
48,1.0
49,2.0
50,2.0
51,0.0
52,5.25
53,13.25
54,23.0
55,11.25
56,3.25
57,0.0
58,1.0
59,0.0
60,3.0
61,0.0
62,2.0
63,0.0
64,0.0
65,4.5
66,0.0
67,30.0
68,2.0
69,1.0
70,2.25
71,5.0
72,1.0
73,1.0
74,0.0
75,0.0
76,0.0
77,3.0
78,6.0
79,0.0
80,0.0
81,29.75
82,7.0
83,0.0
84,14.0
85,1.0
86,1.0
87,2.0
88,5.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,3.0
95,0.0
96,1.0
97,1.0
98,2.0
99,1.0
100,1.0
101,2.0
102,0.0
103,1.0
104,1.0
105,1.0
106,0.0
107,1.0
108,3.0
109,0.0
110,0.0
111,0.0
112,3.0
113,0.0
114,0.0
115,1.0
116,2.0
117,2.0
118,2.0
119,0.0
120,0.0
121,1.0
122,1.0
123,0.0
124,0.0
125,5.25
126,0.0
127,3.0
128,2.0
129,3.0
130,4.0
131,4.0
132,1.0
133,0.0
134,1.0
135,0.0
136,62.5
137,5.0
138,0.0
139,0.0
140,3.0
141,1.0
142,6.25
143,4.5
144,0.0
145,1.0
146,1.0
147,0.0
148,1.0
149,5.0
150,0.0
151,21.0
152,2.25
153,0.0
154,0.0
155,7.0
156,15.75
157,3.0
158,1.0
159,13.75
160,11.25
161,5.0
162,2.25
163,4.25
164,5.25
165,2.0
166,4.0
167,1.0
168,2.0
169,0.0
170,7.25
171,6.5
172,0.0
173,8.25
174,1.0
175,0.0
176,2.0
177,16.0
178,9.0
179,1.0
180,0.0
181,0.0
182,1.0
183,1.0
184,4.0
185,0.0
186,6.0
187,3.0
188,4.0
189,0.0
190,9.25
191,0.0
192,0.0
193,2.0
194,1.0
195,0.0
196,1.0
197,4.25
198,4.0
199,3.5
200,0.0
201,1.0
202,5.0
203,0.0
204,0.0
205,0.0
206,2.0
207,0.0
208,0.0
209,3.0
210,0.0
211,15.0
212,2.0
213,9.25
214,0.0
215,0.0
216,0.0
217,0.0
218,8.0
219,2.0
220,0.0
221,1.0
222,0.0
223,0.0
224,1.0
225,1.0
226,1.0
227,0.0
228,12.75
229,2.0
230,8.5
231,1.0
232,2.0
233,1.0
234,6.75
235,7.0
