,S4N
0,74702500000.0
1,0.0
2,0.0
3,0.0
4,2447325000000.0
5,2405650000.0
6,353404990.475
7,0.0
8,0.0
9,22047000000.0
10,21046837.315
11,27839750000.0
12,17822390.455000002
13,0.0
14,1.5394717500000001
15,17306500000.0
16,0.0
17,0.0
18,0.0
19,9991250000.0
20,1138100000.0
21,8043750000.0
22,71919184.0
23,6300150000.0
24,3634322.9220000003
25,0.0
26,1077285000000.0
27,0.0
28,0.0
29,0.0
30,4788618.78
31,29262250000.0
32,0.0
33,13372.195255
34,68410250000.0
35,958125000000.0
36,1.5405875
37,1.540147725
38,0.0
39,67925250000.0
40,0.0
41,13695100000.0
42,97514500000.0
43,50681285.7
44,28009250000.0
45,0.0
46,0.0
47,0.0
48,1.5441328
49,71905867.785
50,3813625000.0
51,0.0
52,59618250000.0
53,501752500000.0
54,2054300000000.0
55,269417500000.0
56,45699750000.0
57,0.0
58,51526946.2375
59,0.0
60,47866750000.0
61,0.0
62,54112.23435
63,0.0
64,0.0
65,195799000000.0
66,0.0
67,9698750000000.0
68,264000000000.0
69,20218779.122500002
70,20625101293.805
71,168407500000.0
72,2244832.8959999997
73,6086450000.0
74,0.0
75,0.0
76,0.0
77,55586250000.0
78,13543250000.0
79,0.0
80,0.0
81,10450250000000.0
82,121617500000.0
83,0.0
84,482540000000.0
85,51526946.2375
86,347744022.375
87,657325000.0
88,54750500000.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,198189599.2
95,0.0
96,9395263.3475
97,2496.1854485
98,45160250000.0
99,253378.6749
100,57801000000.0
101,6359150000.0
102,0.0
103,49183316.77499999
104,1.5406404999999999
105,1.54298715
106,0.0
107,99160.69035
108,2594300000.0
109,0.0
110,0.0
111,0.0
112,1427040.80625
113,0.0
114,0.0
115,4231.624229999999
116,5813082.074999999
117,1351288146.75
118,39770145.6225
119,0.0
120,0.0
121,1.539988425
122,4788618.742000001
123,0.0
124,0.0
125,272532500000.0
126,0.0
127,17035000000.0
128,15388371.3925
129,217848743.25
130,220917404.375
131,230326781.25
132,12421049.805
133,0.0
134,8905500000.0
135,0.0
136,20895500000000.0
137,55139750000.0
138,0.0
139,0.0
140,195002141.375
141,141142.582
142,147979000000.0
143,91926750000.0
144,0.0
145,654800000.0
146,765300000.0
147,0.0
148,50681285.7
149,1427425000.0
150,0.0
151,16500000000000.0
152,8824875000.0
153,0.0
154,0.0
155,15268000000.0
156,998430000000.0
157,16955823.8275
158,1.5414547250000001
159,376427500000.0
160,86620250000.0
161,57764000000.0
162,47975250000.0
163,29500895175.475
164,92213750000.0
165,28009750000.0
166,21463250000.0
167,753425000.0
168,1016675000.0
169,0.0
170,157725000000.0
171,263322500000.0
172,0.0
173,502460000000.0
174,9239.9959575
175,0.0
176,12802543.372499999
177,268222500000.0
178,25277500000.0
179,353404990.45000005
180,0.0
181,0.0
182,1.5397542
183,1.5412268500000001
184,371671597.25
185,0.0
186,794200000.0
187,131158260.8
188,63052500000.0
189,0.0
190,1572925000000.0
191,0.0
192,0.0
193,126551436.125
194,123510214.1875
195,0.0
196,39980649.3875
197,247162500000.0
198,17956250000.0
199,346335000000.0
200,0.0
201,1.541429025
202,9233000000.0
203,0.0
204,0.0
205,0.0
206,6539250000.0
207,0.0
208,0.0
209,18789250000.0
210,0.0
211,530562500000.0
212,14771500000.0
213,54454500000.0
214,0.0
215,0.0
216,0.0
217,0.0
218,328097500000.0
219,2.474281875
220,0.0
221,478610.33800000005
222,0.0
223,0.0
224,20602500000.0
225,56210516.7
226,12830384.450000001
227,0.0
228,1170050000000.0
229,39730750000.0
230,981650000000.0
231,680954.44825
232,942700000.0
233,5530775000.0
234,648220250000.0
235,20094750000.0
236,31.998099325
237,0.0
238,4089275000000.0
239,119907579.725
240,0.0
241,1444800000.0
242,0.0
243,16521750000.0
244,25687500000.0
245,0.0
246,29860000000.0
247,738958038.25
248,45885.117900000005
249,87275000000.0
250,17796770.165000003
251,0.0
252,1580050000000.0
253,109554459.87
254,0.0
255,456475000000.0
256,0.0
257,256026.96885
258,34070277.81
259,788725000.0
260,33599033.475
261,3143225000.0
262,71459440.85000001
263,46072500000.0
264,148615000000.0
265,0.0
266,104562500000.0
267,117200000000.0
268,85014883.6
269,59064250000.0
270,7846546.3925
271,37791750000.0
272,234966.29745
273,0.0
274,0.0
275,16984250000.0
276,113301647.3
277,1.829542
278,7450000001.155815
279,36471500000000.0
280,1409900000000.0
281,0.0
282,1317807500000.0
283,351750.9975
284,1805450000.0
285,0.0
286,41758750000.0
287,1602825000.0
288,0.0
289,0.0
290,0.0
291,0.0
292,23980000000.0
293,0.0
294,1058100000.0
295,425240000000.0
296,3611825000.0
297,0.0
298,249426250000.0
299,0.0
300,0.0
301,0.0
302,0.0
303,15958730.247499999
304,0.0
305,21046000000.0
306,631000000000.0
307,3726550000.0
308,15853250000.0
309,0.0
310,0.0
311,1.54179035
312,134970.455275
313,99.77927497499999
314,0.0
315,162058449.7
316,185982136.425
317,25904000000000.0
318,0.0
319,0.0
320,0.0
321,1786575000.0
322,0.0
323,0.0
324,17002525000.0
325,16074750000.0
326,779887483.875
327,5893950000000.0
328,71249000000.0
329,0.0
330,0.0
331,197802933.0
332,150548491.89999998
333,980375000.0
334,7056127.5424999995
335,16337048.520000001
336,0.0
337,0.0
338,0.0
339,51048500000.0
340,258418719.875
341,81470000000.0
342,13810250000.0
343,17330000000.0
344,1723625000000.0
345,70038825000.0
346,500967500000.0
347,0.0
348,0.0
349,1.5413497250000001
350,1569225000.0
351,0.0
352,710107500000.0
353,287000000.0
354,0.0
355,0.0
356,388529.93525
357,4883925000.0
358,548400000.0
359,16450644341.81
360,1839650000.0
361,0.0
362,0.0
363,5929025000.0
364,30500000000.0
365,0.0
366,160000000000.0
367,0.0
368,2395150000.0
369,1.54239605
370,824318525.5
371,0.0
372,0.0
373,0.0
374,165631750000.0
375,0.0
376,35663000000.0
377,63362726.8
378,8525270790.335
379,0.0
380,38211750000000.0
381,0.0
382,0.0
383,0.0
384,79942500000000.0
385,1245675000.0
386,0.0
387,0.0
388,129467500000.0
389,49690500000.0
390,0.0
391,0.0
392,7938825000000.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,28483250000000.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,8201800000000.0
419,6900001.157977475
420,0.0
421,257380000000.0
422,78626000000.0
423,0.0
424,0.0
425,0.0
426,10700392049505.547
427,48002327250000.0
428,6925067000052.033
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,38300000000.0
446,0.0
447,4987.4933517
448,4268300000.0
449,479880833.75
450,19300000000.0
451,13900000.0
452,0.0
453,0.0
454,0.0
455,0.0
456,1839650000.0
457,0.0
458,0.0
459,0.0
460,0.0
461,52893250000.0
462,699246.083375
463,0.0
464,2.7007288000000003
465,2.700708375
466,2.7007006999999996
467,12326500000000.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,24673000000000.0
474,18455215.015
475,0.0
476,0.0
477,0.0
478,0.0
479,180182447.23749998
480,1039250000.0
481,19902750000.0
482,0.0
483,4383900000.0
484,0.0
485,0.0
486,157000000.0
487,5951293.805
488,0.0
489,1.540835875
490,66552500000.0
491,22566000000000.0
492,2728922.61375
493,1058100000.0
494,0.0
495,2496.18548375
496,11590422.735
497,1.5418038
498,322944932.9
499,0.0
500,0.0
501,0.0
502,495167575.25
503,649662500000.0
504,495167575.375
505,106503155.95
506,6865949.7615
507,0.0
508,0.0
509,0.0
510,0.0
511,4788618.66975
512,107849440.425
513,0.0
514,0.0
515,0.0
516,220992500000.0
517,0.0
518,0.0
519,13928000000.0
520,133268700.15
521,0.0
522,0.0
523,49281000000.0
524,0.0
525,24866750000.0
526,0.0
527,174000000000.0
528,3612773.3965
529,87860000000.0
530,0.0
531,329125115.0
532,1294025000.0
533,1783500000000.0
534,0.0
535,0.0
536,184.86662149999998
537,0.0
538,48564081.175
539,1.829491075
540,0.0
541,64247707.0
542,0.0
543,6756625000000.0
544,5858450000000.0
545,5657500000.0
546,357280771.775
547,86400000000.0
548,7862200000.0
549,34414000000.0
550,0.0
551,159996359.2
552,192605000000.0
553,2397250000.0
554,18455215.015
555,10235100000.0
556,0.0
557,255130000000.0
558,551955000000.0
559,0.0
560,9310500000.0
561,0.0
562,0.0
563,0.0
564,57801000000.0
565,223820560.8
566,6361217.492500001
567,7053250000.0
568,0.0
569,3016125000.0
570,0.0
571,0.0
572,76725000000.0
573,0.0
574,0.0
575,317286637.375
576,0.0
577,4463250000.0
578,0.0
579,122717972.8
580,2851100000.0
581,54097250000.0
582,0.0
583,39101591.48499999
584,1.5433880500000001
585,1.54125115
586,6187526.21
587,12279805.05
588,0.0
589,36235000000.0
590,0.0
591,52250002.6456368
592,0.0
593,0.0
594,807068258.75
595,0.0
596,148837611.7
597,0.0
598,0.0
599,0.0
600,1462800000000.0
601,0.0
602,4697008.5975
603,247624335.5
604,55619655.975
605,14399000000.0
606,66723087.3125
607,714327500000.0
608,0.0
609,17796770.165000003
610,0.0
611,636197795.375
612,65397500000.0
613,942700000.0
614,63322758.575
615,35017250000.0
616,0.0
617,6410.6689449999985
618,257.689124875
619,29800000000.0
620,68571885.12500001
621,42594250000.0
622,10251750000.0
623,0.0
624,62393596.255
625,24906000000.0
626,37800642.33499999
627,0.0
628,0.0
629,0.0
630,18.3131862
631,0.0
632,58936500000.0
633,18900087.85203
634,61797000000.0
635,0.0
636,30405250000000.0
637,1028134.3007499999
638,22588929.86
639,0.0
640,17670250000.0
641,1428750000.0
642,223180000000.0
643,180885000000.0
644,0.0
645,1.541912575
646,45662250000.0
647,7369000000.0
648,0.0
649,4618600000.0
650,855150000.0
651,0.0
652,6086450000.0
653,1.6897605
654,1050362.9315
655,15013.33061
656,16413.551199999998
657,0.0
658,1411175000.0
659,65971759.2
660,27100000.0
661,240448.00204999998
662,0.0
663,942700000.0
664,3440325000000.0
665,1.5415264000000002
666,0.0
667,0.0
668,0.0
669,0.0
670,973075000.0
671,223452500000.0
672,12522250000.0
673,144485750000.0
674,5471625000000.0
675,0.0
676,1.543707575
677,33500000.0
678,106885000000.0
679,7547000000.0
680,0.0
681,67000000000.0
682,287.53639224999995
683,41.256806600000004
684,12782500000.0
685,0.0
686,1356625000000.0
687,16128500000.0
688,29800000000.0
689,0.0
690,0.0
691,78749953.475
692,942700000.0
693,0.0
694,0.0
695,0.0
696,0.0
697,249747.423325
698,6086450000.0
699,0.0
700,0.0
701,67090000000.0
702,116597500000.0
703,431067144.25
704,57960236.1
705,0.0
706,36222355.7475
707,490867500000.0
708,1.5429043500000001
709,183172045.625
710,217115000000.0
711,634775000.0
712,24068622.06
713,528690000000.0
714,39101591.48499999
715,4883925000.0
716,8905500000.0
717,654800000.0
718,44432250000.0
719,391282216.875
720,0.0
721,0.0
722,36495250000000.0
723,8533500000.0
724,21713000000.0
725,0.0
726,105106903.375
727,13285.354352499999
728,424117500000.0
729,538975000.0
730,20637848.265
731,56225809.485
732,15543250000000.0
733,5376325000.0
734,0.0
735,0.0
736,6871125000.0
737,589600000.0
738,23319000000000.0
739,0.0
740,0.0
741,51866.25704
742,9562750000.0
743,74832.546315
744,41576000000.0
745,21046500000.0
746,0.0
747,0.0
748,35504250000.0
749,541350000.0
750,325998427.0
751,256026.96800000002
752,5589706.1225000005
753,16136000000.0
754,1487200000.0
755,195862500000.0
756,1444800000.0
757,19595750000.0
758,1839650000.0
759,53418250000.0
760,289614205.625
761,377255.10740705
762,0.0
763,0.0
764,0.0
765,58500750000.0
