row,col
1,1560
13,2240
13,2521
20,287
20,761
20,822
20,982
20,1157
20,1600
20,1800
20,1816
20,2641
22,2064
37,38
53,328
53,1440
55,1414
55,1476
57,334
68,306
68,318
68,568
68,809
68,1385
68,1583
68,1672
68,1724
68,1884
68,1887
68,2341
78,1878
85,87
85,1686
85,1688
85,2261
85,2530
85,2554
88,1686
88,1767
89,1184
89,1243
95,1317
100,2261
129,131
131,132
131,178
132,178
132,1447
143,1388
143,2404
150,680
150,2471
165,167
165,601
167,601
168,963
169,1901
171,326
171,1369
171,1678
172,962
172,1387
172,1588
177,1989
178,185
178,389
178,1596
185,188
189,1596
198,1373
199,1851
234,1341
237,1003
245,248
247,601
247,907
247,2114
247,2721
251,2240
254,2012
259,1103
260,264
260,1705
261,264
262,264
262,1705
263,264
264,1514
267,1596
268,1593
273,751
280,318
280,381
280,492
280,1341
280,1389
280,1572
280,1686
280,1715
283,581
283,1341
283,1627
284,1187
287,2615
299,751
299,1145
299,1921
299,2607
306,976
306,1922
306,1923
309,1387
312,915
313,314
316,672
318,385
318,723
318,729
318,1572
318,1672
318,1715
318,1716
318,1724
325,786
326,1387
326,1619
328,1341
328,1366
328,1750
333,1181
334,1686
343,1878
351,1373
357,1510
371,1387
375,1144
375,1349
375,1523
375,1933
379,2279
381,385
381,492
381,558
381,1341
381,1389
381,1672
381,1715
385,474
385,723
385,1493
385,1505
385,1565
385,1588
385,1672
385,1715
385,1716
385,1724
389,1688
427,428
427,429
427,2221
428,1389
428,1594
428,1673
428,1679
463,1380
466,467
468,601
468,711
468,729
468,834
468,978
468,1157
468,1251
468,1385
468,1685
468,1708
468,1724
468,1732
468,1734
468,1917
468,1965
468,1976
468,2064
468,2328
474,492
474,1385
474,1672
474,2530
481,1708
484,1762
484,1818
484,1940
490,666
492,723
492,1588
492,1715
492,1724
492,2341
494,601
497,754
499,754
499,902
513,2074
513,2169
513,2352
513,2353
520,2207
521,1060
529,789
532,662
542,552
542,1644
542,2168
546,547
546,548
547,550
548,1335
549,550
552,2353
552,2553
553,1341
