,I6N
0,1.75918604
1,0.0
2,0.0
3,0.0
4,2.3039849
5,1.785553725
6,1.2349053499999998
7,0.0
8,0.0
9,2.230621175
10,1.5544958
11,1.9954400499999996
12,1.52279404
13,0.0
14,1.2318445
15,1.2349053499999998
16,0.0
17,0.0
18,0.0
19,2.5514461400000004
20,1.2349053499999998
21,1.4702371600000002
22,1.785553725
23,1.6134226249999999
24,1.2349053499999998
25,0.0
26,2.3604173
27,0.0
28,0.0
29,0.0
30,1.2349053499999998
31,2.20738025
32,0.0
33,1.2349053499999998
34,2.2978847
35,2.85702765
36,1.2145648
37,1.2145648
38,0.0
39,2.35410865
40,0.0
41,1.5496467333333335
42,1.9603744499999998
43,1.2349053499999998
44,1.2164379799999998
45,0.0
46,0.0
47,0.0
48,1.2440878999999998
49,1.5544958
50,1.4732570249999999
51,0.0
52,1.9796158399999997
53,2.6286064500000004
54,2.54651414
55,2.5409078750000003
56,1.599459366666667
57,0.0
58,1.2349053499999998
59,0.0
60,1.785553725
61,0.0
62,1.4732570249999999
63,0.0
64,0.0
65,2.0236793
66,0.0
67,2.4865885199999997
68,1.569043
69,1.2349053499999998
70,1.6134226249999999
71,2.0972837999999996
72,1.2164379799999998
73,1.2349053499999998
74,0.0
75,0.0
76,0.0
77,1.6176667500000002
78,2.20738025
79,0.0
80,0.0
81,2.9169783749999993
82,2.2746437750000004
83,0.0
84,2.4889394000000005
85,1.2164379799999998
86,1.2145647599999998
87,1.52279404
88,1.95702444
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,1.607942
95,0.0
96,1.2349053499999998
97,1.2349053499999998
98,1.5544958
99,1.2145647599999998
100,1.2349053499999998
101,1.5544958
102,0.0
103,1.2349053499999998
104,1.2349053499999998
105,1.2349053499999998
106,0.0
107,1.2349053499999998
108,1.785553725
109,0.0
110,0.0
111,0.0
112,1.785553725
113,0.0
114,0.0
115,1.2349053499999998
116,1.5544958
117,1.5544958
118,1.5544958
119,0.0
120,0.0
121,1.2349053499999998
122,1.2349053499999998
123,0.0
124,0.0
125,2.12552305
126,0.0
127,1.785553725
128,1.47023712
129,1.785553725
130,1.88411492
131,1.88411492
132,1.2349053499999998
133,0.0
134,1.2349053499999998
135,0.0
136,3.065135675
137,2.0972837999999996
138,0.0
