,L6N
0,1.03333334
1,0.0
2,0.0
3,0.0
4,0.125
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.1818181875
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,1.1428572
35,2.376363625
36,0.0
37,0.0
38,0.0
39,0.258928575
40,0.0
41,0.0
42,0.5
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,0.0
51,0.0
52,1.36
53,1.01373625
54,0.85
55,1.500000025
56,0.08333333333333333
57,0.0
58,0.0
59,0.0
60,0.6666667
61,0.0
62,0.0
63,0.0
64,0.0
65,0.625
66,0.0
67,2.1951097099999997
68,0.0
69,0.0
70,0.916666675
71,0.8
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,5.155711300000001
82,0.595238125
83,0.0
84,2.9150183480000003
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.6666667
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,1.1500000000000001
126,0.0
127,0.0
128,0.0
129,2.0
130,1.33333334
131,1.33333334
132,0.0
133,0.0
134,0.0
135,0.0
136,1.405223925
137,1.2
138,0.0
139,0.0
140,0.0
141,0.0
142,0.8400000000000001
143,0.63333332
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,1.2380953000000001
152,0.13333334
153,0.0
154,0.0
155,0.8928571525000001
156,0.8717647239999999
157,0.0
158,0.0
159,0.5292307840000001
160,0.142424248
161,0.6607143
162,0.166666675
163,0.475
164,1.12
165,0.0
166,1.4
167,0.0
168,0.0
169,0.0
170,0.44285715999999997
171,0.323809536
172,0.0
173,1.3263889
174,0.0
175,0.0
176,0.0
177,2.08
178,2.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,1.6
185,0.0
186,2.0
187,0.53333336
188,0.4
189,0.0
190,1.35000005
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.6
199,1.2000000499999999
200,0.0
201,0.0
202,0.4
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.53333336
210,0.0
211,1.9230769250000002
212,0.0
213,0.5555555625
214,0.0
215,0.0
216,0.0
217,0.0
218,1.75
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,1.57435896
229,0.0
230,0.475
231,0.0
232,0.0
233,0.0
234,1.38888895
235,0.5714286
236,0.0
237,0.0
238,0.9440994
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.32
245,0.0
246,0.6190476233333334
247,0.4
248,0.0
249,0.22222222
250,0.0
251,0.0
252,1.8259740249999998
253,0.0
254,0.0
255,1.5772727000000002
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.40952382800000003
262,0.6
263,0.31428572
264,0.22222222
265,0.0
266,0.53333336
267,0.8571428999999999
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,8.3829884
280,2.355889775
281,0.0
282,0.40714285799999994
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,2.6250000250000003
293,0.0
294,0.0
295,0.30000000000000004
296,0.0
297,0.0
298,0.15384616
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.12444444400000002
306,0.0
307,1.25
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,7.3515386
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.75555556
326,0.0
327,1.1755968199999998
328,0.41428571999999997
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.5
340,1.0
341,2.0
342,0.64
343,0.0
344,3.0588236
345,0.0
346,3.8333333
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,1.0277778
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.5411765
375,0.0
376,0.4
377,0.0
378,0.0
379,0.0
380,8.7454682
381,0.0
382,0.0
383,0.0
384,11.447195216666666
385,0.0
386,0.0
387,0.0
388,1.5555555333333333
389,0.0
390,0.0
391,0.0
392,2.44391025
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,4.259849624999999
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,3.2630302999999996
419,0.0
420,0.0
421,0.642857175
422,0.5600000199999999
423,0.0
424,0.0
425,0.0
426,2.13684206
427,1.4472132000000002
428,1.13333336
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,1.3333334
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,2.0
462,0.0
463,0.0
464,1.0
465,0.8
466,0.8
467,2.060561508
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,5.795897339999999
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.53333334
484,0.0
485,0.0
486,0.0
487,1.0
488,0.0
489,0.0
490,0.0
491,7.9200002
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,1.0
503,1.0
504,1.0
505,0.0
506,0.6666667
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,1.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,1.0
530,0.0
531,0.0
532,0.0
533,0.397435915
534,0.0
535,0.0
536,0.0
537,0.0
538,0.33333334
539,0.0
540,0.0
541,0.30000000000000004
542,0.0
543,3.35428572
544,3.0677019000000003
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,1.966666675
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.6666666666666666
558,0.50833334
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.58333334
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.53333336
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.5212454240000001
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.8
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,1.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,2.9594871749999996
637,0.0
638,0.0
639,0.0
640,0.5714286
641,0.0
642,0.53333336
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.9669515480000002
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.87777778
672,0.0
673,0.0
674,0.22370766
675,0.0
676,0.0
677,0.0
678,1.4
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,2.336805575
687,0.6666667
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.8
703,0.0
704,0.0
705,0.0
706,0.0
707,0.26666668
708,0.0
709,0.0
710,0.2833333333333334
711,0.0
712,0.0
713,2.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,4.09483882
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,1.0888889599999998
729,0.0
730,0.0
731,0.0
732,7.748105875
733,0.0
734,0.0
735,0.0
736,1.0
737,0.0
738,5.474340374999999
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.32142858
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.75
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.4
766,0.0
767,0.0
768,14.413118960000002
769,0.0
770,0.541666675
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.5
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,3.257352975
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.167619056
807,0.0
808,0.500000025
809,0.0
810,0.0
811,0.0
812,0.0
813,0.53333336
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,3.5509614
826,1.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.5973683940000001
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.20714285999999998
843,1.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,2.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,1.4320512800000003
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,2.6783243
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.458333335
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,1.06666672
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.5866666799999999
902,0.0
903,0.0
904,0.0
905,0.0
906,0.7222222333333334
907,1.6030303166666666
908,0.0
909,0.0
910,1.835858625
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.59444445
921,0.502887704
922,0.0
923,8.6794115
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,2.4761906000000002
936,0.0
937,0.6666667
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.8
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.21428572
963,0.300000005
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,1.1111111166666667
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.625000025
1002,0.0
1003,0.0
1004,0.754035088
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,2.32545454
1023,0.0
1024,0.25
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,3.068181825
1030,0.0
1031,0.5
1032,1.2
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.6933333599999999
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.750000025
1046,0.0
1047,0.43333334
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.17802198200000002
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.6666667
1072,0.56666668
1073,0.0
1074,0.1
1075,0.0
1076,0.0
1077,1.25
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,1.1666666
1084,0.0
1085,0.2857143
1086,0.0
1087,0.0
1088,0.6111111499999999
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.53333336
1103,0.0
1104,0.383333335
1105,0.4
1106,0.0
1107,0.0
1108,0.40000001999999996
1109,0.6666667
1110,2.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,1.8
1127,0.1570512875
1128,0.0
1129,0.0
1130,1.0
1131,0.0
1132,0.38095239999999997
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.75
1138,0.0
1139,0.0
1140,0.575
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,1.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.2492063516666667
1157,0.0
1158,0.8500000000000001
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.166666675
1170,0.0
1171,0.4404762
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.1
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,1.4285715
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.6666667
1201,1.0
1202,1.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,1.3214286
1217,0.6666667
1218,0.800000025
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.8
1226,1.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.8
1234,0.0
1235,0.0
1236,0.232967044
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.6666667
1248,2.125
1249,0.0
1250,1.0
1251,0.0
1252,0.166666675
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,6.51111114
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.30000000000000004
1266,0.53333336
1267,0.0
1268,0.0
1269,0.8
1270,0.0
1271,0.7142857425
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,1.0
1285,1.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,1.19368422
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.5
1305,1.0059908
1306,1.5214285749999998
1307,0.0
1308,8.92397675
1309,0.0
1310,0.4
1311,0.0
1312,0.125
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.7136363400000001
1325,0.0
1326,3.7
1327,4.14191505
1328,0.0
1329,0.5714286
1330,1.6315384500000003
1331,4.59375
1332,0.38614719333333336
1333,0.6666667
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,1.48571424
1339,1.74725275
1340,1.47729786
1341,1.46352944
1342,1.1111111999999999
1343,2.0581818
1344,0.6666667
1345,1.12587415
1346,0.8972148249999998
1347,0.0
1348,1.48758172
1349,1.0
1350,0.0
1351,0.73333334
1352,0.0
1353,5.11393938
1354,0.0
1355,2.3095238
1356,1.4500000000000002
1357,0.6859903500000001
1358,2.038461575
1359,2.0
1360,0.0
1361,0.4111111125
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,2.3333333
1367,5.009137040000001
1368,0.51190478
1369,0.0
1370,0.0
1371,0.33333334
1372,1.3005848
1373,0.0
1374,0.0
1375,0.0
1376,1.8641441200000002
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,1.375
1385,0.0
1386,1.2
1387,0.60000002
1388,2.8210526000000002
1389,0.6666667
1390,4.16
1391,0.0
1392,0.0
1393,0.0
1394,3.02272725
1395,7.276295
1396,7.96009525
1397,5.56233735
1398,1.0
1399,15.167718749999999
1400,4.8567100199999995
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,1.1458334
1408,0.0
1409,0.552564124
1410,9.70765425
1411,0.0
1412,3.7848101250000004
1413,2.301923
1414,0.0
1415,0.0
1416,0.78333334
1417,1.842948775
1418,1.2631578500000002
1419,0.0
1420,4.51130425
1421,6.526315725
1422,0.0
1423,1.03977275
1424,0.31111111333333336
1425,1.977848
1426,1.0
1427,0.51
1428,0.8695652
1429,0.0
1430,0.0
1431,0.8888889000000001
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,1.2
1437,0.0
1438,0.0
1439,1.37857142
1440,0.571428594
1441,0.53333334
1442,0.0
1443,0.0
1444,2.44308994
1445,0.0
1446,0.293333336
1447,0.916666675
1448,0.0
1449,2.1904762000000004
1450,2.866883075
1451,0.32
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,2.483871
1458,0.0
1459,1.3176100749999997
1460,0.0
1461,1.092857125
1462,0.6666667
1463,5.69565225
1464,1.147969378
1465,1.03333334
1466,0.76
1467,0.2
1468,0.0
