,N6N
0,1.4
1,0.0
2,0.0
3,0.0
4,0.13636364
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.275
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,1.7333333
35,4.64832255
36,0.0
37,0.0
38,0.0
39,0.29761906
40,0.0
41,0.0
42,0.6666667
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,2.0
50,0.0
51,0.0
52,1.6800000000000002
53,2.3045787000000004
54,1.26739422
55,2.0111111500000005
56,0.11111111666666666
57,0.0
58,0.0
59,0.0
60,1.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.800000025
66,0.0
67,2.41376862
68,0.0
69,0.0
70,1.75
71,1.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,7.81477935
82,0.983333335
83,0.0
84,3.3904896399999997
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,1.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,1.425
126,0.0
127,0.0
128,0.0
129,3.0
130,2.06666664
131,2.06666664
132,0.0
133,0.0
134,0.0
135,0.0
136,3.58447125
137,1.5
138,0.0
139,0.0
140,0.0
141,0.0
142,1.35
143,0.8000000199999999
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,4.1
152,0.3
153,0.0
154,0.0
155,1.05
156,2.1732539799999997
157,0.0
158,0.0
159,1.13056276
160,0.15636363800000003
161,1.0416667
162,0.25
163,0.64583335
164,1.8300000399999998
165,0.0
166,2.0
167,0.0
168,0.0
169,0.0
170,0.5142857399999999
171,0.426666668
172,0.0
173,1.9032737999999998
174,0.0
175,0.0
176,0.0
177,5.34666672
178,4.2833333
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,2.26666664
185,0.0
186,2.9666667
187,0.8
188,0.53333336
189,0.0
190,1.5138889
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.8000000399999999
199,1.75
200,0.0
201,0.0
202,0.8333333
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.8
210,0.0
211,3.8095239000000003
212,0.0
213,0.7681547900000001
214,0.0
215,0.0
216,0.0
217,0.0
218,2.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,2.20434348
229,0.0
230,0.89484127
231,0.0
232,0.0
233,0.0
234,1.6464285749999998
235,1.3333334
236,0.0
237,0.0
238,1.9643389000000004
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.46666664
245,0.0
246,0.8499999833333334
247,0.53333336
248,0.0
249,0.25
250,0.0
251,0.0
252,3.2947301749999998
253,0.0
254,0.0
255,2.127182525
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.53
262,1.2
263,0.99999996
264,0.25
265,0.0
266,0.8
267,1.025000025
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,9.5573205
280,3.0376429500000004
281,0.0
282,0.43692307599999997
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,3.7749999499999998
293,0.0
294,0.0
295,0.375
296,0.0
297,0.0
298,0.16666666000000002
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.155158734
306,0.0
307,1.8333334
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,8.30932774
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,1.57142852
326,0.0
327,1.5790019599999998
328,0.55714284
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.6666667
340,2.0
341,3.142857
342,0.8
343,0.0
344,3.8385417
345,0.0
346,4.181818
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,2.1136905749999997
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,1.1751191000000003
375,0.0
376,0.5
377,0.0
378,0.0
379,0.0
380,10.2801766
381,0.0
382,0.0
383,0.0
384,15.836659116666667
385,0.0
386,0.0
387,0.0
388,1.8666666666666665
389,0.0
390,0.0
391,0.0
392,5.65892875
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,5.564023499999999
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,4.4423628
419,0.0
420,0.0
421,0.766666675
422,0.8
423,0.0
424,0.0
425,0.0
426,3.3879323999999995
427,2.1557689800000004
428,1.4762647999999998
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,2.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,2.6666667
462,0.0
463,0.0
464,2.0
465,1.6
466,1.6
467,6.52895158
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,6.759161000000001
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.8333333599999999
484,0.0
485,0.0
486,0.0
487,2.0
488,0.0
489,0.0
490,0.0
491,8.94006004
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,2.0
503,2.8
504,2.0
505,0.0
506,1.5
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,2.166666675
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,1.8
530,0.0
531,0.0
532,0.0
533,0.4285714375
534,0.0
535,0.0
536,0.0
537,0.0
538,2.0
539,0.0
540,0.0
541,0.375
542,0.0
543,5.28928636
544,4.248791199999999
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,2.5
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.8888889333333333
558,0.6854256999999999
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.7095238
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.8
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,1.2913533999999998
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,1.6
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,2.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,3.117301525
637,0.0
638,0.0
639,0.0
640,0.8583333499999999
641,0.0
642,0.64
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,1.42362246
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,1.83666666
672,0.0
673,0.0
674,0.23611111666666665
675,0.0
676,0.0
677,0.0
678,1.6914285600000003
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,2.6397526
687,1.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,1.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.39866948
708,0.0
709,0.0
710,0.3611111166666667
711,0.0
712,0.0
713,2.6250000250000003
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,4.4437922
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,1.25
729,0.0
730,0.0
731,0.0
732,8.465212
733,0.0
734,0.0
735,0.0
736,2.0
737,0.0
738,6.184731675
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.441666665
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.85714287
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.53333336
766,0.0
767,0.0
768,32.8041204
769,0.0
770,2.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.6666667
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,3.528409125
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,1.08095238
807,0.0
808,1.125
809,0.0
810,0.0
811,0.0
812,0.0
813,0.8
814,0.0
815,0.0
816,0.0
817,0.0
