ID,SC,DC,EC,IC,LAC,BC,NC
1673,34.14319,11,0.47249225,2.4027913,0.90909094,213.01933,3.4166667
1594,23.729713,10,0.3752874,2.3621817,0,375.41196,0
1389,20.540035,7,0.35272005,2.1952233,1.4285715,57.139816,3.4166667
428,13.464358,5,0.282458,2.0206656,0.4,215.62404,0.5
1414,11.285206,4,0.2590477,1.8998122,0.5,40.9841,0.6666667
1460,9.618915,3,0.24045058,1.7434052,0.6666667,11.574577,1
1476,8.366322,4,0.20411083,1.8998122,0,56.742844,0
1666,7.5725284,3,0.19477302,1.743405,0.6666667,28.64762,1
1426,7.4035482,3,0.19937804,1.743405,0,66.03778,0
1679,7.0026536,5,0.14778411,2.0206656,0,168.32181,0
1424,6.8298364,3,0.1855137,1.743405,0,31.752367,0
1385,6.6280775,3,0.1809166,1.7434052,0,41.65732,0
1741,5.637643,2,0.16525638,1.5330517,1,0,2
1417,4.962608,4,0.09450773,1.8998122,0,125.207375,0
1462,4.6010113,2,0.14578333,1.5330517,0,5.622209,0
1810,3.7763786,3,0.08176008,1.743405,0,110,0
427,3.4143589,3,0.06256913,1.7434052,0,97.411674,0
55,3.2022178,2,0.092709534,1.5330515,0,1.0666667,0
1708,2.98185,2,0.07795389,1.5330517,0,1.0666667,0
1109,2.7146647,2,0.05513686,1.5330517,0,5.823996,0
1419,2.6172316,1,0.0946672,1.2350234,0,0,0
1726,2.4597304,2,0.030739415,1.5330517,0,56,0
2380,2.4070573,2,0.022343487,1.5330517,0,20.738094,0
2221,2.3515337,2,0.01695717,1.5330515,0,14.149767,0
1738,1.8072022,1,0.02951667,1.2350234,0,0,0
1108,1.7114071,1,0.018923929,1.2350234,0,0,0
2523,1.6574111,1,0.016364198,1.2350234,0,0,0
2298,1.6574111,1,0.016364198,1.2350234,0,0,0
429,1.6540064,1,0.012490747,1.2350234,0,0,0
1253,1.5950989,1,0.006200144,1.2350234,0,0,0
2706,1.5430806,1,0,1.2350234,0,0,0
2705,1.5430806,1,0,1.2350234,0,0,0
2263,1.5430747,1,0,1.2350234,0,0,0
1333,1.5430665,1,0,1.2350234,0,0,0
993,1.5420632,1,4.80E-13,1.2350234,0,0,0
994,1.5419713,1,2.59E-15,1.2350234,0,0,0
