ID,SC,DC,EC,IC,LAC,BC,NC
0,1210000000,4,0.006598658,1.9608573,1.5,180.12558,2
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,12500000000,6,0.02120189,2.2079709,0,448.43304,0
5,42200000,3,0.001231702,1.7859654,0,3610.9373,0
6,1135375.2,1,0.000202,1.235122,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,281000000,6,0.003175914,2.2079709,0,6609.945,0
10,347383.34,2,0.000112,1.5548204,0,6532,0
11,114000000,4,0.002024107,1.9608573,0,6552.3506,0
12,373765.94,2,0.000116,1.5548204,0,3268,0
13,0,0,0,0,0,0,0
14,1.5354222,1,0,1.235122,0,0,0
15,159000000,1,0.002387304,1.235122,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,141000000,13,0.00225016,2.620857,0,9930.164,0
20,19800000,1,0.000842,1.235122,0,0,0
21,119000000,2,0.002068353,1.5548204,0,19.561008,0
22,849444.75,3,0.000175,1.7859654,0,3616.7222,0
23,95800000,2,0.001855088,1.5548204,0,12.242228,0
24,43845.438,1,3.97E-05,1.235122,0,0,0
25,0,0,0,0,0,0,0
26,2900000000,7,0.010208751,2.298514,0,10589.39,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,78623.805,1,5.31E-05,1.235122,0,0,0
31,334000000,6,0.003464383,2.2079709,0,11401.769,0
32,0,0,0,0,0,0,0
33,286.19992,1,3.20E-06,1.235122,0,0,0
34,832000000,7,0.005466736,2.298514,1.1428572,4648.5874,1.7333333
35,13500000000,25,0.022039456,2.8684397,2.32,22771.68,4.688889
36,1.5441514,1,0,1.235122,0,0,0
37,1.5420132,1,0,1.235122,0,0,0
38,0,0,0,0,0,0,0
39,838000000,8,0.005486567,2.374225,0.25,12013.369,0.2857143
40,0,0,0,0,0,0,0
41,89500000,2,0.001793243,1.5548204,0,11.586743,0
42,956000000,4,0.005859586,1.9608573,0.5,198.62767,0.6666667
43,1176552.9,1,0.000206,1.235122,0,0,0
44,329000000,1,0.003438529,1.235122,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,832358.06,2,0.000173,1.5548204,1,0,2
50,80800000,2,0.001704044,1.5548204,0,6.874999,0
51,0,0,0,0,0,0,0
52,150000000,5,0.002323348,2.0978262,1.6,140.08289,2
53,5390000000,13,0.013910734,2.620857,0.9230769,31868.203,2.2428572
54,14900000000,22,0.023136891,2.8277733,1,8383.353,1.5087185
55,2370000000,11,0.00922285,2.5416505,1.4545455,13675.337,2
56,254000000,3,0.003019244,1.7859654,0,463.78882,0
57,0,0,0,0,0,0,0
58,988949.1,1,0.000188,1.235122,0,0,0
59,0,0,0,0,0,0,0
60,775000000,3,0.005276944,1.7859654,0.6666667,187.06255,1
61,0,0,0,0,0,0,0
62,1774.5028,2,7.98E-06,1.5548204,0,3268,0
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,376000000,4,0.003674659,1.9608573,0.5,4912.526,0.6666667
66,0,0,0,0,0,0,0
67,1.22E+11,29,0.06624054,2.9112065,3.4482758,45015.707,3.7428572
68,0,0,0,0,0,0,0
69,119578.78,1,6.55E-05,1.235122,0,0,0
70,129219.36,2,6.81E-05,1.5548207,1,0,2
71,1780000000,5,0.008003077,2.0978262,0.8,2997.0654,1
72,54775.523,1,4.44E-05,1.235122,0,0,0
73,46300000,1,0.001289782,1.235122,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,745000000,3,0.005172542,1.7859654,0,2028.1749,0
78,151000000,6,0.002325355,2.2079709,0,6915.975,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,1.27E+11,29,0.06755781,2.9112065,5.1034484,18840.521,7.6331654
82,1740000000,7,0.007905236,2.298514,0.5714286,2482.0405,1
83,0,0,0,0,0,0,0
84,6260000000,13,0.014989772,2.620857,3.6923077,12325.151,4.2727275
85,988949.1,1,0.000188,1.235122,0,0,0
86,6531428,1,0.000484,1.235122,0,0,0
87,11800000,2,0.000652,1.5548207,0,1375.2441,0
88,638000000,5,0.004785982,2.0978262,0,19612.682,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,3436622,3,0.000351,1.7859654,0,440.6309,0
95,0,0,0,0,0,0,0
96,249710.55,1,9.47E-05,1.235122,0,0,0
97,96.93945,1,1.85E-06,1.235122,0,0,0
98,521000000,2,0.004325941,1.5548207,0,104.10668,0
99,6832.55,1,1.57E-05,1.235122,0,0,0
100,701000000,1,0.005016376,1.235122,0,0,0
101,75300000,2,0.001645106,1.5548207,0,44.28198,0
102,0,0,0,0,0,0,0
103,864191.4,1,0.000176,1.235122,0,0,0
104,1.5293537,1,0,1.235122,0,0,0
105,1.5586759,1,0,1.235122,0,0,0
106,0,0,0,0,0,0,0
107,2262.5964,1,9.01E-06,1.235122,0,0,0
108,55600000,3,0.001412629,1.7859654,0.6666667,333.93668,1
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,34902.23,3,3.54E-05,1.7859654,0,6534,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,86.46946,1,1.75E-06,1.235122,0,0,0
116,80565.625,2,5.38E-05,1.5548207,0,3268,0
117,8028693,2,0.000537,1.5548207,0,2269.7036,0
118,664984.25,2,0.000155,1.5548207,0,3268,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,1.5448401,1,0,1.235122,0,0,0
122,78623.805,1,5.31E-05,1.235122,0,0,0
123,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0
125,3200000000,5,0.010717599,2.0978262,1.2,775.1663,1.5
126,0,0,0,0,0,0,0
127,299000000,3,0.003277597,1.7859654,0,5655.877,0
128,399116.88,2,0.00012,1.5548207,0,74.71311,0
129,4810067.5,3,0.000416,1.7859654,2,0,3
130,4896839.5,4,0.000419,1.9608573,1.5,946.8363,2.3333333
131,5075786,4,0.000427,1.9608573,1.5,467.16986,2.3333333
132,313985.2,1,0.000106,1.235122,0,0,0
133,0,0,0,0,0,0,0
134,128000000,1,0.002146644,1.235122,0,0,0
135,0,0,0,0,0,0,0
136,1.53E+11,60,0.07411854,3.0620189,1.2666667,120817.67,3.3467155
137,814000000,5,0.005408089,2.0978262,1.2,195.71573,1.5
138,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0
140,2481520,3,0.000299,1.7859654,0,6534,0
141,2592.4124,1,9.65E-06,1.235122,0,0,0
142,608000000,6,0.004671617,2.2079709,1,1348.9585,1.5
143,224000000,4,0.00283536,1.9608573,0.5,3612.307,0.6666667
144,0,0,0,0,0,0,0
145,11800000,1,0.00065,1.235122,0,0,0
146,9903016,1,0.000596,1.235122,0,0,0
147,0,0,0,0,0,0,0
148,1176552.9,1,0.000206,1.235122,0,0,0
149,28400000,4,0.00101006,1.9608573,0,6593.168,0
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,31000000,2,0.001055072,1.5548207,0,3268,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,211000000,7,0.002752509,2.298514,0.85714287,3295.8098,1
156,4340000000,15,0.012483094,2.6835887,0.93333334,15484.66,2.5174603
157,422329.9,3,0.000123,1.7859654,0,3468.7969,0
158,1.5437788,1,0,1.235122,0,0,0
159,1810000000,13,0.008059249,2.620857,0.61538464,7962.4854,1.1833333
160,786000000,11,0.005314583,2.5416505,0.18181819,11536.479,0.2
161,333000000,4,0.003460801,1.9608573,0.5,3610.7578,0.6666667
162,285000000,2,0.003196937,1.5548207,0,69.62204,0
163,1126680.1,4,0.000201,1.9608573,0.5,6534,0.6666667
164,268000000,5,0.003102135,2.0978262,1.2,8353.553,1.8333334
165,330000000,2,0.003442125,1.5548207,0,3268,0
166,267000000,4,0.003099001,1.9608573,1.5,5085.5527,2
167,10800000,1,0.000622,1.235122,0,0,0
168,17800000,2,0.000799,1.5548207,0,3268,0
169,0,0,0,0,0,0,0
170,1230000000,7,0.006660208,2.298514,0.5714286,1316.7273,0.6666667
171,901000000,4,0.005689668,1.9608573,0,98.9959,0
172,0,0,0,0,0,0,0
173,3130000000,8,0.010603038,2.374225,1.25,3607.9553,1.8095238
174,334.6048,1,3.46E-06,1.235122,0,0,0
175,0,0,0,0,0,0,0
176,322022.94,2,0.000108,1.5548207,0,3268,0
177,4010000000,16,0.012006394,2.710276,2.5,19777.008,6.4333334
178,413000000,9,0.003853786,2.43848,2,4258.739,4.2833333
179,1135375.2,1,0.000202,1.235122,0,0,0
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,1.5405204,1,0,1.235122,0,0,0
183,1.5467367,1,0,1.235122,0,0,0
184,8370363.5,4,0.000548,1.9608573,2,143.58026,2.8333333
185,0,0,0,0,0,0,0
186,17900000,6,0.000801,2.2079709,2,388.93442,2.9666667
187,2424228.2,3,0.000295,1.7859654,0.6666667,234.71773,1
188,1020000000,4,0.006038206,1.9608573,0.5,704.94574,0.6666667
189,0,0,0,0,0,0,0
190,16400000000,9,0.024285277,2.43848,1.3333334,3341.3308,1.5
191,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0
193,693422.5,2,0.000158,1.5548207,0,110.66807,0
194,650771.75,1,0.000153,1.235122,0,0,0
195,0,0,0,0,0,0,0
196,923677.5,1,0.000182,1.235122,0,0,0
197,1790000000,4,0.008022494,1.9608573,0,97.293015,0
198,292000000,4,0.003239146,1.9608573,1,2832.8137,1.3333334
199,1670000000,3,0.00774681,1.7859654,1.3333334,10.84974,2
200,0,0,0,0,0,0,0
201,1.5418668,1,0,1.235122,0,0,0
202,169000000,5,0.00246411,2.0978262,0.4,3851.4336,0.8333333
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0
206,114000000,2,0.002019887,1.5548207,0,18.350666,0
207,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0
209,272000000,3,0.003127276,1.7859654,0.6666667,238.66182,1
210,0,0,0,0,0,0,0
211,7030000000,15,0.01589125,2.6835887,2,8163.7856,3.9761906
212,186000000,2,0.002586931,1.5548207,0,34.848698,0
213,565000000,9,0.004504936,2.43848,0.44444445,1171.385,0.57738096
214,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,3870000000,8,0.011793659,2.374225,1.75,3316.2417,2
219,2.350332,2,1.41E-08,1.5548207,0,3268,0
220,0,0,0,0,0,0,0
221,10063.59,1,1.90E-05,1.235122,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,194000000,1,0.002639521,1.235122,0,0,0
225,1224446.8,1,0.00021,1.235122,0,0,0
226,324394.38,1,0.000108,1.235122,0,0,0
227,0,0,0,0,0,0,0
228,12600000000,12,0.021239644,2.5836942,1.6666666,2460.272,2.1747475
229,612000000,2,0.004689226,1.5548207,0,3268,0
230,11600000000,8,0.020436173,2.374225,0.5,1180.2068,0.95238096
231,16788.355,1,2.46E-05,1.235122,0,0,0
232,16200000,2,0.000762,1.5548207,0,3268,0
233,69200000,1,0.001576127,1.235122,0,0,0
234,916000000,6,0.005736478,2.2079709,1.3333334,792.9532,1.6
235,152000000,7,0.002338152,2.298514,0.5714286,1863.6953,1.3333334
236,2.6911337,1,1.98E-07,1.235122,0,0,0
237,0,0,0,0,0,0,0
238,18100000000,23,0.025488878,2.8423233,0.7826087,35632.684,1.7890443
239,835134.2,1,0.000173,1.235122,0,0,0
240,0,0,0,0,0,0,0
241,30900000,1,0.00105397,1.235122,0,0,0
242,0,0,0,0,0,0,0
243,218000000,7,0.002797458,2.298514,0,5237.9893,0
244,239000000,5,0.002927906,2.0978262,0.4,1189.433,0.5833333
245,0,0,0,0,0,0,0
246,447000000,6,0.004008447,2.2079709,1,1886.9888,1.3
247,8215812,4,0.000543,1.9608573,0.5,284.08554,0.6666667
248,1151.3207,2,6.42E-06,1.5548207,0,3268,0
249,1300000000,9,0.006835396,2.43848,0.22222222,8847.2295,0.25
250,372983.66,1,0.000116,1.235122,0,0,0
251,0,0,0,0,0,0,0
252,19000000000,35,0.026137328,2.9590135,1.8285714,28815.332,3.3663132
253,388523.8,1,0.000118,1.235122,0,0,0
254,0,0,0,0,0,0,0
255,5050000000,11,0.013469704,2.5416505,1.6363636,4663.306,2.2333333
256,0,0,0,0,0,0,0
257,5817.87,1,1.45E-05,1.235122,0,0,0
258,722840,1,0.000161,1.235122,0,0,0
259,11200000,2,0.000633,1.5548207,0,18.932041,0
260,0,0,0,0,0,0,0
261,55100000,7,0.001406916,2.298514,0.5714286,413.91586,0.75
262,1543945.1,2,0.000235,1.5548207,1,0,2
263,728000000,7,0.005112103,2.298514,0.5714286,7418.88,1.6666666
264,1740000000,9,0.007894785,2.43848,0.22222222,6847.87,0.25
265,0,0,0,0,0,0,0
266,1350000000,3,0.006957758,1.7859654,0.6666667,80.33064,1
267,1820000000,7,0.008094879,2.298514,1.1428572,3447.522,1.3666667
268,1911345.1,1,0.000262,1.235122,0,0,0
269,718000000,2,0.005076889,1.5548207,0,443.52368,0
270,184477.84,1,8.14E-05,1.235122,0,0,0
271,372000000,2,0.003656564,1.5548207,0,11.8929205,0
272,1326.5142,1,6.90E-06,1.235122,0,0,0
273,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0
275,298000000,1,0.003270329,1.235122,0,0,0
276,2293831,1,0.000287,1.235122,0,0,0
277,1.7035668,1,1.41E-08,1.235122,0,0,0
278,1.5392607,1,0,1.235122,0,0,0
279,2.79E+11,29,0.10002818,2.9112065,9.448276,5697.427,10.1260605
280,15700000000,19,0.023780186,2.7766368,2.3157895,22256.076,3.0027778
281,0,0,0,0,0,0,0
282,6710000000,14,0.015525597,2.6539354,0.42857143,4137.807,0.46153846
283,2356.198,1,9.20E-06,1.235122,0,0,0
284,32300000,1,0.001076516,1.235122,0,0,0
285,0,0,0,0,0,0,0
286,647000000,4,0.004821009,1.9608573,0,3764.5894,0
287,31300000,4,0.001059839,1.9608573,0,3937.0579,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0
292,325000000,9,0.003414572,2.43848,2.6666667,212.14409,3.9357142
293,0,0,0,0,0,0,0
294,9807857,1,0.000594,1.235122,0,0,0
295,6620000000,5,0.015425962,2.0978262,0.4,445.22345,0.5
296,46800000,1,0.001296788,1.235122,0,0,0
297,0,0,0,0,0,0,0
298,224000000,10,0.002835724,2.4936943,0,13457.213,0
299,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0
303,361586.88,1,0.000114,1.235122,0,0,0
304,0,0,0,0,0,0,0
305,370000000,9,0.003646047,2.43848,0.22222222,15492.877,0.26785713
306,0,0,0,0,0,0,0
307,65300000,8,0.001531019,2.374225,1.25,14823.748,1.8333334
308,85800000,1,0.001755133,1.235122,0,0,0
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,3315.3235,2,1.09E-05,1.5548207,0,3268,0
313,5.057187,1,3.53E-07,1.235122,0,0,0
314,0,0,0,0,0,0,0
315,3264099,1,0.000342,1.235122,0,0,0
316,3173983.2,2,0.000338,1.5548207,0,6532,0
317,1.96E+11,26,0.083867155,2.8801575,7.769231,10832.306,8.618333
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0
321,21100000,2,0.00087,1.5548207,0,3268,0
322,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0
324,34800000,2,0.001118487,1.5548207,0,119.02222,0
325,188000000,8,0.002600149,2.374225,1,4063.378,2.0238094
326,3042743,1,0.000331,1.235122,0,0,0
327,55800000000,26,0.0447756,2.8801575,1.3846154,16867.418,1.8431871
328,948000000,8,0.005834478,2.374225,0.5,8684.329,0.6785714
329,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0
331,3534509.2,1,0.000356,1.235122,0,0,0
332,2925982.5,2,0.000324,1.5548207,0,3268,0
333,15600000,2,0.000748,1.5548204,0,54.42811,0
334,135683.31,1,6.98E-05,1.235122,0,0,0
335,301368,2,0.000104,1.5548204,0,422.27866,0
336,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0
339,698000000,4,0.005006913,1.9608573,0.5,438.72336,0.6666667
340,4340616.5,2,0.000395,1.5548207,1,0,2
341,1220000000,8,0.006629556,2.374225,2,5052.6396,3.142857
342,201000000,5,0.002685207,2.0978262,0.8,4486.684,1
343,290000000,3,0.003229374,1.7859654,0,136.11029,0
344,23500000000,17,0.029072126,2.7345073,3.0588236,16875.86,3.8541667
345,49500000,1,0.001333892,1.235122,0,0,0
346,7600000000,12,0.016524686,2.583694,3.8333333,5835.5503,4.181818
347,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0
349,1.542612,1,0,1.235122,0,0,0
350,21100000,2,0.00087,1.5548207,0,132.96185,0
351,0,0,0,0,0,0,0
352,6450000000,8,0.0152265,2.374225,1,13407.934,2.057143
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,9300.896,1,1.83E-05,1.235122,0,0,0
357,75300000,1,0.001644608,1.235122,0,0,0
358,10600000,1,0.000618,1.235122,0,0,0
359,804270.06,1,0.00017,1.235122,0,0,0
360,30700000,1,0.001050623,1.235122,0,0,0
361,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0
363,69000000,1,0.001574006,1.235122,0,0,0
364,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0
368,32100000,2,0.001073574,1.5548207,0,351.22803,0
369,1.5409036,1,0,1.235122,0,0,0
370,559332.8,2,0.000142,1.5548207,0,24,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0
374,799000000,15,0.005358001,2.6835887,0.6666667,21623.594,1.4392858
375,0,0,0,0,0,0,0
376,524000000,5,0.004337229,2.0978262,0.4,3043.9336,0.5
377,1101209.9,3,0.000199,1.7859654,0,6547.8823,0
378,345239.47,2,0.000111,1.5548207,0,3268,0
379,0,0,0,0,0,0,0
380,2.66E+11,28,0.09779068,2.90148,9.642858,6839.255,10.7429495
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,5.62E+11,42,0.14205958,2.9990847,15.047619,7033.2153,19.948904
385,23100000,1,0.000912,1.235122,0,0,0
386,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
388,1830000000,6,0.008102655,2.2079709,2.3333333,500.593,2.8
389,878000000,4,0.005617188,1.9608573,0,3327.4756,0
390,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
392,80800000000,40,0.053883936,2.9889197,2.25,44846.613,5.7695537
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,2.96E+11,41,0.10307247,2.9941278,4.243902,29941.135,5.8159833
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0
418,65900000000,25,0.048643824,2.8684397,3.28,25941.486,4.3771825
419,1.5437555,1,0,1.235122,0,0,0
420,0,0,0,0,0,0,0
421,3030000000,6,0.010435904,2.2079709,0.6666667,12548.057,0.8
422,477000000,3,0.004140384,1.7859654,0.6666667,360.6459,1
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0
447,1.541591,1,0,1.235122,0,0,0
448,55100000,1,0.001407445,1.235122,0,0,0
449,9381965,3,0.000581,1.7859654,1.3333334,23.421078,2
450,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0
456,30700000,1,0.001050623,1.235122,0,0,0
457,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0
461,819000000,4,0.005423504,1.9608573,2,20.47439,2.6666667
462,2507.7676,1,9.49E-06,1.235122,0,0,0
463,0,0,0,0,0,0,0
464,2.6932178,2,0,1.5548207,1,0,2
465,2.6933978,2,0,1.5548207,1,0,2
466,2.6932201,2,0,1.5548207,1,0,2
467,1.23E+11,58,0.06647349,3.0568435,2.3793104,128151.79,7.6544075
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,2.16E+11,26,0.08799357,2.8801572,6.8461537,10667.398,7.686216
474,289835.97,1,0.000102,1.235122,0,0,0
475,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,232738.75,1,9.14E-05,1.235122,0,0,0
480,0,0,0,0,0,0,0
481,353000000,3,0.003561338,1.7859654,0,6525.265,0
482,0,0,0,0,0,0,0
483,74100000,4,0.001631081,1.9608573,0.5,366.55222,0.6666667
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,129219.36,2,6.81E-05,1.5548207,1,0,2
488,0,0,0,0,0,0,0
489,1.5436596,1,0,1.235122,0,0,0
490,1020000000,5,0.006047288,2.0978262,0,8830.962,0
491,2.74E+11,30,0.099159814,2.9202988,9.666667,11233.303,11.132403
492,36808.188,1,3.64E-05,1.235122,0,0,0
493,9807857,1,0.000594,1.235122,0,0,0
494,0,0,0,0,0,0,0
495,96.9394,1,1.85E-06,1.235122,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0
502,6571250,2,0.000486,1.5548207,1,0,2
503,5910000000,6,0.014566449,2.2079709,1,6542.8765,2.8
504,6571250,2,0.000486,1.5548207,1,0,2
505,2230972.5,2,0.000283,1.5548207,0,3268,0
506,115267.055,3,6.43E-05,1.7859654,0.6666667,6532,2
507,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0
511,78624.16,1,5.31E-05,1.235122,0,0,0
512,1065489,4,0.000196,1.9608573,1,307.8539,2
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,1580000000,3,0.007523929,1.7859654,0,97.56362,0
517,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0
519,225000000,3,0.002844908,1.7859654,0,878.5595,0
520,1928232.2,3,0.000263,1.7859654,0,492.9331,0
521,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0
523,676000000,3,0.004926771,1.7859654,0,2446.184,0
524,0,0,0,0,0,0,0
525,331000000,1,0.003449789,1.235122,0,0,0
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,80487.61,1,5.38E-05,1.235122,0,0,0
529,1410000000,6,0.00712061,2.2079709,1,1653.3856,1.8
530,0,0,0,0,0,0,0
531,5250104,1,0.000434,1.235122,0,0,0
532,14600000,1,0.000725,1.235122,0,0,0
533,13900000000,13,0.022377837,2.620857,0.30769232,6394.2744,0.33333334
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,9.147241,4,4.35E-07,1.9608573,0,13058,0
537,0,0,0,0,0,0,0
538,1031678.75,6,0.000193,2.2079709,0.33333334,16704.807,2
539,1.7034566,1,1.41E-08,1.235122,0,0,0
540,0,0,0,0,0,0,0
541,1264303,5,0.000213,2.0978262,0.4,8058.6504,0.5
542,0,0,0,0,0,0,0
543,72100000000,35,0.050893445,2.9590135,3.8857143,50357.58,6.022368
544,42600000000,23,0.03910697,2.8423233,3.5652175,19608.414,4.709041
545,105000000,3,0.001942724,1.7859654,0,850.9599,0
546,2896925.8,3,0.000323,1.7859654,0,59.71027,0
547,1460000000,5,0.007242376,2.0978262,0,1046.7454,0
548,79200000,2,0.001687051,1.5548207,0,107.25072,0
549,526000000,3,0.004348011,1.7859654,0,1017.7524,0
550,0,0,0,0,0,0,0
551,3481399.8,5,0.000354,2.0978262,2.4,563.455,3
552,2660000000,9,0.009781399,2.43848,0,2769.2366,0
553,31500000,1,0.001063897,1.235122,0,0,0
554,289835.97,1,0.000102,1.235122,0,0,0
