,B4N
0,0.0
1,0.0
2,2160.674165
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1965.4418249999999
10,0.0
11,316.59191
12,0.0
13,7964.552750000001
14,6730.175775
15,0.0
16,14337.8655
17,8736.35425
18,662.9888824999999
19,472.4233
20,1187.8646525
21,7573.04975
22,3833.41115
23,13302.10625
24,10229.57175
25,9559.20675
26,0.0
27,0.0
28,3645.0669000000003
29,0.0
30,1627.1694
31,561.4037475
32,1583.2486750000003
33,2086.98705
34,123.677925
35,2388.7473999999997
36,33764.5
37,0.0
38,0.0
39,6269.880250000001
40,6386.82525
41,2715.480225
42,0.0
43,4850.738
44,57661.185
45,0.0
46,15444.88475
47,0.0
48,35741.691999999995
49,0.0
50,0.0
51,0.0
52,8710.845037500001
53,0.0
54,2280.412175
55,0.0
56,8125.5
57,8742.55
58,0.0
59,0.0
60,0.0
61,0.0
62,5803.326675
63,0.0
64,0.0
65,4786.66065
66,0.0
67,0.0
68,14545.031625
69,26631.88925
70,18662.92525
71,267.519195
72,81895.38
73,17690.657499999998
74,5016.783375
75,898.6956475000001
76,102139.39749999999
77,16327.098625
78,5301.164025
79,16691.54725
80,384.719255
81,0.0
82,6969.478099999999
83,0.0
84,566.01
85,11363.31775
86,0.0
87,0.0
88,0.0
89,1714.3829
90,8129.333333333333
91,0.0
92,302.228165
93,12467.6735
94,636.8341125
95,0.0
96,0.0
97,435679.9775
98,4885.824125
99,7881.4299249999995
100,0.0
101,0.0
102,53.445965
103,96.67394466666667
104,48388.56925
105,656.6432075
106,0.0
107,0.0
108,0.0
109,1700.6907049999998
110,1585.4004750000001
111,21566.052750000003
112,69.59884625000001
113,6097.277925
114,239970.0875
115,0.0
116,0.0
117,47793.95175
118,0.0
119,8208.20845
120,0.0
121,0.0
122,12222.57775
123,636.4207125
124,5108.38985
125,31455.16875
126,12003.696125
127,1163.43365
128,400.29400000000004
129,0.0
130,0.0
131,0.0
132,7164.148
133,675.94691
134,5893.484200000001
135,16596.729000000003
136,78987.51525
137,3480.2850249999997
138,2258.7179250000004
139,0.0
140,0.0
141,23590.10175
142,218.18509
143,890.082725
144,4162.701274999999
145,0.0
146,797.489425
147,0.0
148,2682.3560150000003
149,0.0
150,3530.046275
151,652.16475
152,909.0622425000001
153,49.150853999999995
154,0.0
155,2696.4906
156,0.0
157,2068.5325999999995
158,814.14483
159,137.7276225
160,0.0
161,2.09299135
162,147474.5625
163,347.713575
164,12722.326
165,24910.257999999998
166,57.7853575
167,0.0
168,673.284165
169,2252.409675
170,5954.5824250000005
171,0.0
172,0.0
173,0.0
174,94876.395
175,0.0
176,0.0
177,6260.124374999999
178,2105.5316333333335
179,27150.037750000003
180,11405.794074999998
181,67083.30050000001
182,7525.335375
183,0.0
184,0.0
185,0.0
186,0.0
187,849.363305
188,5724.4754
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,1999.254825
195,0.0
196,0.0
197,0.0
198,10475.290675
199,0.0
200,162481.535
201,31188.571500000002
202,122045.40874999999
203,489182.315
204,518.5397125
205,283.255695
206,5622.820625
207,2173.522225
208,1381.4592
209,16623.538249999998
210,0.0
211,0.0
212,8815.735999999999
213,0.0
214,12445.8355
215,252.241045
216,689.0701625
217,3656.8494666666666
218,0.0
219,0.0
220,979.1527000000001
221,0.0
222,23138.68075
223,1931.8629
224,0.0
225,14989.911999999998
226,0.0
227,0.0
228,0.0
229,0.0
230,115561.6025
231,0.0
232,4136.090325
233,6933.698725
234,0.0
235,15986.360499999999
236,7336.313999999999
237,33617.70375
238,0.0
239,29.8680935
240,1267.9822167500001
241,0.0
242,0.0
243,129.950275
244,92622.875
245,0.0
246,0.0
247,3448.2353000000003
248,0.0
249,0.0
250,8237.142925
251,0.0
252,15528.138125000001
253,97.96721400000001
254,9651.647074999999
255,426.87392750000004
256,663.7359325
257,16363.48675
258,3245.8457875
259,0.0
260,8665.361975
261,18538.86525
262,0.0
263,0.0
264,0.0
265,671.786601
266,2915.771325
267,0.0
268,3241.600975
269,0.0
270,418.29015749999996
271,7594.29095
272,0.0
273,0.0
274,51467.063500000004
275,27840.461500000005
276,0.0
277,107418.61624999999
278,16957.61075
279,17220.02825
280,93230.9
281,0.0
282,47235.1015
283,0.0
284,16603.689
285,0.0
286,14226.454249999999
287,0.0
288,0.0
289,0.0
290,0.0
291,214.96818837499998
292,0.0
293,49.4352165
294,0.0
295,25222.46175
296,0.0
297,8881.22275
298,14306.8975
299,181544.5025
300,689.0743975
301,736.890585
302,43452.2245
303,565.5483425
304,171.98603000000003
305,17015.67225
306,0.0
307,58364.438
308,14133.101750000002
309,4499.86075
310,2508.453775
311,0.0
312,0.0
313,2550.142575
314,3579.1362375
315,10905.623
316,2454.967625
317,3144.33275
318,0.0
319,0.0
320,0.0
321,30511.365499999996
322,7608.891524999999
323,10953.76875
324,0.0
325,0.0
326,8125.5
327,154704.48375
328,1271018.525
329,3257.189325
330,0.0
331,0.0
332,0.0
333,699.30941
334,1.5
335,0.0
336,701.5403225
337,4686.3112
338,30740.323
339,0.0
340,645.0102400000001
341,0.0
342,23886.96025
343,3750.460575
344,0.0
345,0.0
346,500.27342999999996
347,3677.0017749999997
348,0.0
349,4673.4696
350,183.6603075
351,0.0
352,2299.66735
353,1057.34445
354,1222.3203250000001
355,0.0
356,1089.5584375
357,27735.3715
358,0.0
359,10659.7695
360,109314.43650000001
361,1707.343075
362,87842.7575
363,2146.79185
364,267596.72
365,5534.4443249999995
366,6162.591375
367,1728.4876925
368,0.0
369,20136.40475
370,5986.3953
371,0.0
372,0.0
373,4822.422275
374,0.0
375,0.0
376,0.0
377,0.0
378,57.13332
379,78107.3625
380,0.0
381,0.0
382,0.0
383,14783.152250000001
384,0.0
385,2902.11496
386,50.353989999999996
387,0.0
388,387.1052475
389,2080.30705
390,216.13944333333333
391,0.0
392,9096.3915
393,33.916435
394,31620.263750000002
395,1158.911725
396,87.91350499999999
397,0.0
398,0.0
399,6992.283275
400,715.191305
401,0.0
402,0.0
403,1265.270125
404,0.0
405,32003.259499999996
406,0.0
407,45768.387
408,0.0
409,8190.0
410,2521.22265
411,86843.9975
412,5819.287475
413,30044.9765
414,59081.508
415,0.0
416,0.0
417,52.55436125
418,4776.1581
419,0.0
420,0.0
421,0.0
422,7350.6022825
423,0.0
424,0.0
425,161.28923
426,0.0
427,19940.816
428,0.0
429,20066.61625
430,0.0
431,68805.535
432,11311.622125000002
433,0.0
434,0.0
435,16722.03775
436,7402.87035
437,0.0
438,5673.0912499999995
439,0.0
440,392.23295666666667
441,9198.411250000001
442,631.6081675
443,0.0
444,4799.939833333334
445,10628.529750000002
446,14655.309249999998
447,22653.162750000003
448,0.0
449,37367.344
450,894.219875
451,8178.6035
452,8492.529
453,0.0
454,0.0
455,0.0
456,11122.19425
