row,col
3,1114
3,2772
3,2817
9,296
10,939
10,1765
10,3255
10,3471
10,3822
10,4735
11,2872
12,1747
12,3614
13,476
13,956
13,3963
13,4503
13,4511
13,4899
14,68
14,473
14,902
14,1246
14,1297
14,1760
14,2136
14,2215
14,2579
14,3422
14,4006
14,4761
14,5092
15,968
15,2117
15,2625
15,3390
16,1529
17,98
17,980
17,1078
17,1383
17,1809
17,2255
17,2466
17,3990
17,4256
17,4482
17,4594
18,231
18,3715
18,3878
18,4825
19,1648
19,4173
20,1431
20,2338
21,204
21,507
21,616
21,640
21,971
21,1270
21,2536
21,2729
21,2737
21,3643
21,3681
21,3807
21,3929
22,29
22,709
22,751
22,1581
22,1754
22,2057
22,2191
22,2255
22,2500
22,3722
22,4003
22,4207
22,4338
22,4385
22,4828
23,475
23,880
23,1358
23,1431
23,1592
23,1688
23,2832
23,3799
23,5060
24,215
24,448
24,2219
24,3100
24,3156
24,3634
25,165
25,258
25,329
25,2584
25,4282
26,204
26,735
26,939
26,1167
26,1757
26,1922
26,1969
26,2588
26,3277
26,3920
26,4141
26,4225
26,4733
27,1207
27,1706
28,77
29,329
29,2139
29,2255
29,2458
31,53
31,755
31,4823
32,361
32,1118
32,1217
32,3601
32,4312
32,4718
33,137
33,329
33,795
33,3325
34,303
34,882
34,1409
34,1757
34,2910
34,3338
34,3886
35,1188
36,329
36,475
36,1431
37,201
37,769
37,1102
37,1146
37,1695
37,1702
37,2054
37,2650
37,2883
37,2945
37,3107
37,3226
37,3419
37,3425
37,3491
37,3565
37,3806
37,3866
37,4055
37,4401
37,4827
37,4876
38,2767
39,363
40,615
40,1739
40,1909
40,2747
41,258
41,603
41,1206
41,1344
41,1704
41,1894
41,2451
41,3273
41,3720
41,3886
41,4475
41,4672
41,4966
42,468
42,924
42,1950
42,2588
42,2594
44,329
44,1695
44,2609
44,2781
44,3094
44,3279
44,4055
44,4594
44,4713
45,365
45,1116
45,1413
45,1640
45,1701
45,1785
45,1938
45,2004
45,2046
45,2076
45,2377
45,2491
45,2609
45,2910
45,2944
45,3083
45,3300
45,3437
45,3876
45,3905
45,3996
45,4044
45,4551
45,4837
45,5036
46,795
46,3580
47,958
47,983
47,1046
47,1055
47,1431
47,1942
47,2509
47,2749
47,2819
47,2852
47,2992
47,3224
47,3364
47,3683
47,3779
47,4083
47,4162
47,4525
47,5018
48,1072
48,2724
49,480
49,1295
49,1769
49,2001
49,2255
49,2268
49,2362
49,3165
49,3306
49,3497
49,3672
49,4002
49,4054
49,4775
50,1413
52,4674
53,1401
53,3198
53,3375
53,3422
53,3585
53,4504
55,646
55,1014
55,1921
55,3655
55,4281
56,1330
57,2408
57,4569
58,288
58,1129
58,1409
58,1461
58,1757
58,3885
63,2219
63,2999
63,3753
64,5034
65,2747
66,1417
66,2151
67,3661
68,1760
68,2747
69,329
69,1409
69,1461
69,1678
69,3376
69,3416
69,3427
69,3672
69,4055
69,4488
70,115
70,175
70,343
70,418
70,853
70,914
70,1189
70,1383
70,1592
70,2224
70,2432
70,2597
70,2819
70,2832
70,3141
70,4817
71,204
71,827
71,878
71,1381
71,2452
71,2588
71,2622
71,3554
71,3727
71,3807
71,3825
71,4157
71,4316
72,138
72,2747
72,3216
72,3682
72,4765
73,479
73,810
73,958
73,1007
73,1025
73,1196
73,1431
73,1453
73,1581
73,2061
73,2111
73,2171
73,2429
73,2767
73,3208
73,3210
73,3334
73,3498
73,3727
73,3920
73,4068
73,4090
73,4410
73,4564
73,4606
73,4669
73,4739
73,4868
74,183
74,795
74,973
74,1747
74,1830
74,2362
74,3578
74,3963
74,4287
75,630
75,701
75,749
75,880
75,1886
75,2076
75,2139
75,3578
75,3799
75,4084
76,777
76,2111
77,78
77,79
77,278
77,1137
77,1278
77,1297
77,2157
77,2309
77,2320
77,2400
77,2477
77,2487
77,2561
77,2702
77,2966
77,3075
77,3144
77,3308
77,3559
77,3753
77,3846
77,3860
77,4269
77,5035
78,1075
78,1683
78,1849
78,2136
78,2662
78,3580
78,4924
78,5035
79,2747
80,245
80,380
80,473
80,535
80,636
80,2681
80,2747
80,3100
81,1639
81,2111
81,2946
81,3100
81,4761
81,5091
82,1072
82,1863
82,3457
82,3513
83,1419
83,3286
83,3472
83,3672
84,2724
85,281
85,1656
86,858
86,3252
86,3672
86,5002
88,4878
89,3519
90,773
90,3458
90,4339
92,406
92,898
92,1793
92,1848
92,2339
92,2413
92,2991
92,3707
92,3955
92,4118
92,4251
92,4333
92,4623
92,5073
93,4249
93,4829
94,316
94,408
94,504
94,555
94,773
94,846
94,1027
94,1384
94,1884
94,2198
94,2563
94,3061
94,3189
94,3992
94,4358
94,4734
94,5045
95,365
95,519
95,944
97,1203
98,125
98,135
98,165
98,182
98,236
98,272
98,280
98,309
98,321
98,411
98,461
98,482
98,535
98,577
98,582
98,587
98,615
98,670
98,694
98,718
98,764
98,766
98,1020
98,1025
98,1124
98,1150
98,1301
98,1323
98,1336
98,1431
98,1558
98,1625
98,1683
98,1747
98,1761
98,1789
98,1790
98,2046
98,2071
98,2128
98,2219
98,2388
98,2429
98,2439
98,2453
98,2477
98,2488
98,2500
98,3006
98,3014
98,3069
98,3081
98,3193
98,3207
98,3300
98,3396
98,3418
98,3722
98,3752
98,3787
98,3839
98,3890
98,3916
98,3968
98,3977
98,3989
98,3995
98,4020
98,4026
98,4034
98,4045
98,4138
98,4215
98,4465
98,4527
98,4606
98,4640
98,4646
98,4723
98,4766
98,4833
98,4908
98,4957
98,5004
98,5069
99,447
