ID,SC,DC,EC,IC,LAC,BC,NC
329,3.47E+08,209,0.1895296,3.7307916,1.2344497,1520596.1,27.210197
204,2.38E+08,87,0.15713818,3.6411407,1.2183908,441773,4.6953855
3720,2.05E+08,83,0.14574887,3.6339154,1.3493975,350276.12,4.624175
1570,2.02E+08,86,0.14491525,3.6394079,3.511628,440897.5,16.871742
3578,2.01E+08,103,0.14449361,3.6643758,1.3009709,484104.06,7.7819934
2139,1.85E+08,78,0.13843788,3.6240373,2.4102564,250847.23,8.879482
1837,1.72E+08,67,0.13359785,3.597337,0.7761194,160424.1,2.617387
1520,1.39E+08,56,0.12016389,3.5610318,1.1785715,157546.55,3.0711422
1522,1.23E+08,64,0.11306258,3.5886397,1.625,255337.67,6.1175547
3348,1.02E+08,60,0.10295016,3.5756352,1,167629.17,2.6817381
4055,1.02E+08,141,0.10264192,3.6992881,1.4893616,978445,19.067242
3799,1.01E+08,40,0.10266171,3.4762843,3.5,99647.375,5.554684
3277,1.00E+08,55,0.10207627,3.5570176,1.4181818,180450.9,3.542997
2339,8.71E+07,81,0.092618674,3.6301045,4.123457,266104.6,19.684881
2747,8.61E+07,204,0.09385469,3.7291334,0.21568628,1681256.1,4.566604
361,8.46E+07,59,0.09362542,3.5721219,0.6440678,199408.16,2.4787414
1592,8.45E+07,47,0.093569994,3.5197735,0.4680851,161253.05,0.8658672
4527,8.33E+07,54,0.0926227,3.5529401,2.2592592,269558.12,6.4583077
4895,8.18E+07,46,0.09221237,3.514308,1.5652174,197010.67,5.5587845
300,8.05E+07,45,0.09144043,3.5086522,0.93333334,142255.97,2.2831736
630,8.03E+07,58,0.09127184,3.5685492,0.9655172,217572.47,2.9797573
4819,8.02E+07,43,0.09117147,3.4965317,1.6744186,114766.43,2.7428286
3952,7.89E+07,41,0.09050277,3.483391,0.9756098,125751.625,1.8268925
1124,7.51E+07,72,0.08785091,3.61046,2.3611112,221906.12,10.668109
1467,7.39E+07,47,0.08747856,3.5197735,1.1914893,81907.78,4.2671576
468,7.15E+07,48,0.08605522,3.5251048,0.7916667,221160.1,1.4054583
2491,6.70E+07,35,0.08342325,3.4358237,1.3714286,82963.586,1.9314591
175,6.60E+07,42,0.08270749,3.4900033,1.0952381,106921.85,5.7212443
1128,6.59E+07,40,0.08262531,3.4762843,3.2,96523.27,5.9195538
1709,6.51E+07,54,0.08211488,3.5529401,1.7037038,188090.47,5.274869
2041,5.76E+07,45,0.077265315,3.5086522,0.26666668,166904.73,2.2523642
1431,5.75E+07,79,0.077205986,3.626089,2.379747,287038.84,14.758157
4034,5.45E+07,37,0.07527044,3.4531822,0.8108108,108605.016,1.7857864
640,5.45E+07,37,0.07518969,3.4531822,1.4594594,85625.18,2.3587048
2737,5.11E+07,33,0.072782084,3.4166758,0.7878788,61771.074,1.2503668
