ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,12900000,6,0.008533085,2.5007799,3.3333333,301.18134,4.6666665
3,2090905,1,0.003430368,1.3212532,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,39.251045,1,1.45E-05,1.3212532,0,0,0
9,2225963,5,0.003540154,2.3603137,2.4,2469.308,3
10,96880.59,1,0.000738,1.3212532,0,0,0
11,715486.75,2,0.001998367,1.6941535,0,150.40231,0
12,5976792.5,6,0.005801573,2.5007799,0.33333334,3161.918,0.4
13,2525825.2,13,0.003313516,3.0443738,1.8461539,7740.8447,2.6111112
14,696110.06,5,0.001979603,2.3603137,0,3634.4678,0
15,609.5632,1,4.43E-05,1.3212532,0,0,0
16,8445100,11,0.006880252,2.9378848,1.0909091,14426.746,1.2666667
17,1807303.6,4,0.003189501,2.1882184,0,9765.812,0
18,32645.244,2,0.000428,1.6941535,0,413.12448,0
19,4015595.8,2,0.004748498,1.6941535,0,1889.4308,0
20,104000000,12,0.024149586,2.9943194,1,4365.787,1.0909091
21,31600000,13,0.013303799,3.0443738,1.8461539,6983.9976,2.5928571
22,35300000,9,0.014092996,2.8008757,2,5580.8105,2.3333333
23,4740988.5,5,0.005116211,2.3603137,0,9611.505,0
24,9331530,5,0.007245075,2.3603137,0,7062.956,0
25,42300000,10,0.015432907,2.8739874,1.4,4725.7563,1.5833334
26,4853.533,2,0.000165,1.6941535,0,2021.9718,0
27,6755.3647,1,0.000159,1.3212532,0,0,0
28,25800000,5,0.012043078,2.3603137,0.8,2360.438,1
29,0,0,0,0,0,0,0
30,78762.836,3,0.000666,1.9725083,0,1010.6222,0
31,7197547,6,0.006366707,2.5007799,0.6666667,2253.4666,0.8
32,9514192,4,0.007315159,2.1882184,0.5,2962.3767,0.6666667
33,3488571,7,0.004428218,2.6176417,0.2857143,2479.1155,0.33333334
34,1939.8303,1,0.0001,1.3212532,0,0,0
35,22500000,3,0.011248533,1.9725083,0.6666667,2016.2217,1
36,33700000,22,0.013761462,3.327368,3.2727273,33003.63,6.442902
37,2379.2593,2,0.000115,1.6941535,0,26640,0
38,644840.6,1,0.001904849,1.3212532,0,0,0
39,3548735.8,4,0.004457958,2.1882184,0,5742.236,0
40,23700000,13,0.011537085,3.0443738,1.2307693,13326.225,1.3333334
41,17100000,5,0.009814246,2.3603137,0.4,4772.7026,0.5
42,0,0,0,0,0,0,0
43,39200000,9,0.014850654,2.8008757,1.1111112,6312.7075,1.4583334
44,52900000,24,0.017253457,3.366269,1.0833334,56575.43,2.3084283
45,99401.234,2,0.000742,1.6941535,0,1072.648,0
46,30600000,19,0.013090528,3.2566464,9.052631,14878.941,12.250538
47,215842.02,2,0.001102292,1.6941535,0,821.101,0
48,18200000,14,0.010115081,3.089131,0.71428573,31864.01,1.8871795
49,62303.64,1,0.000591,1.3212532,0,0,0
