,EC
0,0.0
1,0.0
2,0.0069583228
3,0.0037491490000000002
4,0.0
5,0.0
6,0.0
7,0.0
8,1.9740000000000004e-05
9,0.004519456400000001
10,0.0009590308000000001
11,0.0021049782
12,0.0054088007999999995
13,0.0029331084
14,0.0021422164
15,4.352e-05
16,0.0070912198
17,0.0032377327999999995
18,0.0004566
19,0.0041564216
20,0.026033314000000002
21,0.0145578662
22,0.012591826800000002
23,0.0068442552000000005
24,0.0079572536
25,0.017824785200000002
26,0.00023975
27,0.000178
28,0.013297306200000001
29,0.0010377989999999998
30,0.0006839999999999999
31,0.006327672800000001
32,0.008113434400000001
33,0.0051332892
34,0.00011564000000000001
35,0.011459293800000001
36,0.014627864400000001
37,0.00020325
38,0.0019805078
39,0.0048692238
40,0.012665826799999998
41,0.0103984254
42,0.0
43,0.0125536798
44,0.020415343
45,0.0008774996
46,0.0132737388
47,0.0011657222
48,0.01065598
49,0.0008246
50,0.0
51,5.032e-06
52,0.0008948728
53,0.0
54,0.0007912
55,0.00025325
56,1.7102e-05
57,0.0049263776
58,0.0
59,0.0
60,0.0
61,0.0
62,0.003314769
63,0.00018839999999999997
64,0.0033611342
65,0.00135406125
66,0.0014435204
67,0.0031715266
68,0.0184394198
69,0.0128940526
70,0.015965985250000002
71,0.005068517
72,0.0236260612
73,0.0123461968
74,0.0257384014
75,0.0005405999999999999
76,0.0038421885999999996
77,0.0016650843999999998
78,0.0035186434000000003
79,0.007095465600000001
80,0.0012996358000000002
81,0.0018916808
82,0.0042598756
83,0.0004536666666666667
84,0.0013246178
85,0.002086779
86,0.0014981184999999998
87,0.0001501
88,0.000854
89,0.0039699312
90,0.004172945666666666
91,0.005930179400000001
92,0.0013416956000000002
93,0.017782168600000002
94,0.0032655206000000007
95,0.0
96,4.192e-05
97,0.07424698520000002
98,0.0067269902000000005
99,0.0051184582
100,0.00016032
101,0.006332262199999999
102,0.00012496
103,0.0029619096666666663
104,0.020637595399999997
105,0.0068620508
106,0.0003946
107,0.00034733333333333334
108,0.000569
109,0.004841575999999999
110,0.0055298888000000004
111,0.0076229778
112,0.0003508
113,0.0108427182
114,0.0616106828
115,0.0
116,0.0015513864
117,0.032481532800000004
118,0.0012850792
119,0.0019432187999999999
120,0.00021183333333333332
121,0.0044966554
122,0.0043864406
123,0.005003584399999999
124,0.0059517454
125,0.0021524812000000004
126,0.0338891192
127,0.0013358842000000001
128,0.00445201525
129,0.0
130,0.0
131,0.0005282500000000001
132,0.012823801999999999
133,0.0013478604
134,0.0081642678
135,0.0169572942
136,0.008632703600000001
137,0.006081591
138,0.0021217402
139,0.003409181
140,0.0
141,0.022082961199999997
142,0.0016772382000000002
143,0.0035494812000000002
144,0.0012401996
145,0.0021936332000000005
146,0.0031475179999999998
147,0.0011632812
148,0.0046642002
149,0.0019727836
150,0.0001894
151,0.0012166336
152,0.0006478000000000001
153,0.0017749898
154,0.019569405999999998
155,0.0066779012
156,0.0013063645
157,0.004777178799999999
158,0.0003912000000000001
159,6.546e-05
160,0.0
161,0.0021683972
162,0.031947152
163,0.0002232
164,0.006470373999999999
165,0.004642307199999999
166,0.000497
167,0.00160866425
168,0.0015912796
169,0.0046421408
170,0.0049414702
171,0.000854
172,0.000316
173,0.000120875
174,0.0892005412
175,1.35575e-05
176,0.0
177,0.0017535973999999999
178,0.0009695210000000001
179,0.0111504568
180,0.0124977336
181,0.0223341806
182,0.006049937400000001
183,0.0
184,0.0016242300000000002
185,0.0
186,0.0
187,0.0039036241999999993
188,0.005287687199999999
189,0.0004990000000000001
190,0.00014386000000000002
191,0.0
192,0.0
193,0.0065738798
194,0.01187480575
195,0.0
196,0.0
197,0.0
198,0.0046923542
199,0.0
200,0.04960206500000001
201,0.034173644399999994
202,0.0589087378
203,0.16051284400000002
204,0.00015979999999999998
205,0.00011187999999999999
206,0.000858202
207,0.0090235864
208,0.0027651297999999997
209,0.0026459268
210,0.0
211,0.0
212,0.0023327784
213,0.005886769666666666
214,0.003644642
215,6.0079999999999994e-05
216,0.0072069152
217,0.0282195822
218,0.0014597575999999999
219,0.0
220,0.0008636428
221,0.00040147999999999996
222,0.0019170218
223,0.0079741224
224,0.0022366452499999996
225,0.0055929338
226,0.0069432496
227,0.00050475
228,0.0014375453999999998
229,0.0039730004
230,0.04085458799999999
231,0.0
232,0.0024037572
233,0.0022891198
234,0.0
235,0.008852513800000001
236,0.0080897522
237,0.0010724153999999999
238,0.0007262
239,0.000291
240,0.0021704068
241,0.00394762675
242,0.0
243,0.0021654630000000003
244,0.020648147
245,0.00010836000000000001
246,0.05132364319999999
247,0.0060314002
248,0.00448665675
249,0.0033611342
250,0.00019876
251,0.0
252,0.0088924454
253,0.0070082326
254,0.0095136474
255,0.0094302892
256,0.0101749018
257,0.0053484976
258,0.013000761599999999
259,8.428e-05
260,0.007897595
261,0.0127818166
262,0.0
263,0.00046179999999999995
264,0.0
265,0.000357
266,0.0037408850000000002
267,0.0028187764
268,0.0097121606
269,0.00017187999999999996
270,0.0009346821999999999
271,0.021226511599999998
272,0.0039916104
273,0.0011174982
274,0.013127376000000001
275,0.014274575000000001
276,0.0
277,0.0096309954
278,0.0020049708
279,0.028662291799999996
280,0.027022019999999997
281,0.0031058165999999997
282,0.0066857552
283,0.0
284,0.0074748458
285,0.0018317606
286,0.006051175000000001
287,0.00020119999999999998
288,0.0
289,0.00090572875
290,0.0
291,0.006949755
292,0.002178993
293,0.002581885
294,0.0011805492
295,0.0004872
296,0.0010040682
297,0.0093438644
298,0.021761727
299,0.11036734
300,0.0011910736
301,0.0040801684
302,0.021764024200000003
303,0.00040820000000000006
304,0.007691304
305,0.008591409400000001
306,0.000265
307,0.0154153484
308,0.0091137206
309,0.0120708732
310,0.008815584
311,0.000909835
312,0.0024553057999999995
313,0.000136866
314,0.020502738
315,0.009929545199999999
316,0.0024085864
317,0.0029547142
318,0.0005638
319,0.0
320,0.0062526184
321,0.0157444776
322,0.0089510398
323,0.0045609574
324,0.0005884
325,0.0
326,5.1460000000000005e-05
327,0.0075219882
328,0.15506416
329,0.0035226387999999997
330,0.00058992025
331,7.728e-05
332,0.003240553
333,0.0030838543999999997
334,1.1072e-05
335,0.0
336,0.0042680178
337,0.004110999999999999
338,0.0078868618
339,0.0005170000000000001
340,0.00042259999999999997
341,0.003180626
342,0.0070783576
343,0.0117603684
344,0.00315766175
345,6.542e-05
346,0.0020939694000000003
347,0.0008406
348,0.00203185275
349,0.003397535
350,0.0053300072
351,0.0
352,0.001511199
353,0.001822559
354,0.001619804
355,0.00038920000000000003
356,0.0032639483999999997
357,0.0088475476
358,3.4832e-06
359,0.0071773439999999996
360,0.078963981
361,0.0013624964
362,0.0486580338
363,0.0012592246
364,0.0457422948
365,0.0014308047999999998
366,0.000792
367,0.008657104
368,5.919999999999999e-06
