,LAC
0,0.0
1,0.0
2,2.74666666
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.1733333200000002
10,0.0
11,0.0
12,0.266666672
13,1.61923078
14,0.0
15,0.0
16,1.08727274
17,0.0
18,0.0
19,0.0
20,1.0859096400000001
21,1.77846158
22,1.52222224
23,0.10714285999999999
24,0.0
25,1.21692308
26,0.0
27,0.0
28,0.74
29,0.0
30,0.0
31,0.82666668
32,0.53333334
33,0.27142858
34,0.0
35,0.6666667
36,3.10649358
37,0.0
38,0.0
39,0.0
40,1.1589744000000002
41,0.5599999999999999
42,0.0
43,1.03111116
44,1.05863771
45,0.0
46,8.736842
47,0.0
48,0.7047619239999998
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,2.16
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.46666668
68,3.2177777599999997
69,2.56554624
70,1.1076923250000001
71,0.96
72,0.580952406
73,0.109090914
74,1.6787878800000002
75,0.0
76,0.8321781739999998
77,1.14343439
78,0.0
79,0.194444444
80,1.92
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.84083917
92,0.0
93,2.7147058399999997
94,0.0
95,0.0
96,0.0
97,3.3383791
98,1.45142856
99,0.24047619199999998
100,0.0
101,0.0
102,0.13333334
103,0.0
104,1.11666668
105,0.44000000000000006
106,0.0
107,0.0
108,0.0
109,0.43333334
110,0.0
111,1.5
112,0.0
113,1.04444448
114,2.47984384
115,0.0
116,0.0
117,0.5492063719999999
118,0.0
119,0.20000000399999998
120,0.0
121,0.0
122,1.7600000000000002
123,0.0
124,1.26666672
125,0.626372548
126,1.69230772
127,0.38095239999999997
128,0.4642857225
129,0.0
130,0.0
131,0.0
132,0.0
133,1.0
134,1.51555556
135,0.64102564
136,1.0249287800000002
137,0.28000000399999997
138,0.0
139,0.0
140,0.0
141,0.39166666799999994
142,0.3
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.47333333999999994
149,0.0
150,1.3333334
151,0.0
152,0.0
153,1.06666668
154,0.36363637
155,0.0
156,0.6666667
157,0.42000000000000004
158,0.0
159,0.0
160,0.0
161,5.812857200000001
162,0.89428248
163,0.0
164,0.304761916
165,0.0
166,1.0
167,0.0
168,0.0
169,2.0914285999999995
170,0.0
171,0.0
172,0.0
173,0.0
174,1.0131636800000001
175,0.0
176,0.0
177,0.0
178,0.0
179,0.6930977660000001
180,0.22222222
181,1.276117212
182,0.19333333400000002
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.87857144
194,0.23076924000000001
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.787948494
201,0.42857143799999997
202,0.291734622
203,1.5827256
204,0.0
205,0.0
206,0.0
207,1.02857144
208,0.56666668
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,3.3694800000000003
215,0.0
216,0.0
217,0.83968256
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.8933333400000001
224,0.0
225,0.746666668
226,0.86666668
227,0.0
228,0.0
229,0.4
230,1.5284297599999999
231,0.0
232,0.36000000400000004
233,0.0
234,0.0
235,0.91428572
236,3.9071428
237,0.0
238,0.0
239,0.0
240,2.3
241,0.0
242,0.0
243,0.0
244,1.4225869
245,0.0
246,0.3877394880000001
247,0.5
248,0.0
249,0.0
250,0.0
251,0.0
252,3.93611108
253,0.0
254,5.25972972
255,0.0
256,1.21428572
257,0.0
258,0.0
259,0.0
260,3.20666668
261,1.08461538
262,0.0
263,0.0
264,0.0
265,2.12
266,0.0
267,0.40000001999999996
268,1.2190476799999999
269,0.0
270,0.0
271,0.49761906
272,0.0
273,0.0
274,1.1743589800000003
275,2.41558304
276,0.0
277,3.06625032
278,0.23888888800000002
279,2.38166668
280,0.488636375
281,0.0
282,4.9519047
283,0.0
284,0.208888888
285,0.0
286,0.24761905199999998
287,0.0
288,0.0
289,0.0
290,0.0
291,4.20727276
292,0.0
293,0.0
294,0.0
295,0.5714286
296,0.0
297,0.133333336
298,0.575
299,1.005217416
300,0.0
301,0.0
302,0.5650000179999999
303,0.0
304,0.3
305,0.422222224
306,0.0
307,1.26403658
308,0.23545454999999998
309,0.5
310,0.0
311,0.66666668
312,1.8666666800000002
313,0.0
314,5.7367648
315,0.28606061799999993
316,0.0
317,0.0
318,1.8
319,0.0
320,1.0
321,3.9789473199999996
322,4.3076925
323,0.0
324,2.0
325,0.0
326,0.0
327,2.5472778
328,1.2620142199999997
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.43999999999999995
338,1.27333336
339,1.0
340,0.0
341,0.0
342,2.1411764
343,0.6266666799999999
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,3.39087818
350,0.0
351,0.0
352,0.0
353,0.0
354,1.3800000000000001
355,0.0
356,0.0
357,3.3142857599999997
358,0.0
359,0.21999999999999997
360,0.6417598240000001
361,0.0
362,3.07418774
363,0.0
364,1.0967807200000002
365,0.0
366,2.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.6
372,0.0
373,0.295238108
374,0.0
375,0.0
376,0.0
377,0.0
378,0.8
379,1.6980814
380,0.0
381,0.0
382,0.0
383,0.5131868239999999
384,0.0
385,0.072727274
386,2.26666668
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.45999999999999996
393,0.0
394,2.0419028
395,0.0
396,0.13333334
397,0.0
398,0.0
399,0.17142858
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,2.1102166799999997
406,0.0
407,4.83871
408,0.0
409,0.0
410,0.0
411,2.03076922
412,0.0
413,5.493107
414,1.109696988
415,0.0
416,0.0
417,5.0
418,0.6666667
419,0.0
420,0.0
421,0.0
422,0.26666667
423,0.0
424,0.0
425,1.5
426,0.0
427,0.31150328
428,0.0
429,3.18701298
430,0.0
431,0.822605366
432,1.77
433,0.0
434,0.0
435,0.0
436,3.01818174
437,1.52
438,0.0
439,0.0
440,3.1897436
441,0.0
442,0.0
443,0.0
444,0.0
445,0.556060614
446,2.28231774
447,3.8483109
448,0.0
449,0.22666666800000002
450,0.0
451,0.0
452,0.9087301999999999
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.666666668
461,0.0
462,3.1428572
463,0.9384615199999999
464,0.56666668
465,0.0
466,0.0
467,0.9865462
468,0.0
469,0.0
470,0.0
471,2.4017857499999997
472,3.7713981800000007
473,0.0
474,0.382157908
475,0.318681328
476,0.65333334
477,0.0
478,0.304761916
479,0.31396422600000007
480,0.0
481,2.1
482,0.0
483,0.0
