,IC
0,0.0
1,0.0
2,2.54774162
3,1.7186345749999998
4,0.0
5,0.0
6,0.0
7,0.0
8,1.33557294
9,2.5768703
10,1.71778686
11,1.71778686
12,2.75486124
13,3.09040418
14,2.49424964
15,1.94759624
16,3.06899752
17,2.3706335400000005
18,1.71778686
19,1.71778686
20,3.4093012600000003
21,3.2518926200000005
22,2.83454514
23,2.72377048
24,2.3706335400000005
25,3.5148054800000006
26,2.2192167599999997
27,1.33531645
28,2.37099382
29,1.3345479500000001
30,2.0046198399999997
31,2.67452132
32,2.18348308
33,2.82766412
34,1.6417201599999998
35,2.0046198399999997
36,3.4106905000000003
37,1.62214415
38,2.0046198399999997
39,2.22781752
40,3.1110451400000003
41,2.40645562
42,1.33531645
43,2.9021714000000003
44,3.5055931199999995
45,2.0046198399999997
46,3.34517582
47,1.6417201599999998
48,3.1771858600000003
49,1.3362562666666669
50,1.335914533333333
51,1.33557294
52,2.57183138
53,1.71778686
54,2.55264044
55,1.71778686
56,1.6417201599999998
57,2.55264044
58,1.33531645
59,0.0
60,1.71778686
61,0.0
62,2.0046198399999997
63,1.33557294
64,1.33557294
65,1.6982608
66,1.33557294
67,2.38437656
68,3.0439836199999997
69,3.32037404
70,3.3687992
71,2.1918197200000002
72,3.57970628
73,3.0769348
74,2.9561546
75,1.71778686
76,3.548525
77,2.95429116
78,1.71778686
79,2.86610162
80,2.6499252800000006
81,2.37099382
82,2.37099382
83,1.3362562666666669
84,1.71778686
85,2.18348308
86,1.336085625
87,1.33557294
88,1.33557294
89,2.0046198399999997
90,1.94759624
91,3.17223196
92,1.81406468
93,3.30270388
94,2.22781752
95,0.0
96,1.33557294
97,3.8675014400000003
98,2.71222224
99,2.8276887200000003
100,1.33557294
101,1.33557294
102,1.4686632400000001
103,1.7186345749999998
104,3.46469146
105,2.3351717400000003
106,1.4881893000000002
107,1.33557294
108,1.33531645
109,2.88157482
110,2.18306918
111,3.12160354
112,1.71778686
113,2.9427032200000003
114,3.78875276
115,1.3353682
116,1.33557294
117,3.4563266599999998
118,1.33557294
119,2.7365377000000004
120,1.71778686
121,1.71778686
122,2.9273319
123,2.77185432
124,2.55264044
125,3.3547518000000003
126,3.21718732
127,2.5721055600000002
128,2.8105548600000003
129,0.0
130,0.0
131,1.6417201599999998
132,3.01083936
133,2.22781752
134,2.9545112600000003
135,3.16676948
136,3.47116764
137,2.4096958600000002
138,2.40645562
139,1.71778686
140,0.0
141,3.4110062999999995
142,2.29963492
143,1.6416121000000001
144,2.0046199
145,1.33557294
146,2.126274
147,1.33557294
148,2.4960930800000005
149,1.71778686
150,2.0046199
151,1.71778686
152,2.1886653199999997
153,1.9213354599999999
154,3.3942416799999995
155,2.52333778
156,2.62134582
157,2.5233201999999997
158,1.71778686
159,1.5651705
160,0.0
161,2.812925
162,3.6752066400000003
163,1.71778686
164,2.6259009000000004
165,2.3709188000000005
166,1.71778686
167,1.33557294
168,2.0046199
169,3.21718732
170,1.71778686
171,1.6416121000000001
172,1.33557294
173,1.33557294
174,3.8202325800000003
175,1.33557294
176,0.0
177,2.13864634
178,2.0046199
179,3.3219901400000005
180,2.86610162
181,3.39729618
182,2.9677171200000005
183,0.0
184,1.33557294
185,0.0
186,0.0
187,1.9474992199999999
188,2.22781752
189,1.33557294
190,1.33557294
191,0.0
192,0.0
193,3.2773272600000007
194,3.0152399
195,1.3362562666666669
196,0.0
197,0.0
198,2.2548419799999997
199,1.33557294
200,3.7645242800000007
201,3.32672496
202,3.6278853
203,3.8531129000000006
204,1.71778686
205,1.7748104599999999
206,1.8715296
207,2.77766546
208,2.13875738
209,2.40645562
210,1.336290175
211,1.33557294
212,2.0046199
213,1.7186345749999998
214,3.5434398799999998
215,1.6417201599999998
216,2.2906738800000004
217,3.2224105200000004
218,1.6417201599999998
219,0.0
220,1.71778686
221,1.9475963
222,2.67452132
223,2.55264044
224,1.64094106
225,2.8317412400000004
226,2.0817111400000003
227,1.33557294
228,1.33557294
229,2.6912988
230,3.77043716
231,1.3365989
232,2.5967722200000005
233,2.77766546
234,1.71778686
235,3.12059986
236,2.7365377000000004
237,2.8357771800000005
238,1.33557294
239,1.71778686
240,2.5235698799999997
241,1.4303998249999998
242,1.6417201599999998
243,2.1975393
244,3.5033326199999997
245,1.33557294
246,3.81556548
247,2.22781752
248,1.87055442
249,1.33557294
250,1.99234464
251,0.0
252,3.30270388
253,1.71778686
254,3.37573204
255,2.18306918
256,2.5614494599999995
257,3.1655583999999997
258,2.6034149
259,1.71778686
260,3.01865514
261,3.2813645799999995
262,0.0
263,1.33557294
264,0.0
265,2.37065212
266,2.4963433
267,1.9474992199999999
268,2.6671074
269,1.33557294
270,1.71778686
271,2.75721798
272,1.33557294
273,2.69298268
274,3.1110451400000003
275,3.4474035200000004
276,0.0
277,3.8127023799999997
278,2.84835736
279,3.2416415
280,3.7318172000000005
281,1.33557294
282,3.47492862
283,0.0
284,2.95405084
285,1.33557294
286,2.83084208
287,1.33557294
288,1.33557294
289,1.64172
290,0.0
291,3.03037682
292,1.3362562666666669
293,1.71778686
294,2.0811577999999997
295,2.75697222
296,1.33557294
297,2.5770891199999997
298,3.3995735600000003
299,3.7764160200000005
300,2.22781752
301,1.7177866800000001
302,3.2626525200000005
303,1.9474992
304,2.49424964
305,2.83079664
306,1.3353682
307,3.32034204
308,3.08405008
309,2.49424964
310,2.0046199
311,1.9475962799999997
312,2.22781752
313,1.56517038
314,3.26324782
315,3.1825365999999997
316,1.7177866800000001
317,2.0046199
318,2.22781752
319,0.0
320,1.71778686
321,3.34517582
322,3.14991836
323,2.6879313999999996
324,2.0046199
325,1.33557294
326,1.64172
327,3.8074894200000005
328,3.9448234399999995
329,2.0046199
330,2.72050076
331,2.0046199
332,1.33557294
333,1.7177866800000001
334,1.9790707399999998
335,0.0
336,2.89419246
337,2.4584275599999996
338,2.95430554
339,1.7177866800000001
340,2.13864634
341,1.336290175
342,3.33847886
343,2.5075249600000005
344,1.336290175
345,1.33557294
346,1.7177866800000001
347,1.7177866800000001
348,1.33557294
349,3.3104738600000005
350,1.9474992
351,0.0
352,1.9471313
353,1.7177866800000001
354,2.40645562
355,1.33557294
356,1.9471313599999998
357,3.23404352
358,1.33557294
359,2.87679694
360,3.81482898
361,1.7177866800000001
362,3.6959043799999995
363,2.0046199
364,3.78371668
365,1.8901313800000001
366,2.29046462
367,2.40645562
368,1.33557294
369,3.04533352
370,2.68275582
371,2.13875738
372,1.33531645
373,2.6500726400000003
374,0.0
375,0.0
376,1.718974
377,1.33557294
378,1.7177866800000001
379,3.71757292
380,2.24755738
381,1.3362562666666669
382,1.33557294
383,3.1829247
384,1.33557294
385,2.85949196
386,2.29908282
387,1.33557294
388,1.7177866800000001
389,2.0046199
390,1.7177866800000001
391,1.7177866800000001
392,2.40645562
393,2.0046199
