,LAC
0,0.0
1,0.0
2,4.00952382
3,1.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1.8857143
10,0.4
11,0.0
12,0.47111111999999994
13,2.1963636600000003
14,0.0
15,0.0
16,1.16666664
17,0.0
18,0.0
19,0.0
20,1.9885167200000002
21,2.21842108
22,1.8533333200000002
23,0.450952388
24,0.0
25,2.50113146
26,0.45999999999999996
27,0.0
28,0.74
29,0.0
30,0.0
31,0.800000016
32,0.53333334
33,0.23492063600000002
34,0.0
35,0.6666667
36,3.10649358
37,0.0
38,0.6666667
39,0.0
40,1.2512821200000004
41,0.7200000000000001
42,0.0
43,1.0524675399999999
44,1.15052916
45,0.6666667
46,9.073684199999999
47,0.0
48,0.7047619239999998
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.7999999600000003
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.01333334
68,3.31999998
69,2.29692978
70,1.045962774
71,0.96
72,0.6048788919999999
73,0.33006994
74,2.1818182
75,0.0
76,0.9242150279999999
77,1.25131316
78,0.0
79,0.22222222
80,2.11428576
81,0.0
82,0.34
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.53333336
91,0.9081339679999999
92,0.0
93,2.59444448
94,0.2
95,0.0
96,0.0
97,3.7283358
98,1.309523808
99,0.23492063599999996
100,0.0
101,0.0
102,0.13333334
103,0.0
104,1.1560000000000001
105,0.44000000000000006
106,0.0
107,0.0
108,0.0
109,0.65333336
110,0.0
111,1.3846154
112,0.0
113,1.0
114,2.9042147399999996
115,0.0
116,0.0
117,0.586772072
118,0.0
119,0.26428572
120,0.0
121,0.0
122,1.8
123,0.0
124,1.26666672
125,0.80470588
126,1.82857144
127,0.6552381199999999
128,1.55793654
129,0.0
130,0.0
131,0.0
132,1.01428568
133,1.0
134,1.51676768
135,0.85245423
136,1.0618646200000001
137,0.25714286399999997
138,0.0
139,0.0
140,0.0
141,1.1730101000000002
142,1.28
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.37142858
149,0.0
150,1.3333334
151,0.0
152,0.0
153,1.0
154,0.42700228199999996
155,0.0
156,0.53714288
157,0.346666672
158,0.0
159,0.0
160,0.0
161,6.883333400000001
162,1.1220652599999998
163,0.0
164,0.304761916
165,0.0
166,1.0
167,0.0
168,0.0
169,3.7714286
170,0.0
171,0.0
172,0.0
173,0.0
174,2.3349925600000003
175,0.0
176,0.0
177,0.0
178,0.0
179,0.879532174
180,0.22222222
181,1.4239944
182,0.19333333400000002
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1.73970592
194,0.14603174800000002
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.8211636199999999
201,0.4670995720000001
202,0.34342929200000005
203,2.33081618
204,0.0
205,0.0
206,0.0
207,1.0
208,0.56666668
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,5.31325998
215,0.0
216,0.0
217,2.0230243999999997
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,1.0
224,0.0
225,0.746666668
226,0.86666668
227,0.0
228,0.0
229,0.602380962
230,1.94424118
231,0.0
232,0.318095248
233,0.0
234,0.8
235,1.03919414
236,3.9571427999999997
237,0.0
238,0.0
239,0.0
240,1.9333333199999998
241,0.0
242,0.0
243,0.5599999999999999
244,1.96752132
245,0.0
246,1.43159084
247,0.5
248,0.0
249,0.0
250,0.0
251,0.0
252,4.025
253,0.0
254,5.299986339999999
255,0.0
256,1.21428572
257,0.0
258,0.0
259,0.0
260,3.20666668
261,1.17145744
262,0.0
263,0.0
264,0.0
265,2.1
266,0.0
267,0.40000001999999996
268,1.1619047999999998
269,0.0
270,0.0
271,0.65714286
272,0.0
273,0.0
274,1.2179487600000003
275,2.2470303
276,0.0
277,3.59444334
278,0.22777777600000002
279,2.6100000000000003
280,0.667160466
281,0.0
282,6.499466419999999
283,0.0
284,0.19717172
285,0.0
286,0.233333332
287,0.0
288,0.0
289,0.0
290,0.0
291,4.457296100000001
292,0.0
293,0.0
294,0.0
295,0.51428572
296,0.0
297,0.19047619600000001
298,0.56929714
299,1.2404800799999998
300,0.0
301,0.0
302,0.7541176399999999
303,0.0
304,0.36000000400000004
305,0.422222224
306,0.0
307,1.44025336
308,0.4228127539999999
309,0.36000000400000004
310,0.0
311,0.7333333599999999
312,2.0
313,0.0
314,5.7367648
315,0.28000001199999996
316,0.0
317,0.0
318,1.5
319,0.0
320,1.0
321,4.063157800000001
322,4.5516486
323,0.0
324,2.0
325,0.0
326,0.0
327,3.24257496
328,1.54293084
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.49333333599999996
338,1.10303032
339,1.0
340,0.0
341,0.0
342,2.02666672
343,0.722857148
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,5.0903508
350,0.0
351,0.0
352,0.0
353,0.0
354,1.2
355,0.0
356,0.0
357,3.74666664
358,0.0
359,0.21999999999999997
360,0.819781652
361,0.0
362,3.15377404
363,0.0
364,1.2390725799999998
365,0.0
366,1.9
367,0.0
368,0.0
369,0.266666668
370,0.0
371,1.13333336
372,0.0
373,0.295238108
374,0.0
375,0.0
376,0.0
377,0.0
378,1.0
379,2.2037936799999995
380,0.0
381,0.0
382,0.0
383,0.9533333599999999
384,0.0
385,0.261616162
386,2.3
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.4
393,0.0
394,1.9622807000000002
395,0.0
396,0.6666667
397,0.0
398,0.0
399,0.25142857999999996
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,2.2128655000000004
406,0.0
407,4.83871
408,0.0
409,0.0
410,0.0
411,1.98761902
412,0.24000000000000005
413,5.72676526
414,1.43699638
415,0.0
416,0.0
417,5.0
418,0.6266666799999999
419,0.0
420,0.0
421,0.0
422,0.36363637
423,0.0
424,0.0
425,1.5
426,0.0
427,0.31150328
428,0.0
429,4.443715399999999
430,0.0
431,1.13952834
432,1.92
433,0.0
434,0.0
435,0.6
436,3.0
437,2.54666666
438,0.0
439,0.0
440,2.69939396
441,0.0
442,0.0
443,0.0
444,0.0
445,0.692324934
446,2.3550449999999996
447,4.9757544199999995
448,0.0
449,0.5409524
450,0.0
451,0.54666668
452,0.732525266
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.74
461,0.0
462,3.1428572
463,0.940659334
464,0.76666666
465,0.0
466,0.0
467,2.4623775400000003
468,0.0
469,0.0
470,0.0
471,2.96190482
472,4.344731340000001
473,0.0
474,0.5065526279999999
475,0.342969194
476,0.5600000199999999
477,0.0
478,0.6190476159999999
