,NC
0,0.0
1,0.0
2,5.09333332
3,2.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.2800000000000002
10,0.8
11,0.0
12,0.53333334
13,2.8539316799999996
14,0.0
15,0.0
16,1.30129868
17,0.0
18,0.0
19,0.0
20,2.11505
21,2.99099562
22,2.1126984
23,0.51809525
24,0.0
25,4.83430052
26,0.60000002
27,0.0
28,0.9333333400000001
29,0.0
30,0.0
31,0.9333333400000001
32,0.7333333599999999
33,0.266666668
34,0.0
35,1.0
36,5.893537719999999
37,0.0
38,1.0
39,0.0
40,1.3575758199999999
41,0.9
42,0.0
43,1.3533333600000002
44,2.3955678
45,1.0
46,12.107433799999999
47,0.0
48,1.8192674000000004
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,2.46
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.28
68,3.7372293799999996
69,4.252584199999999
70,1.9507211400000002
71,1.2
72,1.39798814
73,0.39222221999999995
74,2.4177778200000004
75,0.0
76,2.2197252000000005
77,1.6577777599999997
78,0.0
79,0.25
80,2.50666664
81,0.0
82,0.43333334
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.8
91,1.7702908000000002
92,0.0
93,3.0455208
94,0.26666668
95,0.0
96,0.0
97,25.5555908
98,1.7614286399999997
99,0.27023809400000004
100,0.0
101,0.0
102,0.2
103,0.0
104,1.7495678400000003
105,0.56666668
106,0.0
107,0.0
108,0.0
109,0.7796825459999999
110,0.0
111,2.4807575999999996
112,0.0
113,1.1194445199999998
114,9.605460599999999
115,0.0
116,0.0
117,1.3024967
118,0.0
119,0.304761916
120,0.0
121,0.0
122,2.8555555999999997
123,0.0
124,1.6199999999999999
125,2.5417241600000002
126,1.9665385
127,0.78666668
128,2.4654762
129,0.0
130,0.0
131,0.0
132,1.42262296
133,1.3333334
134,1.98722226
135,4.5652769399999995
136,3.171961426
137,0.353333332
138,0.0
139,0.0
140,0.0
141,1.291253508
142,1.8666666800000002
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.46666668399999994
149,0.0
150,2.0
151,0.0
152,0.0
153,1.73333336
154,0.447907648
155,0.0
156,0.6599999999999999
157,0.42000000000000004
158,0.0
159,0.0
160,0.0
161,7.8571426
162,2.56322836
163,0.0
164,0.36000000400000004
165,0.0
166,2.0
167,0.0
168,0.0
169,4.785376380000001
170,0.0
171,0.0
172,0.0
173,0.0
174,13.227631800000001
175,0.0
176,0.0
177,0.0
178,0.0
179,2.17137254
180,0.25
181,2.77417334
182,0.21414141400000003
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,2.1096123799999997
194,0.337961666
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,2.5964946000000007
201,0.49421245999999996
202,0.538049704
203,6.20465314
204,0.0
205,0.0
206,0.0
207,1.1428572
208,0.8000000199999999
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,8.10712638
215,0.0
216,0.0
217,2.1637254599999998
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,1.2
224,0.0
225,1.1197618999999999
226,1.20000004
227,0.0
228,0.0
229,0.699047634
230,5.42760298
231,0.0
232,0.5833333
233,0.0
234,1.6
235,1.188958832
236,4.979047540000001
237,0.0
238,0.0
239,0.0
240,2.3400000000000003
241,0.0
242,0.0
243,0.86666668
244,2.66767536
245,0.0
246,3.8372668399999994
247,0.6666667
248,0.0
249,0.0
250,0.0
251,0.0
252,6.03521006
253,0.0
254,8.4407218
255,0.0
256,1.44000002
257,0.0
258,0.0
259,0.0
260,5.26922802
261,2.0446279400000003
262,0.0
263,0.0
264,0.0
265,2.8000000199999997
266,0.0
267,0.6
268,1.36380956
269,0.0
270,0.0
271,0.752380964
272,0.0
273,0.0
274,2.7245454400000004
275,5.10738972
276,0.0
277,17.3698659
278,0.25714286
279,2.7866666599999994
280,2.564955674
281,0.0
282,7.688049799999999
283,0.0
284,0.6094444400000001
285,0.0
286,0.26428572
287,0.0
288,0.0
289,0.0
290,0.0
291,5.009682560000001
292,0.0
293,0.0
294,0.0
295,1.15714286
296,0.0
297,0.243333332
298,2.3572498
299,3.2654707600000004
300,0.0
301,0.0
302,0.9695237879999998
303,0.0
304,0.43999999999999995
305,0.47857143999999996
306,0.0
307,2.94918534
308,0.480785878
309,0.43999999999999995
310,0.0
311,1.2
312,2.6666667
313,0.0
314,6.43831164
315,0.359307348
316,0.0
317,0.0
318,2.0
319,0.0
320,2.0
321,5.59660214
322,5.026231619999999
323,0.0
324,3.0
325,0.0
326,0.0
327,17.0582708
328,29.2937706
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.6266666799999999
338,1.2244444600000002
339,2.0
340,0.0
341,0.0
342,4.041081
343,0.87333334
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,5.62375112
350,0.0
351,0.0
352,0.0
353,0.0
354,1.5
355,0.0
356,0.0
357,4.0202197
358,0.0
359,0.363809516
360,3.6372643000000004
361,0.0
362,8.8061069
363,0.0
364,4.235194779999999
365,0.0
366,2.5
367,0.0
368,0.0
369,0.29090909800000003
370,0.0
371,1.6000000399999998
372,0.0
373,0.37333333599999996
374,0.0
375,0.0
376,0.0
377,0.0
378,2.0
379,4.63850246
380,0.0
381,0.0
382,0.0
383,1.872337608
384,0.0
385,0.46714285
386,2.99999998
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.5
393,0.0
394,4.0757367
395,0.0
396,1.0
397,0.0
398,0.0
399,0.30000000400000004
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,5.22145452
406,0.0
407,12.866598299999998
408,0.0
409,0.0
410,0.0
411,13.1587664
412,0.3
413,10.8916346
414,6.7737178799999995
415,0.0
416,0.0
417,6.0
418,0.7899999799999999
419,0.0
420,0.0
421,0.0
422,0.4
423,0.0
424,0.0
425,2.0
426,0.0
427,0.389490796
428,0.0
429,6.1379841200000005
430,0.0
431,2.05887804
432,2.25968254
433,0.0
434,0.0
435,0.8571427999999999
436,3.55979806
437,3.5366666600000003
438,0.0
439,0.0
440,2.95893436
441,0.0
442,0.0
443,0.0
444,0.0
445,2.1486032600000002
446,4.59904764
447,7.770779999999999
448,0.0
449,0.653333336
450,0.0
451,0.7666666799999999
452,0.8788889000000001
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.8253968400000001
461,0.0
462,3.6666666599999997
463,1.8625058199999998
464,1.31666664
465,0.0
466,0.0
467,9.755052099999999
468,0.0
469,0.0
470,0.0
471,3.45904764
472,5.04784484
473,0.0
474,2.46905572
