,BC
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2189.4444
10,0.0
11,503.73145000000005
12,0.0
13,4457.321453999999
14,8426.1779
15,0.0
16,8891.3323
17,7348.3325
18,871.355218
19,0.0
20,1179.1353800000002
21,0.0
22,3875.5569000000005
23,10078.8926
24,10619.653033999999
25,7802.541719999999
26,0.0
27,0.0
28,3986.3532999999998
29,0.0
30,459.42307600000004
31,0.0
32,382.50203799999997
33,1045.29658
34,0.0
35,5712.879279999999
36,34720.6614
37,0.0
38,0.0
39,7019.71852
40,5793.191199999999
41,3705.706248
42,0.0
43,2145.9606940000003
44,48331.3716
45,0.0
46,16321.647399999998
47,0.0
48,47503.1446
49,0.0
50,0.0
51,0.0
52,9976.90214
53,0.0
54,2292.730078
55,0.0
56,5626.8
57,7663.02806
58,0.0
59,0.0
60,0.0
61,0.0
62,9180.99612
63,0.0
64,0.0
65,4323.7699
66,0.0
67,0.0
68,3614.6193740000003
69,24408.257400000002
70,15851.636750000001
71,252.11427400000002
72,77635.16199999998
73,18226.4094
74,8012.87148
75,1191.5476199999998
76,75880.3462
77,9664.842560000001
78,5617.37334
79,20492.5593
80,441.804126
81,0.0
82,7738.9416
83,0.0
84,0.0
85,9939.805400000001
86,0.0
87,0.0
88,0.0
89,2575.635222
90,7033.333333333333
91,0.0
92,926.3355666666666
93,14613.037
94,638.292658
95,0.0
96,0.0
97,395539.16
98,4520.028560000001
99,5228.544556799999
100,0.0
101,0.0
102,72.35882000000001
103,0.0
104,50607.432799999995
105,140.7504
106,0.0
107,0.0
108,0.0
109,313.384204
110,0.0
111,18730.699
112,94.041288
113,9346.126
114,230781.22199999998
115,0.0
116,0.0
117,0.0
118,0.0
119,5439.9681325
120,0.0
121,0.0
122,10078.250600000001
123,953.06142
124,4924.8552
125,6118.814931999999
126,14594.8998
127,490.363432
128,175.21886
129,0.0
130,0.0
131,0.0
132,0.0
133,814.656412
134,9643.713
135,14795.320500000002
136,6506.785740000001
137,1739.10828
138,2207.874
139,0.0
140,0.0
141,10797.899099999999
142,0.0
143,2407.3201
144,4669.7518
145,0.0
146,0.0
147,0.0
148,2184.2506399999997
149,0.0
150,3836.821212
151,723.4861800000001
152,2230.2093666666665
153,64.00201
154,0.0
155,3836.7140799999993
156,0.0
157,2505.34384
158,2971.418032
159,4223.2
160,0.0
161,1.8092852000000001
162,133751.72879999998
163,371.31393799999995
164,9392.647099999998
165,15581.003219999999
166,88.054204
167,0.0
168,860.3425299999999
169,2158.33464
170,6013.2278
171,0.0
172,0.0
173,0.0
174,180574.6333333333
175,0.0
176,0.0
177,0.0
178,2857.9586999999997
179,28311.123600000003
180,9929.61786
181,72990.00460000001
182,9217.283319999999
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,322.50555
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,4116.440549999999
195,0.0
196,0.0
197,0.0
198,7391.4767600000005
199,0.0
200,155748.99
201,34766.8344
202,141441.76799999998
203,626725.6240000001
204,406.208532
205,390.786066
206,4797.24226
207,1547.3315666666667
208,1581.62536
209,14436.0174
210,0.0
211,0.0
212,6990.8
213,0.0
214,21827.612666666668
215,150.614698
216,0.0
217,0.0
218,0.0
219,0.0
220,1426.40752
221,0.0
222,12515.767600000001
223,3092.8433400000004
224,0.0
225,6649.44348
226,0.0
227,0.0
228,0.0
229,0.0
230,82122.023
231,0.0
232,3414.8348400000004
233,9207.5252
234,0.0
235,6956.020425000001
236,8501.442599999998
237,39337.843799999995
238,0.0
239,0.0
240,1256.6438722
241,0.0
242,0.0
243,0.0
244,104494.0312
245,0.0
246,0.0
247,3524.67622
248,0.0
249,0.0
250,2770.8
251,0.0
252,13542.4476
253,387.899018
254,13108.7358
255,587.53888
256,424.868
257,21811.7416
258,4214.825559999999
259,0.0
260,8137.6713599999985
261,27589.1544
262,0.0
263,0.0
264,0.0
265,411.1791
266,2378.39436
267,0.0
268,6102.227080000001
269,0.0
270,305.83166199999994
271,3525.99468
272,0.0
273,0.0
274,52424.38619999999
275,16738.382520000003
276,0.0
277,99068.152
278,16545.2054
279,15465.869540000003
280,0.0
281,0.0
282,27554.769
283,0.0
284,17444.406
285,0.0
286,15011.5674
287,0.0
288,0.0
289,0.0
290,0.0
291,98.1257573
292,0.0
293,64.61909933333332
294,0.0
295,22054.2816
296,0.0
297,7674.7584799999995
298,0.0
299,109749.18519999999
300,1056.5354320000001
301,648.92366
302,37061.6502
303,451.80391799999995
304,67.577475
305,14726.570799999998
306,0.0
307,44417.763
308,9624.53054
309,5843.317140000001
310,553.56737
311,0.0
312,0.0
313,0.0
314,3286.9674400000004
315,14098.349599999998
316,3296.78658
317,3396.80052
318,0.0
319,0.0
320,0.0
321,28008.144600000007
322,8260.162059999999
323,14260.8426
324,0.0
325,0.0
326,0.0
327,153421.77666666667
328,827309.5599999999
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,1.2
335,0.0
336,0.0
337,674.697312
338,15676.3843
339,0.0
340,764.511125
341,0.0
342,33394.565
343,1254.95419
344,0.0
345,0.0
346,212.3917
347,5473.53536
348,0.0
349,1348.566476
350,338.83719
351,0.0
352,2698.8332199999995
353,1192.9928999999997
354,1170.57722
355,0.0
356,888.2897800000001
357,28565.1316
358,0.0
359,14015.1484
360,0.0
361,9091.07128
362,69869.737
363,0.0
364,263795.998
365,1581.5173399999999
366,17.2029846
367,267.33022
368,0.0
369,13297.0242
370,0.0
371,0.0
372,0.0
373,6018.891419999999
374,0.0
375,0.0
376,0.0
377,0.0
378,173.18867999999998
379,67882.6342
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,534.358328
389,2942.3435799999997
390,0.0
391,0.0
392,8033.6702000000005
393,0.0
394,6997.0
395,1709.89418
396,124.128902
397,0.0
398,0.0
399,2181.162064
400,843.76294
401,0.0
402,0.0
403,0.0
404,0.0
405,36549.1386
406,0.0
407,41921.942200000005
408,0.0
409,7038.666666666667
410,5981.476820000001
411,45663.5998
412,3590.1443400000003
413,31451.679600000003
414,50599.306800000006
415,0.0
416,0.0
417,70.8585408
418,6926.62462
419,0.0
420,0.0
421,0.0
422,3959.72834
423,0.0
424,0.0
425,264.38607400000006
426,0.0
427,19600.8402
428,0.0
429,11867.386520000002
430,0.0
431,63935.616599999994
432,11819.292120000002
433,0.0
434,0.0
435,13364.58008
436,4070.0669199999998
437,0.0
438,5262.61825
439,0.0
440,538.3867200000001
441,11944.6352
442,606.318175
443,0.0
444,6467.187333333332
445,6593.559660000001
446,14712.3886
447,11818.105360000001
448,0.0
449,15248.11164
450,0.0
451,5597.6
452,7355.098999999999
453,0.0
454,0.0
455,0.0
456,9948.462000000001
457,0.0
458,0.0
459,0.0
460,17257.0198
