,DC
0,0.0
1,0.0
2,1.75
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,4.6
10,1.0
11,2.0
12,0.0
13,5.4
14,4.6
15,1.0
16,7.6
17,3.0
18,2.0
19,1.0
20,6.2
21,0.0
22,3.4
23,4.4
24,4.4
25,8.0
26,0.0
27,1.0
28,3.8
29,1.0
30,2.0
31,2.0
32,2.0
33,3.6
34,1.0
35,2.8
36,19.8
37,1.0
38,0.0
39,3.8
40,7.4
41,3.2
42,0.0
43,4.8
44,18.0
45,1.0
46,17.4
47,1.0
48,13.2
49,1.0
50,0.0
51,0.0
52,4.2
53,0.0
54,4.6
55,1.0
56,1.8
57,5.6
58,0.0
59,0.0
60,0.0
61,0.0
62,3.0
63,1.0
64,1.0
65,2.0
66,1.0
67,2.0
68,7.4
69,10.8
70,7.0
71,3.4
72,23.6
73,9.0
74,4.8
75,2.0
76,20.4
77,7.2
78,2.0
79,6.8
80,5.0
81,0.0
82,3.0
83,1.0
84,1.0
85,2.8
86,1.0
87,0.0
88,1.0
89,2.8
90,2.0
91,0.0
92,2.0
93,15.0
94,2.8
95,0.0
96,1.0
97,75.0
98,4.8
99,5.6
100,1.0
101,1.0
102,1.2
103,0.0
104,22.0
105,2.25
106,1.0
107,0.0
108,1.0
109,2.0
110,0.0
111,11.8
112,1.6
113,8.0
114,49.6
115,0.0
116,1.0
117,0.0
118,1.0
119,3.5
120,0.0
121,1.0
122,7.4
123,4.4
124,5.2
125,4.2
126,12.8
127,3.0
128,3.0
129,0.0
130,0.0
131,0.0
132,0.0
133,4.0
134,6.0
135,5.0
136,6.0
137,3.4
138,4.0
139,1.0
140,0.0
141,9.2
142,0.0
143,1.75
144,2.8
145,1.0
146,0.0
147,1.0
148,2.8
149,1.0
150,3.0
151,2.0
152,2.0
153,2.4
154,0.0
155,5.6
156,0.0
157,4.0
158,2.0
159,1.6
160,0.0
161,5.4
162,32.0
163,2.0
164,4.8
165,3.6
166,1.6
167,1.0
168,3.0
169,11.6
170,2.0
171,1.0
172,1.0
173,1.0
174,36.0
175,1.0
176,0.0
177,0.0
178,3.0
179,12.2
180,7.6
181,15.0
182,8.4
183,0.0
184,1.0
185,0.0
186,0.0
187,1.0
188,1.25
189,1.0
190,0.0
191,0.0
192,0.0
193,0.0
194,5.0
195,0.0
196,0.0
197,0.0
198,2.6
199,0.0
200,39.6
201,17.0
202,32.4
203,83.2
204,1.6
205,2.2
206,2.0
207,6.0
208,3.6
209,3.6
210,0.0
211,0.0
212,2.0
213,1.0
214,7.0
215,1.4
216,0.0
217,0.0
218,1.0
219,0.0
220,1.4
221,0.0
222,3.2
223,4.4
224,0.0
225,8.0
226,1.0
227,0.0
228,0.0
229,0.0
230,30.4
231,0.0
232,3.2
233,7.0
234,0.0
235,4.5
236,7.6
237,7.2
238,1.0
239,0.0
240,4.4
241,0.0
242,0.0
243,1.0
244,16.6
245,1.0
246,0.0
247,3.0
248,1.0
249,1.0
250,1.4
251,0.0
252,16.0
253,2.0
254,17.4
255,2.6
256,4.0
257,11.0
258,4.6
259,0.0
260,10.8
261,11.8
262,0.0
263,0.0
264,0.0
265,2.8
266,3.2
267,1.0
268,6.4
269,1.0
270,1.8
271,3.6
272,1.0
273,0.0
274,11.4
275,10.6
276,0.0
277,36.0
278,7.6
279,10.8
280,0.0
281,1.0
282,13.4
283,0.0
284,8.0
285,1.0
286,6.6
287,1.0
288,0.0
289,0.0
290,0.0
291,5.6
292,0.0
293,2.0
294,0.0
295,7.0
296,1.0
297,4.4
298,0.0
299,33.4
300,3.0
301,1.6
302,11.0
303,2.4
304,1.5
305,7.0
306,0.0
307,12.6
308,5.2
309,3.6
310,1.8
311,0.0
312,2.0
313,1.0
314,15.4
315,10.6
316,2.0
317,2.8
318,0.0
319,0.0
320,1.0
321,18.2
322,11.4
323,5.4
324,3.0
325,0.0
326,1.0
327,38.0
328,131.8
329,1.0
330,0.0
331,1.0
332,0.0
333,1.0
334,1.6
335,0.0
336,0.0
337,2.0
338,6.6
339,1.8
340,1.75
341,1.0
342,17.0
343,3.4
344,0.0
345,1.0
346,1.25
347,2.0
348,1.0
349,5.4
350,2.0
351,0.0
352,2.4
353,2.0
354,3.6
355,1.0
356,1.8
357,11.0
358,1.0
359,7.8
360,0.0
361,2.0
362,29.6
363,1.0
364,58.8
365,1.6
366,3.6
367,1.4
368,1.0
369,6.0
370,0.0
371,0.0
372,1.0
373,5.8
374,0.0
375,0.0
376,0.0
377,1.0
378,1.8
379,19.4
380,1.0
381,1.0
382,1.0
383,0.0
384,0.0
385,1.0
386,2.0
387,1.0
388,2.0
389,3.0
390,1.0
391,0.0
392,3.6
393,1.0
394,2.0
395,2.0
396,1.8
397,1.0
398,1.0
399,3.0
400,1.8
401,0.0
402,1.0
403,1.0
404,1.0
405,17.0
406,1.0
407,29.0
408,0.0
409,2.0
410,2.0
411,14.4
412,2.8
413,26.4
414,9.0
415,1.0
416,1.0
417,6.0
418,8.2
419,1.0
420,0.0
421,0.0
422,3.0
423,1.0
424,1.0
425,4.0
426,0.0
427,12.2
428,0.0
429,10.6
430,1.0
431,22.8
432,7.0
433,1.0
434,0.0
435,4.8
436,8.8
437,0.0
438,3.0
439,0.0
440,7.0
441,3.0
442,2.0
443,0.0
444,2.0
445,5.2
446,11.0
447,14.6
448,1.0
449,3.4
450,0.0
451,1.8
452,5.0
453,0.0
454,1.0
455,1.0
456,2.6
457,1.0
458,1.0
459,1.0
460,7.2
461,0.0
462,6.0
463,10.0
464,9.6
465,4.6
466,1.0
467,0.0
468,0.0
469,0.0
470,1.0
471,4.75
472,13.0
473,4.0
474,39.8
475,4.5
476,3.8
477,0.0
478,5.4
479,28.4
480,0.0
481,0.0
482,0.0
483,0.0
484,15.8
485,1.0
486,7.0
487,0.0
488,0.0
489,6.4
490,0.0
491,1.25
492,2.6
493,2.0
494,1.0
495,1.4
496,2.0
497,6.0
498,7.2
499,4.8
500,0.0
501,0.0
502,1.0
503,31.6
504,3.8
505,6.4
506,21.0
507,1.0
508,0.0
509,0.0
510,1.0
511,3.6
512,3.0
513,0.0
514,0.0
515,0.0
516,3.4
517,1.8
518,13.0
519,0.0
520,0.0
521,0.0
522,3.6
523,1.0
524,2.0
525,3.4
526,0.0
527,2.0
528,2.0
529,1.0
530,0.0
531,1.0
532,5.4
533,1.0
534,6.0
535,6.6
536,21.4
537,7.4
538,1.0
539,1.6
540,3.2
541,0.0
542,0.0
543,4.6
544,7.6
545,1.6
546,0.0
547,0.0
548,2.0
549,3.0
550,1.0
551,3.0
552,3.2
553,1.0
554,47.6
555,1.0
556,1.0
557,5.0
558,2.0
559,2.0
560,3.6
561,1.0
562,1.8
563,0.0
564,5.4
565,5.4
566,1.0
567,2.4
568,9.75
569,3.0
570,7.0
571,3.0
