,IC
0,0.0
1,0.0
2,1.538219975
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.27919472
9,2.167344
10,1.278906575
11,1.62556374
12,0.0
13,2.26005534
14,2.167344
15,1.27919472
16,2.50911158
17,1.87298615
18,1.62556374
19,1.2783340333333333
20,2.37478346
21,0.0
22,1.9582812600000001
23,2.1364672
24,2.10814638
25,2.48285266
26,0.0
27,1.278906575
28,2.0359841600000004
29,1.27588845
30,1.62556374
31,1.62556374
32,1.62556374
33,1.9146188800000001
34,1.2803473
35,1.82909246
36,3.02953976
37,1.278906575
38,0.0
39,2.03650302
40,2.17861404
41,1.896619
42,0.0
43,2.17887222
44,2.98620736
45,1.2803473
46,2.97037102
47,1.2813989
48,2.8362046800000003
49,1.2813989
50,0.0
51,0.0
52,2.0907305000000003
53,0.0
54,2.16781254
55,1.278906575
56,1.5568269000000001
57,2.30457812
58,0.0
59,0.0
60,0.0
61,0.0
62,1.8801303800000002
63,1.27919472
64,1.27919472
65,1.6264727749999999
66,1.280285225
67,1.6291247333333334
68,2.4916928999999994
69,2.72627292
70,2.4562726
71,1.9155316599999999
72,3.0937652200000003
73,2.6091118799999995
74,2.1982596
75,1.62556374
76,3.03902054
77,2.4707929
78,1.62556374
79,2.4298453199999996
80,2.22919774
81,0.0
82,1.8801303800000002
83,1.2813989
84,1.2813989
85,1.82909246
86,1.2803473
87,0.0
88,1.27919472
89,1.82909246
90,1.6241775333333333
91,0.0
92,1.6291247333333334
93,2.90292952
94,1.82909246
95,0.0
96,1.27919472
97,3.3958774
98,2.19872814
99,2.17979256
100,1.27919472
101,1.27919472
102,1.34793156
103,0.0
104,3.07209994
105,1.691122825
106,1.27919472
107,0.0
108,1.278906575
109,1.62556372
110,0.0
111,2.77663006
112,1.48783022
113,2.54411786
114,3.3132304000000006
115,0.0
116,1.27919472
117,0.0
118,1.27919472
119,1.9615872500000002
120,0.0
121,1.27919472
122,2.49233502
123,2.1371723400000002
124,2.2542500000000003
125,2.0775061800000003
126,2.81651252
127,1.8801303800000002
128,1.8826098000000002
129,0.0
130,0.0
131,0.0
132,0.0
133,2.0750819999999996
134,2.3579383
135,2.21915425
136,2.32011388
137,1.9155316599999999
138,2.0750819999999996
139,1.280285225
140,0.0
141,2.61718702
142,0.0
143,1.538219925
144,1.82909246
145,1.27919472
146,0.0
147,1.27919472
148,1.8166029600000002
149,1.2783340333333333
150,1.8801303800000002
151,1.6255637
152,1.6291247000000002
153,1.72666928
154,0.0
155,2.30457812
156,0.0
157,2.0750819999999996
158,1.6255637
159,1.4878302
160,0.0
161,2.1954538999999995
162,3.18315066
163,1.6255637
164,2.19872814
165,1.99772456
166,1.4878302
167,1.278906575
168,1.8801303800000002
169,2.75558338
170,1.6255637
171,1.2783340333333333
172,1.27919472
173,1.278906575
174,3.2304817333333333
175,1.280285225
176,0.0
177,0.0
178,1.8782779333333333
179,2.79316182
180,2.50926636
181,2.8937093
182,2.57379312
183,0.0
184,1.27919472
185,0.0
186,0.0
187,1.2783340333333333
188,1.36705345
189,1.278906575
190,0.0
191,0.0
192,0.0
193,0.0
194,2.228327925
195,0.0
196,0.0
197,0.0
198,1.77865452
199,0.0
200,3.2601840199999996
201,2.95697076
202,3.18327358
203,3.40252226
204,1.4878302
205,1.6760016400000002
206,1.6078647799999999
207,2.3615273666666665
208,1.99772456
209,1.99772456
210,0.0
211,0.0
212,1.6255637
213,1.2783340333333333
214,2.4541728333333332
215,1.4179639400000001
216,0.0
217,0.0
218,1.27919472
219,0.0
220,1.4169282199999997
221,0.0
222,1.9195028
223,2.1282200800000006
224,0.0
225,2.5254607200000003
226,1.278906575
227,0.0
228,0.0
229,0.0
230,3.17516438
231,0.0
232,1.8997058800000002
233,2.45366688
234,0.0
235,2.1479119499999997
236,2.5097537
237,2.4688477000000004
238,1.27919472
239,0.0
240,2.1361918
241,0.0
242,0.0
243,1.27919472
244,2.95042296
245,1.27919472
246,0.0
247,1.8801303800000002
248,1.278906575
249,1.27919472
250,1.41805764
251,0.0
252,2.9341783
253,1.6255637
254,2.9717578600000003
255,1.7596778800000004
256,1.9961561
257,2.73742596
258,2.1304130799999994
259,0.0
260,2.71977548
261,2.7753378
262,0.0
263,0.0
264,0.0
265,1.7990450600000003
266,1.9192282200000002
267,1.27919472
268,2.39568346
269,1.2783340333333333
270,1.5568268600000001
271,1.9968602400000002
272,1.27919472
273,0.0
274,2.75157336
275,2.68967838
276,0.0
277,3.23501458
278,2.50957316
279,2.72192116
280,0.0
281,1.27919472
282,2.81928738
283,0.0
284,2.53894162
285,1.27919472
286,2.41642274
287,1.27919472
288,0.0
289,0.0
290,0.0
291,2.30413602
292,0.0
293,1.6291247000000002
294,0.0
295,2.45732874
296,1.27919472
297,2.1371723400000002
298,0.0
299,3.21253344
300,1.8801303800000002
301,1.48670078
302,2.73619052
303,1.72666928
304,1.43085085
305,2.44698942
306,0.0
307,2.8070863599999996
308,2.2542500000000003
309,1.9968602400000002
310,1.5561153600000002
311,0.0
312,1.6255637
313,1.27588845
314,2.9152818799999998
315,2.71544654
316,1.6255637
317,1.82909246
318,0.0
319,0.0
320,1.2803473
321,2.99255346
322,2.7459451
323,2.27868008
324,1.8801303800000002
325,0.0
326,1.2803473
327,3.245061533333333
328,3.4524346200000005
329,1.27919472
330,0.0
331,1.2813989
332,0.0
333,1.27919472
334,1.48670078
335,0.0
336,0.0
337,1.6255637
338,2.4120924799999997
339,1.55614912
340,1.538219925
341,1.280285225
342,2.96261646
343,1.9582812600000001
344,0.0
345,1.27919472
346,1.36705345
347,1.6255637
348,1.27883735
349,2.2603441799999997
350,1.6255637
351,0.0
352,1.72666928
353,1.6255637
354,1.99772456
355,1.27919472
356,1.55614912
357,2.73434726
358,1.27919472
359,2.52669918
360,0.0
361,1.6255637
362,3.17732454
363,1.27919472
364,3.3469783200000003
365,1.48670078
366,1.99772456
367,1.4179639400000001
368,1.27919472
369,2.34583284
370,0.0
371,0.0
372,1.278906575
373,2.3292458199999997
374,0.0
375,0.0
376,0.0
377,1.27919472
378,1.5557911399999997
379,3.01850438
380,1.2748327
381,1.2813989
382,1.27919472
383,0.0
384,0.0
385,1.27919472
386,1.6255637
387,1.280285225
388,1.6255637
389,1.8801303800000002
390,1.2786014
391,0.0
392,1.9968602400000002
393,1.2783340333333333
394,1.6250995750000001
395,1.6255637
396,1.5371387200000002
397,1.280285225
398,1.27919472
399,1.8253392599999998
400,1.55614912
401,0.0
402,1.27919472
403,1.278906575
404,1.27919472
405,2.9617635399999998
406,1.27919472
407,3.17132274
408,0.0
409,1.6291247000000002
410,1.6255637
411,2.87600814
412,1.8040267200000002
413,3.13858882
414,2.61582226
415,1.27919472
416,1.2783340333333333
417,2.35406046
418,2.5589671
419,1.27919472
420,0.0
421,0.0
422,1.7870431199999999
