,SC
0,0.0
1,0.0
2,859.2775851499999
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.05890568
9,559.7781154
10,70.765634625
11,887.3202879999999
12,0.0
13,831.320042
14,1164.74579
15,2.5809147
16,3904.4726
17,408.39612
18,190.20333200000002
19,7456.89195
20,24996.6558
21,0.0
22,16484.085400000004
23,6892.588560000001
24,6031.501662000001
25,25530.439720000002
26,0.0
27,15.600805575
28,14436.08388
29,2454.1273
30,7.0329478199999995
31,70.6935412
32,227.517134
33,4731.760258
34,9.172284
35,23305.183599999997
36,50527.9522
37,13.82438985
38,0.0
39,2469.272068
40,79636.63540026
41,5845.70428
42,0.0
43,9114.29309
44,54160.652799999996
45,92.66971600000001
46,132990.1468
47,134.48832666666667
48,23294.6764
49,406.7963466666667
50,0.0
51,0.0
52,42.738612599999996
53,0.0
54,150.8227208
55,2.7599972
56,2.6967309999999998
57,12477.491399999999
58,0.0
59,0.0
60,0.0
61,0.0
62,4249.443219999999
63,7.834318819999998
64,789.77792
65,595.9400625000001
66,292.5213825
67,27.91168433333333
68,41670.5482
69,5110.212600000001
70,14665.02825
71,527.3737456
72,122283.044
73,18447.7182
74,19296.2611
75,230.26573199999999
76,2237.510872
77,1014.60939
78,895.011768
79,3290.4957679999998
80,1682.6548199999997
81,0.0
82,3382.8478999999998
83,134.48832000000002
84,46.95059366666667
85,1477.26204
86,676.1115
87,0.0
88,388.050116
89,20482.211199999998
90,4221.6979
91,0.0
92,587.9444866666666
93,766590.152
94,2467.0004799999997
95,0.0
96,3.51129574
97,1252101.0
98,3978.54058
99,28607.259840000002
100,2.75244936
101,3715.4321000000004
102,3.6078837199999994
103,0.0
104,113737.53020000001
105,3596.90015
106,164.103864
107,0.0
108,268.94802500000003
109,8.879339179999999
110,0.0
111,10853.08396
112,240.35336739999997
113,19291.990200000004
114,253440.27000000002
115,0.0
116,232.252542
117,0.0
118,446.668002
119,1048.042465
120,0.0
121,129.78576280000001
122,850.5124819999999
123,2113.15962
124,2720.842164
125,241.08592200000004
126,104620.532
127,186.179514
128,60.022068000000004
129,0.0
130,0.0
131,0.0
132,0.0
133,328.973406
134,13122.47
135,4566.3627
136,1199.0674999999999
137,5087.443921659999
138,573.704216
139,924.59831
140,0.0
141,13780.754
142,0.0
143,527.405412075
144,111.39399599999999
145,1343.2352999999998
146,0.0
147,1135.69598
148,2090.58172
149,370.9922133333334
150,13.96742372
151,174.85167
152,96.57359633333333
153,1556.792788
154,0.0
155,15971.08644
156,0.0
157,4762.40034
158,9.6158904
159,3.5292846600000005
160,0.0
161,815.3689860000001
162,171443.75999999998
163,15.329298900000001
164,3513.345164
165,1213.9284839999998
166,30.823788479999997
167,183.67261000000002
168,6422.02478
169,22000.1566
170,2612.2265399999997
171,365.6214733333333
172,20.909203400000003
173,6.392601225
174,335095.29333333333
175,1.79857065
176,0.0
177,0.0
178,505.56598
179,10167.9779
180,28482.711399999993
181,52393.261000000006
182,5661.0447
183,0.0
184,43.6597292
185,0.0
186,0.0
187,20.719706
188,945.57591
189,50.15047
190,0.0
191,0.0
192,0.0
193,0.0
194,2678.951725
195,0.0
196,0.0
197,0.0
198,1472.768184
199,0.0
200,416351.56799999997
201,72770.6584
202,488600.19860000006
203,1702642.6199999999
204,13.06074874
205,4.72559828
206,101.0927484
207,15141.661000000002
208,1611.76776
209,3072.75642
210,0.0
211,0.0
212,1352.590066
213,4194.29385
214,907.0819399999999
215,3.04681116
216,0.0
217,0.0
218,381.07248200000004
219,0.0
220,168.53715932
221,0.0
222,482.33278999999993
223,17715.79258
224,0.0
225,2321.2634800000005
226,92.15856075
227,0.0
228,0.0
229,0.0
230,192515.447
231,0.0
232,974.488047
233,1607.89168
234,0.0
235,3877.1790625
236,8130.674780000001
237,483.000068
238,11.497436259999999
239,0.0
240,2094.79394
241,0.0
242,0.0
243,6.1967722200000015
244,42931.7326
245,2.76357754
246,0.0
247,1041.336328
248,281.5555425
249,789.777772
250,3.8309440599999993
251,0.0
252,122729.5908
253,756.39979
254,32458.0256
255,8129.92932
256,10341.3522125
257,24178.796400000003
258,11041.315
259,0.0
260,3302.92022
261,4940.295220000001
262,0.0
263,0.0
264,0.0
265,23.687432860000005
266,165.94037299999997
267,142.2031622
268,10306.908140000001
269,1.9978416999999997
270,43.134238720000006
271,12486.20414
272,11687.89421
273,0.0
274,18955.84966
275,8289.876783999998
276,0.0
277,24743.644200000002
278,750.39708
279,78666.974
280,0.0
281,3969.49274
282,7373.83956
283,0.0
284,10023.4249
285,530.6727960000001
286,4774.075180000001
287,37.3248458
288,0.0
289,0.0
290,0.0
291,8949.061819999999
292,0.0
293,2145.9326333333333
294,0.0
295,35.1937506
296,151.521424
297,2600.13514
298,0.0
299,442388.61600000004
300,139.92444400000002
301,1204.6904140000001
302,17383.4
303,25.3160691
304,3691.6773375
305,6147.591488
306,0.0
307,24932.2112
308,1813.6790339999995
309,15785.1038
310,391.65093800000005
311,0.0
312,763.368966
313,1.5694369
314,1901941.5
315,89119.9672
316,1707.69976
317,1680.671452
318,0.0
319,0.0
320,4320.0415
321,64158.327399999995
322,15192.41668
323,2655.2627
324,110.41969180000001
325,0.0
326,1.5398333999999998
327,9395.347666666667
328,1105291.3960000002
329,789.777748
330,0.0
331,2.4615559
332,0.0
333,142.0332908
334,1.92012516
335,0.0
336,0.0
337,278.189474
338,5543.878180000001
339,35.529192
340,35.568491
341,924.59845
342,6432.28646
343,8933.71766
344,0.0
345,2.2171399999999997
346,173.6250525
347,296.131418
348,1002.3920300000001
349,1506.040176
350,514.8490859999999
351,0.0
352,972.0889279999999
353,805.101862
354,1058.0994999999998
355,117.07763320000001
356,2553.6578497
357,36056.1696
358,1.56167182
359,1640.08734
360,0.0
361,189.387294
362,216722.266
363,36.649632000000004
364,287429.412
365,158.05782600000003
366,264.3816692
367,132.8683408
368,1.5413025599999999
369,13069.63728
370,0.0
371,0.0
372,268.9481525
373,1785.765548
374,0.0
375,0.0
376,0.0
377,388.050022
378,854.7316820000002
379,43907.369999999995
380,42.07334
381,134.48829166666667
382,108.64642540000003
383,0.0
384,0.0
385,5148.31664
386,1158.946108
387,1.541604025
388,5883.892559999999
389,2020.9141599999998
390,4.4938507
391,0.0
392,790.489314
393,103.72444133333333
394,780.0176650000001
395,495.001486
396,668.968878
397,2.181239725
398,1.54237372
399,1847.9308808399996
400,263.2236951
401,0.0
402,8733.22
403,281.55562499999996
404,117.07765079999999
405,7961.985279999999
406,1.55549732
407,824052.088
408,0.0
409,1394.1574333333335
410,14.370412400000001
411,1333.1928599999999
412,9719.9473608
413,112157.10900000001
414,1733.722174
415,53.082091199999994
416,1.5861303666666666
417,472.1039400000001
418,9155.7782
419,5.2435121
420,0.0
421,0.0
422,731.53932476
423,1.54207976
424,1.5428598
425,8535.461800000001
