ID,SC,DC,EC,IC,LAC,BC,NC
3949,1419274,40,0.22644247,3.1698866,6.45,57399.863,18.256344
3056,1404294.1,38,0.22327854,3.1574237,7.736842,29784.938,20.871035
3674,1392387.5,38,0.22447652,3.1574237,6.7894735,58079.492,17.15706
4947,1371506,37,0.22106929,3.1507347,7.783784,48796.562,19.382181
2339,1040950.94,57,0.19579956,3.2434108,3.2631578,169134.39,14.526796
1895,943291.44,26,0.1841992,3.0477915,6.8461537,27333.887,12.4383135
3992,888166.8,26,0.17744945,3.0477915,7.769231,5202.241,13.35222
2173,853298.56,24,0.17450714,3.0205543,8.083333,11548.598,13.985644
4734,785989.7,29,0.16810732,3.0826125,5.2413793,16306.215,10.111193
773,783413.2,38,0.16893697,3.1574237,3.368421,76091.04,7.733963
3868,721203.75,20,0.16243371,2.9526417,5.8,30579.934,6.805162
1425,670961,21,0.15407175,2.9716074,8.095238,9309.26,11.057487
4775,651768.75,22,0.15281858,2.9891703,5.3636365,32678.81,6.4419413
3189,587588.06,30,0.14470889,3.0927603,4.733333,37249.707,11.035598
4597,500271.84,18,0.13425314,2.909609,5.7777777,20781.674,7.019554
4055,496121.5,98,0.12566051,3.320263,1.5102041,692609.4,15.807887
329,494154,138,0.09760913,3.3525372,0.73913044,849500.7,18.52337
1314,458610.7,15,0.1282196,2.828456,5.6,5814.088,6.0238094
1687,419904.75,15,0.12229859,2.828456,6.9333334,5546.3115,8.388461
2289,405907.12,21,0.11981263,2.9716074,6.1904764,10651.276,10.652423
2026,343040.94,15,0.1099179,2.828456,7.866667,984.546,9.587271
3900,317565.06,11,0.10574438,2.6711242,6.3636365,180.44919,7
1206,313702.56,13,0.10622882,2.7588198,3.8461537,4880.341,4.2
3578,313185.47,66,0.09845367,3.2678378,1.0909091,353295.66,6.0605416
1570,273960.34,57,0.09481686,3.2434108,2.3859649,333514.5,12.263236
315,273548.9,13,0.098857686,2.7588198,5.076923,3351.509,5.8166666
3083,206917.08,10,0.085715614,2.618203,3.2,745.88885,3.5873015
4545,205923.75,10,0.0858594,2.618203,3.6,9919.478,4
618,198654.12,8,0.08425241,2.486766,4.5,295.8393,5.142857
4895,186139.86,41,0.07727173,3.1757843,1.1707317,288966.47,5.442613
4377,185479.6,14,0.08158048,2.7955148,2.857143,33367.543,3.0769231
204,183257.25,70,0.066337556,3.2768629,0.54285717,438480.88,3.5888367
882,173508.64,14,0.07836734,2.7955148,4,6077.5464,5.0687647
3273,155413.75,20,0.07523535,2.9526417,2.6,48893.15,4.3740005
300,152835.27,36,0.069461115,3.1436443,0.8888889,139654.55,2.6498501
555,150122.03,44,0.070927836,3.1918612,3.909091,75513.164,24.554646
2491,143228.75,25,0.06950723,3.0346801,0.56,95425.78,0.81481105
2197,141703.38,7,0.07096493,2.4037886,4.857143,26.278315,5.6666665
2362,126868.086,52,0.060744632,3.2263856,1.8461539,249258.55,8.670187
4226,125697.58,13,0.06743824,2.7588198,3.0769231,16878.385,3.3333333
4305,121157.03,7,0.0658953,2.4037886,2.2857144,695.3482,2.6666667
2810,120938.95,7,0.06573109,2.4037883,3.142857,2153.5874,3.6666667
2219,120285.39,105,0.039607808,3.3275254,0.15238096,612437.06,2.0045893
1384,112748.47,33,0.062155973,3.1202662,2.3636363,82308.96,8.045792
3720,111890.5,41,0.0568516,3.1757843,0.9268293,199862.86,2.13093
1332,111596.04,70,0.045134142,3.2768629,1.5142857,413038.47,7.657449
504,106981.95,30,0.060053192,3.0927603,4.2,30403.645,14.39274
4049,104794.125,9,0.061977364,2.5573883,3.1111112,10899.49,3.725
1837,96700.984,31,0.055354476,3.1025028,0.58064514,89428.11,1.6126374
4008,96607.23,14,0.058787663,2.7955148,3.2857144,5611.1445,4.389744
4733,94933.31,23,0.055898447,3.0054257,2.6086957,58415.24,4.3723645
4475,93660.68,28,0.053292226,3.0716963,2.2857144,85377.96,5.6585174
3129,93119.77,6,0.057727806,2.3048878,2.6666667,1937.9047,3.2
3291,90457.445,12,0.057246756,2.7176588,2.1666667,11142.177,2.4318182
2815,90369.51,7,0.057523523,2.4037883,2,11247.47,2.3333333
408,88772.2,28,0.054717015,3.0716963,3.857143,57038.195,13.770673
94,88507.125,12,0.056398857,2.7176585,2.1666667,13369.3125,2.7337663
4278,83578.45,11,0.05499512,2.6711242,0.72727275,12157.81,0.825
3277,82903,30,0.050328605,3.0927603,0.8666667,147793.02,2.3052583
4044,80395.98,11,0.053656127,2.6711242,1.0909091,2642.715,1.2222222
4868,80229.28,40,0.053179797,3.1698866,0.95,135229.25,4.435035
5020,79971.36,34,0.050529394,3.128502,2.7058823,127640.76,12.323687
115,75335.02,50,0.044925112,3.2186444,1.72,248837.27,7.070242
485,74565.516,17,0.05205197,2.8850784,0.7058824,36746.188,0.8361111
768,71237.47,14,0.0510382,2.7955148,0.71428573,12925.863,1.0662394
2822,69762.45,4,0.049872097,2.0367994,3,0,4
365,69210.11,56,0.034903303,3.2402136,0.8214286,238500.23,4.7633862
1889,65493.62,14,0.048940364,2.7955148,1.4285715,17233.357,1.5384616
3290,65484.176,13,0.04910527,2.7588198,0.30769232,14328.556,0.75
1950,65428.723,16,0.048804853,2.8581145,0.875,26724.893,0.99444443
3672,64534.863,86,0.037020765,3.304923,0.55813956,543883.1,6.5417123
630,63095.555,33,0.042523384,3.1202662,0.7878788,121104.95,2.5708225
4354,62042.215,27,0.0317128,3.0601609,5.259259,54656.668,11.943922
1612,61633.02,20,0.047366127,2.9526417,1.7,38594.234,4.3926425
1502,59812.246,31,0.029378345,3.1025028,5.032258,39930.86,11.654655
2266,59540.23,12,0.04672096,2.7176588,1.1666666,14105.833,1.9689394
1695,59060.13,13,0.046495073,2.7588198,1.2307693,24468.879,1.5833334
4711,58402.633,8,0.045959335,2.486766,2.25,716.5484,2.5714285
3515,56628.203,6,0.045223255,2.3048878,1.3333334,5076.7764,1.6
2139,56108.414,38,0.03668112,3.1574237,1.5789474,153164.95,5.0267935
4568,55952.05,8,0.04459772,2.4867659,1,5607.8135,1.1428572
624,53047.883,18,0.04377554,2.909609,2,47529.062,3.476997
4069,52257.65,16,0.043534786,2.8581145,2.625,11052.353,5.519597
1701,51920.91,51,0.031927068,3.2226088,1.0588236,213422.66,5.3280125
1896,50732.47,25,0.026459673,3.0346801,6.08,20544.55,12.859475
414,50057.773,26,0.026835147,3.0477915,4.923077,30773.035,10.648636
4819,49095.742,29,0.035333987,3.0826125,1.1034483,114160.35,1.8127779
2573,48646.977,11,0.041480694,2.6711242,2.1818182,3486.2778,2.8
3709,46537.863,12,0.040454514,2.7176588,2.3333333,12057.857,3.490909
175,46111.984,35,0.034037262,3.1362824,0.74285716,177083.47,3.7714818
201,46105.477,30,0.037734047,3.0927603,0.53333336,117212.41,1.4160395
3286,45244.58,53,0.02699092,3.2300208,0.6415094,241341.98,3.8396196
2575,44883.52,13,0.03968133,2.7588198,0.15384616,12004.852,0.41666666
2944,44410.08,5,0.039655596,2.1850667,1.2,1698.5739,1.5
2539,43946.863,19,0.039016575,2.932016,1.7894737,19390.193,4.798038
1485,43753.348,4,0.039487194,2.0367994,1.5,6069.144,2
4739,43741.105,15,0.03394684,2.8284562,1.7333333,82578.54,2.2261906
725,42691.94,23,0.032526337,3.0054255,1.2173913,109601.88,4.7538238
363,42506.527,26,0.032959927,3.0477915,2.6923077,64470.285,6.607474
1417,41268.977,46,0.029368514,3.2014573,0.47826087,284036.75,1.6226348
4527,40718.89,25,0.027826037,3.0346801,1.36,118465.47,2.2297618
596,40498.34,20,0.026753278,2.9526417,5.2,21991.502,9.653862
1171,40212.97,30,0.026156226,3.0927603,4.0666666,64602.926,10.679875
2545,39907.59,10,0.035966214,2.618203,2.6,13356.685,3
641,39272.605,13,0.037773218,2.7588198,2.7692308,7153.916,5.945238
871,38401.883,3,0.03691842,1.8486637,2,0,3
1103,38125.105,9,0.03721535,2.5573883,0.6666667,7622.783,1.625
4874,37606.152,4,0.036473166,2.0367994,1.5,6136,2
956,37538.41,25,0.035790563,3.0346801,1.12,81893.35,3.4818125
1468,37517.81,25,0.025556039,3.0346801,4,59648.02,8.277824
625,36974.035,30,0.032837205,3.0927603,1.0666667,100800.625,2.275617
565,36390.59,6,0.03577465,2.3048878,3,1223.5652,3.6
3920,36062.83,28,0.026718346,3.0716963,1.7142857,110873.75,4.1515265
2909,35926.48,28,0.023002883,3.0716963,1.7857143,81143.06,5.0542326
3491,34808.11,51,0.027211105,3.2226088,0.627451,305156.4,4.4864607
163,33500.99,33,0.026866242,3.1202662,0.54545456,135650.58,1.34997
2128,33440.742,39,0.020505149,3.1637702,0.8717949,73037.17,3.1752944
499,33363.99,4,0.034285776,2.0367994,1.5,2071.3298,2
953,33130.5,15,0.03422785,2.828456,0.13333334,22863.297,0.4047619
3427,32428.234,20,0.03255369,2.9526417,1.8,27251.51,3.8033807
2472,31958.443,6,0.034231197,2.3048878,1,2900.1445,1.2
3722,31881.229,32,0.021048678,3.1116729,2.3125,83351.97,6.883603
1932,31157.648,6,0.033337854,2.3048878,3,631.92163,3.6
3254,31005.9,21,0.019715149,2.9716074,4.571429,22917.03,6.7340837
3363,30781.477,3,0.032948215,1.8486637,1.3333334,3.0834017,2
2860,30600.635,17,0.032616727,2.8850784,1.0588236,38293.562,2.0955086
955,30368.209,15,0.029979786,2.828456,1.2,32173.072,1.5892857
1680,30101.59,9,0.032894764,2.557388,1.5555556,8985.44,2.2416666
4503,28686.29,25,0.025831081,3.0346801,1.36,73554.77,3.477814
1885,28553.482,19,0.018862132,2.932016,5.6842103,15276.546,7.7644377
4154,28511.697,8,0.032300107,2.486766,0.5,17264.096,0.5714286
1567,27887.225,41,0.019266097,3.1757843,0.29268292,137077.17,0.9944474
3807,27798.217,14,0.029251706,2.7955148,0.42857143,17391.36,0.46153846
2792,27597.91,7,0.031790677,2.4037886,0,7024.4893,0
3519,27261.723,58,0.029234089,3.2464492,0.13793103,330381.66,2.070415
5076,26948.395,22,0.020088721,2.9891706,3.6363637,43867.42,5.808557
4966,26880.34,13,0.031347133,2.7588198,0.61538464,23530.85,0.8055556
666,26861.113,19,0.02137029,2.932016,4.9473686,14508.454,7.773955
1754,26782.197,22,0.022139657,2.9891706,0.8181818,124559.16,1.0026315
1409,26562.477,15,0.029186225,2.8284562,1.0666667,56680,1.3333334
3390,25606.012,39,0.025412925,3.1637702,0.5641026,143440.44,4.275574
1431,25022.703,36,0.025457831,3.1436443,1.3888888,124250.61,4.2141047
3086,24976.082,10,0.028927948,2.618203,1.2,3536.979,1.3333334
2509,24938.703,9,0.030002054,2.5573883,1.5555556,6626.255,1.75
2609,24085.059,12,0.024100041,2.7176585,1,51568.434,1.4924242
231,23961.62,17,0.020663546,2.8850784,2.9411764,27965.441,3.4901514
2945,23757.32,18,0.017125694,2.9096088,3.7777777,17909.74,4.921174
1547,23593.375,3,0.029182758,1.8486637,0.6666667,556.05316,1
3136,23084.574,3,0.028591469,1.8486637,0.6666667,26.089582,1
4564,22876.53,8,0.028078182,2.4867659,0.75,11536.883,0.85714287
1765,22675.434,16,0.024065364,2.8581147,1.125,44941.473,1.3004329
1467,22653.168,25,0.02455818,3.0346801,0.48,69365.65,1.8300449
5069,22548.307,13,0.01842832,2.7588198,0.9230769,70717.62,1.1166667
1868,22459.424,21,0.016830143,2.9716074,3.2380953,26967.227,4.761946
2071,21819.924,31,0.01787446,3.1025028,0.6451613,98243.02,1.2141132
2687,21697.467,31,0.018284556,3.1025028,2.3225806,106685.89,6.2142196
4551,21680.422,18,0.02546724,2.9096088,0,41643.83,0
4339,21632.23,16,0.02612277,2.8581147,0.25,64699.266,1.4333333
633,21407.035,6,0.02773814,2.3048878,0.33333334,1953.0901,0.4
4948,21295.19,7,0.0276256,2.4037886,0,7275.7905,0
105,20969.314,21,0.024532119,2.9716074,1.0476191,47211.883,1.8336691
1334,20731.848,15,0.02401287,2.8284562,1.0666667,30302.844,1.3079365
3208,20125.69,15,0.022625148,2.8284562,1.0666667,32177.62,2.5824785
4455,20119.604,16,0.023298362,2.8581145,0.625,34702.176,2.4
3896,20118.299,14,0.026813738,2.7955148,0,26357.955,0
2747,19869.354,70,0.020181645,3.2768629,0.028571429,369915.84,0.35119048
37,19781.26,20,0.021149868,2.9526417,2.9,40154.19,6.3273997
2045,19391.393,12,0.023463493,2.7176585,0.5,37057.535,0.54545456
3316,19209.9,11,0.025080763,2.6711242,1.0909091,23305.037,1.9
3106,19159.764,3,0.026290158,1.8486637,0.6666667,695.2138,1
3734,19055.576,14,0.020714503,2.7955148,3.4285715,15089.182,5.1135864
4756,19007.312,18,0.021381717,2.909609,0.8888889,40717.11,2.176237
1310,18936.633,2,0.0259502,1.6019986,1,0,2
358,18667.875,10,0.016349865,2.618203,4,25810.193,4.4444447
1816,18661.168,16,0.016695503,2.8581145,5.75,9420.424,8.101773
3145,18603.615,7,0.025531182,2.4037886,1.4285715,10960.702,1.6666666
170,18515.207,14,0.01610606,2.7955148,3.4285715,3425.6194,4.7226496
1428,18430.87,8,0.025588114,2.486766,1.75,8641.478,2
2429,18291.438,24,0.017727498,3.0205543,1,122595.84,2.0928957
1027,18188.426,16,0.022715285,2.8581147,5.125,13307.007,9.232784
2439,18167.232,11,0.015002734,2.6711242,1.4545455,17333.566,1.6
3362,18164.398,15,0.015796535,2.8284562,3.4666667,9240,4.1550117
1441,18149.287,22,0.01820746,2.9891706,2.4545455,40068.605,4.286905
3019,18082.492,11,0.023611568,2.6711242,0.18181819,12734.594,0.2
1761,17431.713,14,0.022884766,2.7955148,0.85714287,62496.406,1.6621795
5002,17087.506,66,0.019086922,3.2678378,0.09090909,315946.47,0.5638889
433,16990.416,8,0.024364129,2.486766,1.75,15892.346,2.297619
4880,16959.064,4,0.024486113,2.0367994,1.5,372.70352,2
2998,16774.766,8,0.02420314,2.486766,2,6973.6445,2.2857144
1338,16528.34,13,0.018035054,2.7588198,3.0769231,6792.6406,3.3333333
4374,16496.04,9,0.020572258,2.5573883,3.7777777,28869.068,4.6666665
606,16256.757,35,0.01953576,3.1362824,0.22857143,143566.22,1.094521
322,16059.385,16,0.014364137,2.8581145,3.75,9797.312,5.350866
2050,15875.029,20,0.02133955,2.9526417,2.5,33042.1,5.5249243
1383,15752.466,30,0.023896366,3.0927608,0,130228.74,0
2883,15704.487,20,0.02086478,2.9526417,1.9,30709.203,4.0499234
1348,15690.606,6,0.023322241,2.3048878,0.6666667,10809.769,0.8
3831,15653.03,18,0.015096849,2.909609,2.8888888,18475.275,3.8621068
3728,15597.541,16,0.01926847,2.8581145,1.25,35516.152,1.3916667
3380,15519.897,13,0.01533696,2.7588198,6.1538463,1166.0667,8.045455
2165,15503.474,11,0.015546874,2.6711242,2.909091,20564.05,3.2222223
2150,15438.212,16,0.015024471,2.8581147,2.375,35759.6,2.8521369
992,15384.365,9,0.018279145,2.5573883,4.4444447,4227.474,5.428571
1413,15339.116,15,0.022260364,2.8284562,0.6666667,28261.07,1.9047619
1475,15285.904,12,0.020528248,2.7176588,0.33333334,32542.154,0.36363637
4034,15216.663,17,0.01970425,2.8850784,0.23529412,35918.246,0.6875
2076,15092.625,15,0.018895272,2.8284562,0.6666667,65701.91,0.72619045
507,15041.642,20,0.018579967,2.9526417,0.6,50099.9,1.1112782
2893,14964.973,9,0.021829769,2.5573883,0.22222222,20502.64,1.125
69,14934.058,7,0.019789755,2.4037883,3.142857,7399.7207,3.7666667
2388,14772.614,15,0.017429091,2.828456,0.93333334,33255.594,1.4857143
4795,14749.088,13,0.017873073,2.7588196,0.7692308,47391.742,0.8888889
3886,14714.737,10,0.023219233,2.618203,0.4,17199.15,0.44444445
3176,14622.01,10,0.02164503,2.618203,0.2,18854.83,0.22222222
1463,14569.391,11,0.018878812,2.6711242,0.90909094,27721.3,1
3376,14537.948,15,0.019960927,2.8284562,2.2666667,18917.25,4.860004
2650,14358.019,16,0.017862644,2.8581147,1.5,39963.84,1.6333333
1691,14225.667,8,0.022585472,2.486766,1.5,8850.652,1.7142857
1196,14202.099,13,0.01679901,2.7588196,2,33630.38,2.6309524
1979,14191.023,14,0.01919669,2.7955148,5.857143,9808.47,9.304579
3416,13910.401,12,0.019560939,2.7176585,2.6666667,11675.81,3.9075758
1256,13837.922,7,0.020467013,2.4037883,0.5714286,19270.963,0.6666667
4804,13828.21,9,0.021457197,2.5573883,1.1111112,9560.463,1.625
4626,13771.918,13,0.017514775,2.7588198,2.1538463,13863.632,2.452381
3010,13619.305,23,0.019165454,3.0054255,1.4782609,60028.723,3.4790044
1688,13599.317,16,0.016126048,2.8581145,3.5,11822.034,5.7846155
1341,13574.9375,10,0.015344633,2.618203,0.6,30994.51,0.84444445
1007,13568.332,21,0.016080717,2.9716074,0.6666667,101019.25,0.79626626
5048,13497.397,2,0.022159843,1.6019986,1,0,2
3977,13462.615,16,0.013724518,2.8581145,0.75,57324.543,0.9818182
255,13414.954,18,0.015943553,2.9096088,4.2222223,9562.231,7.971503
4265,13381.761,14,0.017841233,2.7955148,6.142857,14027.57,10.337913
2101,13372.506,4,0.020132117,2.0367994,0,16717.504,0
4367,13220.592,16,0.017078683,2.8581147,3,45055.902,3.8940477
432,13184.922,20,0.019521857,2.9526417,0.8,47340.004,1.5136887
3852,13133.257,9,0.021445416,2.557388,1.5555556,15423.4,2.1785715
2496,13049.95,10,0.020113543,2.618203,0,5207.904,0
4249,12871.342,25,0.01883628,3.0346801,1.44,90311.23,5.608333
