ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,770.4598,2,0.002111064,1.6189059,1,0,2
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,1.9893098,1,8.60E-06,1.275084,0,0,0
9,430.12625,5,0.001458078,2.2166636,2.4,2476.2913,3
10,0,0,0,0,0,0,0
11,463.9083,2,0.001338631,1.6189059,0,487.8797,0
12,0,0,0,0,0,0,0
13,267.61472,3,0.000332,1.8712196,0.6666667,1358.4769,1
14,664.9282,5,0.001733548,2.2166636,0,11248.917,0
15,1.9905286,1,1.34E-05,1.275084,0,0,0
16,1002.7458,7,0.002219774,2.4420903,1.1428572,4186.2427,1.3666667
17,0,0,0,0,0,0,0
18,158.13489,2,0.001001321,1.6189059,0,909.86224,0
19,13362.83,1,0.00961149,1.275084,0,0,0
20,9811.35,5,0.006993019,2.2166636,1.2,529.95886,1.5
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,3282.6846,4,0.00285511,2.0642235,0,8747.328,0
24,68.7574,2,0.000675,1.6189059,0,342.1335,0
25,15553.147,8,0.00889291,2.5277798,1.75,7469.9336,2.0714285
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,8430.877,4,0.006200434,2.0642235,0.5,4928.354,0.6666667
29,0,0,0,0,0,0,0
30,4.8536015,2,0.000106,1.6189058,0,1184.5404,0
31,40.40201,2,0.000375,1.6189058,1,0,2
32,15.082686,1,0.000248,1.275084,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,22865.03,3,0.012202513,1.8712196,0,8895.486,0
36,26571.71,20,0.009921661,3.0106688,2.9,32250.256,6.1542816
37,6.459964,1,0.000141,1.275084,0,0,0
38,0,0,0,0,0,0,0
39,486.78732,3,0.001419702,1.8712196,0,848.0575,0
40,92706.64,12,0.025403958,2.7667344,1.3333334,8642.35,1.4727273
41,5882.3667,4,0.006266403,2.0642235,0.5,5069.2144,0.6666667
42,0,0,0,0,0,0,0
43,5246.8,6,0.003866116,2.3400774,1,2959.7222,1.3333334
44,11122.39,13,0.006906803,2.80941,0.9230769,31651.705,1.9833333
45,0,0,0,0,0,0,0
46,99869.484,17,0.025156353,2.9404523,7.1764708,18866.807,10.50758
47,93.64169,1,0.000718,1.275084,0,0,0
48,9359.273,13,0.006839471,2.80941,0.7692308,46219.582,2.7666667
49,184.71489,1,0.001013844,1.275084,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,10.870097,4,0.000123,2.0642235,0,17079.35,0
53,0,0,0,0,0,0,0
54,86.59377,5,0.000466,2.2166636,1.6,2221.444,2.5833333
55,1.9388986,1,2.53E-05,1.275084,0,0,0
56,2.611522,2,6.61E-06,1.6189058,0,6522,0
57,9237.644,6,0.007895087,2.3400774,0,7317.072,0
58,0,0,0,0,0,0,0
