,BC
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2105.34662
10,0.0
11,638.65316
12,0.0
13,1845.935625
14,8559.68416
15,0.0
16,7873.242079999999
17,0.0
18,987.717282
19,0.0
20,934.180102
21,0.0
22,0.0
23,7743.616900000001
24,2285.7864
25,6632.71726
26,0.0
27,0.0
28,3474.6318400000005
29,0.0
30,736.34343
31,0.0
32,191.277275
33,1941.8229999999999
34,0.0
35,7072.095079999999
36,35630.0614
37,0.0
38,0.0
39,950.084852
40,5187.4684
41,5078.879033333334
42,0.0
43,2070.000896
44,36886.0532
45,0.0
46,17859.8052
47,0.0
48,48604.139800000004
49,0.0
50,0.0
51,0.0
52,7834.522719999998
53,0.0
54,1861.71542
55,0.0
56,5046.8
57,6844.8568
58,0.0
59,0.0
60,0.0
61,0.0
62,7983.692239999999
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,3267.2472740000003
69,16551.2386
70,15791.14475
71,265.147314
72,70445.2084
73,16180.9708
74,7428.6338000000005
75,864.3709299999998
76,61780.465000000004
77,8393.63664
78,5208.262360000001
79,8152.16498
80,361.015636
81,0.0
82,8691.99726
83,0.0
84,0.0
85,9824.3012
86,0.0
87,0.0
88,0.0
89,2789.81503
90,0.0
91,0.0
92,0.0
93,14894.5049
94,438.16009199999996
95,0.0
96,0.0
97,0.0
98,4756.258779999999
99,4700.0919380000005
100,0.0
101,0.0
102,77.69150400000001
103,0.0
104,47709.4168
105,183.147965
106,0.0
107,0.0
108,0.0
109,368.9928
110,0.0
111,19581.2096
112,0.0
113,9031.79592
114,225380.744
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,9287.366800000002
123,698.921998
124,5204.321820000001
125,0.0
126,16553.9074
127,538.13101
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,547.7018919999999
134,0.0
135,0.0
136,2724.101475
137,2106.2104400000003
138,1373.0516919999998
139,0.0
140,0.0
141,8696.40962
142,0.0
143,1206.2525249999999
144,3222.50766
145,0.0
146,0.0
147,0.0
148,3207.65872
149,0.0
150,2521.5525399999997
151,0.0
152,2672.4967
153,102.689614
154,0.0
155,4690.412160000001
156,0.0
157,2835.32118
158,10296.274392000001
159,3795.6
160,0.0
161,2.40329264
162,102223.5804
163,364.89147
164,7204.8396999999995
165,13937.369900000002
166,198.420678
167,0.0
168,382.6766566666667
169,2155.4116999999997
170,6722.55984
171,0.0
172,0.0
173,0.0
174,180051.59
175,0.0
176,0.0
177,0.0
178,2220.7839333333336
179,23537.6656
180,9419.016
181,52619.286
182,6974.629060000001
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,1392.2848
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,3667.3195
199,0.0
200,135709.27120000002
201,29361.818999999996
202,141123.75799999997
203,540100.156
204,0.0
205,1442.324278
206,4499.578039999999
207,1182.6995
208,1555.052986
209,13172.2066
210,0.0
211,0.0
212,6274.0
213,0.0
214,6569.646233333333
215,155.005762
216,0.0
217,0.0
218,0.0
219,0.0
220,775.68284
221,0.0
222,6274.0
223,1276.184536
224,0.0
225,8208.670419999999
226,0.0
227,0.0
228,0.0
229,0.0
230,56179.852
231,0.0
232,3721.0083400000003
233,9890.6252
234,0.0
235,609.15845
236,9759.905999999999
237,29344.025
238,0.0
239,0.0
240,1108.2334812000001
241,0.0
242,0.0
243,0.0
244,93766.82100000001
245,0.0
246,0.0
247,3431.11232
248,0.0
249,0.0
250,0.0
251,0.0
252,14326.709666666668
253,919.4148766666667
254,14343.220000000001
255,0.0
256,0.0
257,21957.0952
258,4497.90471
259,0.0
260,8450.16568
261,26367.790399999998
262,0.0
263,0.0
264,0.0
265,9.439096666666668
266,3321.0749200000005
267,0.0
268,5408.560299999999
269,0.0
270,676.3724500000001
271,3913.88022
272,0.0
273,0.0
274,53503.7336
275,15017.1769
276,0.0
277,69623.0025
278,8752.6324
279,6503.22832
280,0.0
281,0.0
282,18254.342800000002
283,0.0
284,13345.229719999998
285,0.0
286,12493.884719999998
287,0.0
288,0.0
289,0.0
290,0.0
291,101.26105040000002
292,0.0
293,70.78830333333333
294,0.0
295,18325.178200000002
296,0.0
297,6531.98804
298,0.0
299,105129.26719999997
300,1252.4438
301,321.236886
302,28946.8468
303,531.891818
304,24.91744
305,13086.472799999998
306,0.0
307,44026.808
308,7883.533259999999
309,5792.469666666667
310,437.809856
311,0.0
312,0.0
313,0.0
314,3436.1886
315,12915.977
316,3895.6926599999997
317,3292.923472
318,0.0
319,0.0
320,0.0
321,19837.348400000003
322,8159.8993
323,12742.077800000001
324,0.0
325,0.0
326,0.0
327,101789.22333333333
328,739936.8960000001
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,665.62058
338,14321.3512
339,0.0
340,0.0
341,0.0
342,36333.884999999995
343,728.8827100000001
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,378.538422
351,0.0
352,3110.71326
353,1358.4289399999998
354,1402.38368
355,0.0
356,884.5236400000001
357,21001.4274
358,0.0
359,13874.660800000001
360,0.0
361,16199.3598
362,64104.703799999996
363,0.0
364,248512.33399999997
365,1435.5575199999998
366,17.644546000000002
367,0.0
368,0.0
369,7506.421980000001
370,0.0
371,0.0
372,0.0
373,3145.41284
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,55488.00919999999
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,614.2409479999999
389,2552.5795000000003
390,0.0
391,0.0
392,6274.0
393,0.0
394,0.0
395,1590.756926
396,79.965182
397,0.0
398,0.0
399,3814.92626
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,28782.378600000004
406,0.0
407,45983.7586
408,0.0
409,6326.0
410,5415.468965999999
411,36727.1076
412,1463.2377666666664
413,27279.9164
414,47417.882399999995
415,0.0
416,0.0
417,83.67170999999999
418,6859.58864
419,0.0
420,0.0
421,0.0
422,5730.469800000001
423,0.0
424,0.0
425,299.085656
426,0.0
427,20173.1044
428,0.0
429,8568.02754
430,0.0
431,47183.096000000005
432,11191.52174
433,0.0
434,0.0
435,6516.7458400000005
436,4206.467619999999
437,0.0
438,3870.5427499999996
439,0.0
440,276.45819
441,10820.5206
442,678.1033924999999
443,0.0
444,0.0
445,6575.866599999999
446,15120.696000000002
447,7698.572680000002
448,0.0
449,7828.5566199999985
450,0.0
451,5028.0
452,462.76086000000004
453,0.0
454,0.0
455,0.0
456,6274.0
457,0.0
458,0.0
459,0.0
460,14255.536099999998
461,0.0
462,1201.040714
463,16050.6736
464,35415.7832
465,8028.226079999999
466,0.0
467,0.0
468,0.0
469,0.0
