,DC
0,0.0
1,0.0
2,2.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,4.6
10,0.0
11,2.0
12,0.0
13,3.0
14,4.6
15,1.0
16,7.4
17,0.0
18,2.0
19,1.0
20,5.2
21,0.0
22,0.0
23,4.0
24,2.4
25,6.8
26,0.0
27,0.0
28,3.2
29,1.0
30,2.0
31,2.0
32,1.25
33,5.0
34,0.0
35,2.8
36,19.8
37,1.0
38,0.0
39,3.0
40,7.4
41,4.0
42,0.0
43,4.6
44,14.2
45,1.0
46,16.4
47,1.0
48,12.8
49,1.0
50,0.0
51,0.0
52,3.2
53,0.0
54,4.6
55,1.0
56,1.8
57,4.8
58,0.0
59,0.0
60,0.0
61,0.0
62,2.8
63,1.0
64,1.0
65,1.0
66,0.0
67,0.0
68,6.4
69,9.0
70,7.0
71,3.4
72,22.4
73,7.6
74,4.8
75,2.0
76,17.2
77,6.6
78,2.0
79,5.0
80,4.6
81,0.0
82,3.0
83,1.0
84,1.0
85,2.8
86,0.0
87,0.0
88,1.0
89,2.8
90,1.0
91,0.0
92,0.0
93,13.8
94,2.0
95,0.0
96,1.0
97,0.0
98,4.8
99,5.0
100,1.0
101,1.0
102,1.2
103,0.0
104,20.8
105,2.25
106,1.0
107,0.0
108,1.0
109,2.0
110,0.0
111,11.6
112,1.0
113,8.0
114,47.6
115,0.0
116,1.0
117,0.0
118,1.0
119,1.0
120,0.0
121,1.0
122,6.25
123,3.0
124,5.0
125,0.0
126,11.8
127,3.0
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,3.4
134,0.0
135,0.0
136,3.0
137,3.4
138,3.2
139,1.0
140,0.0
141,6.6
142,0.0
143,1.75
144,2.0
145,1.0
146,0.0
147,1.0
148,2.4
149,1.0
150,2.6
151,1.0
152,2.0
153,2.4
154,0.0
155,5.6
156,0.0
157,4.0
158,2.0
159,1.6
160,0.0
161,5.2
162,29.8
163,2.0
164,3.8
165,3.6
166,1.6
167,1.0
168,2.0
169,11.6
170,2.0
171,1.0
172,1.0
173,1.0
174,35.0
175,1.0
176,0.0
177,0.0
178,3.0
179,10.4
180,7.0
181,11.2
182,6.6
183,0.0
184,1.0
185,0.0
186,0.0
187,0.0
188,2.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,1.8
199,0.0
200,33.0
201,15.2
202,31.6
203,76.2
204,1.0
205,2.2
206,2.0
207,4.0
208,3.6
209,3.6
210,0.0
211,0.0
212,2.0
213,1.0
214,6.0
215,1.4
216,0.0
217,0.0
218,1.0
219,0.0
220,1.4
221,0.0
222,2.0
223,2.8
224,0.0
225,8.0
226,1.0
227,0.0
228,0.0
229,0.0
230,24.0
231,0.0
232,3.2
233,6.8
234,0.0
235,2.0
236,7.6
237,4.6
238,1.0
239,0.0
240,4.4
241,0.0
242,0.0
243,0.0
244,14.4
245,1.0
246,0.0
247,3.0
248,1.0
249,1.0
250,1.0
251,0.0
252,16.0
253,2.0
254,16.6
255,0.0
256,0.0
257,10.6
258,4.4
259,0.0
260,10.6
261,11.8
262,0.0
263,0.0
264,0.0
265,3.0
266,2.2
267,1.0
268,5.4
269,1.0
270,1.8
271,3.6
272,0.0
273,0.0
274,11.0
275,8.8
276,0.0
277,32.0
278,6.8
279,6.8
280,0.0
281,1.0
282,9.6
283,0.0
284,6.4
285,1.0
286,6.2
287,1.0
288,0.0
289,0.0
290,0.0
291,5.6
292,0.0
293,2.0
294,0.0
295,6.4
296,1.0
297,3.0
298,0.0
299,30.6
300,3.0
301,1.6
302,8.6
303,2.4
304,2.0
305,6.6
306,0.0
307,11.6
308,5.0
309,4.0
310,1.8
311,0.0
312,2.0
313,1.0
314,13.0
315,9.8
316,2.0
317,2.8
318,0.0
319,0.0
320,0.0
321,17.6
322,11.4
323,5.0
324,3.0
325,0.0
326,0.0
327,24.0
328,123.6
329,1.0
330,0.0
331,1.0
332,0.0
333,1.0
334,1.0
335,0.0
336,0.0
337,2.0
338,6.4
339,1.8
340,1.0
341,1.0
342,16.6
343,2.6
344,0.0
345,1.0
346,1.0
347,1.0
348,1.0
349,0.0
350,2.0
351,0.0
352,2.4
353,2.0
354,3.6
355,1.0
356,1.8
357,9.8
358,1.0
359,7.6
360,0.0
361,2.0
362,27.0
363,1.0
364,56.2
365,1.6
366,2.8
367,1.0
368,1.0
369,3.6
370,0.0
371,0.0
372,1.0
373,4.4
374,0.0
375,0.0
376,0.0
377,1.0
378,1.0
379,16.2
380,0.0
381,1.0
382,1.0
383,0.0
384,0.0
385,1.0
386,2.0
387,1.0
388,2.0
389,3.0
390,1.0
391,0.0
392,3.0
393,1.0
394,0.0
395,2.0
396,1.6
397,1.0
398,1.0
399,3.0
400,1.0
401,0.0
402,1.0
403,0.0
404,1.0
405,15.6
406,1.0
407,28.6
408,0.0
409,2.0
410,2.0
411,11.6
412,2.0
413,24.6
414,8.6
415,1.0
416,0.0
417,6.0
418,8.0
419,1.0
420,0.0
421,0.0
422,3.0
423,1.0
424,1.0
425,4.0
426,0.0
427,11.8
428,0.0
429,8.8
430,1.0
431,20.6
432,7.0
433,0.0
434,0.0
435,3.6
436,8.8
437,0.0
438,2.5
439,0.0
440,6.0
441,3.0
442,2.0
443,0.0
444,1.0
445,4.8
446,10.6
447,11.6
448,1.0
449,2.2
450,0.0
451,1.8
452,3.0
453,0.0
454,1.0
455,1.0
456,2.0
457,1.0
458,1.0
459,1.0
460,5.2
461,0.0
462,5.4
463,9.0
464,7.6
465,4.6
466,0.0
467,0.0
468,0.0
469,0.0
470,1.0
471,6.0
472,12.0
473,4.0
474,34.0
475,5.0
476,3.0
477,0.0
478,7.0
479,24.4
480,0.0
481,0.0
482,0.0
483,0.0
484,15.8
485,1.0
486,6.0
487,0.0
488,0.0
489,0.0
490,0.0
491,1.0
492,2.2
493,2.0
494,0.0
495,1.0
496,2.0
497,5.0
498,6.4
499,4.8
500,0.0
501,0.0
502,0.0
503,30.6
504,3.8
505,5.0
506,19.6
507,1.0
508,0.0
509,0.0
510,1.0
511,2.6
512,3.0
513,0.0
514,0.0
515,0.0
516,2.8
517,1.8
518,0.0
519,0.0
520,0.0
521,0.0
522,2.6
523,1.0
524,2.0
525,3.0
526,0.0
527,2.0
528,2.0
529,1.0
530,0.0
531,1.0
532,4.4
533,0.0
534,6.0
535,6.2
536,21.0
537,7.4
538,1.0
539,1.0
540,3.0
541,0.0
542,0.0
543,4.6
544,7.0
545,1.0
546,0.0
547,0.0
548,2.0
549,2.8
550,1.0
551,3.0
552,3.2
553,0.0
554,44.6
555,1.0
556,1.0
557,0.0
558,1.6
559,2.0
560,3.6
561,1.0
562,1.8
563,0.0
564,6.0
565,4.2
566,1.0
567,2.0
568,0.0
569,2.8
570,7.0
571,0.0
