,SC
0,0.0
1,0.0
2,418.78486666666663
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.9846911
9,164.7253012
10,0.0
11,254.770662
12,0.0
13,245.34598500000004
14,412.20503399999996
15,1.8767075599999998
16,785.737156
17,0.0
18,93.786516
19,4537.291156666667
20,5695.14206
21,0.0
22,0.0
23,2039.5483199999999
24,1041.9947772
25,7876.36298
26,0.0
27,0.0
28,4158.400474
29,636.72842
30,4.096903520000001
31,27.561036
32,23.288665749999996
33,2491.0693499999998
34,0.0
35,12135.2819
36,20398.6086
37,5.875592425000001
38,0.0
39,272.01229199999995
40,51773.095601919995
41,5105.277733333332
42,0.0
43,3578.2701652000005
44,8391.85766
45,33.75459
46,64651.283899999995
47,78.35455
48,7731.840300000001
49,189.66349666666667
50,0.0
51,0.0
52,8.289792760000001
53,0.0
54,56.323946
55,1.887646575
56,2.3231615199999998
57,5128.8457180000005
58,0.0
59,0.0
60,0.0
61,0.0
62,1468.2846319999999
63,2.05218876
64,136.2375882
65,269.892495
66,0.0
67,0.0
68,13104.722
69,1109.5742599999999
70,4803.997225
71,180.64850926000003
72,47786.263999999996
73,4794.104239999999
74,4654.790419999999
75,96.198213
76,486.36887400000006
77,243.49431799999996
78,159.93663399999997
79,445.28985
80,642.891202
81,0.0
82,1178.317322
83,78.354642
84,20.939875333333333
85,585.790148
86,0.0
87,0.0
88,215.619952
89,10039.126980000001
90,1429.9093433333335
91,0.0
92,0.0
93,400970.549
94,670.0976079999999
95,0.0
96,2.8720996000000003
97,0.0
98,2294.6299339999996
99,17656.036711999997
100,2.12404378
101,1570.8671319999999
102,2.7380271
103,0.0
104,43302.9314
105,1078.183425
106,76.74284800000001
107,0.0
108,120.57426
109,5.339171779999999
110,0.0
111,5022.8020799999995
112,39.443470340000005
113,8115.91228
114,77019.3708
115,0.0
116,71.301956
117,0.0
118,180.03118120000002
119,130.921595
120,0.0
121,53.069212500000006
122,207.451845
123,353.936726
124,268.925998
125,0.0
126,36685.6608
127,61.812670000000004
128,3.812939
129,0.0
130,0.0
131,0.0
132,0.0
133,36.5792274
134,0.0
135,0.0
136,410.80012
137,1414.2841398200003
138,141.50078109999998
139,150.31301249999999
140,0.0
141,2011.2474199999997
142,0.0
143,104.357106425
144,39.361371199999994
145,638.141046
146,0.0
147,629.040964
148,588.9140719999999
149,156.29048333333333
150,4.18842378
151,4.594845879999999
152,49.744661
153,516.2838019999999
154,0.0
155,8223.757720000001
156,0.0
157,1941.0937599999997
158,4.46938366
159,2.74655266
160,0.0
161,434.1443004000001
162,53959.411400000005
163,6.8176968
164,421.7293786
165,237.033592
166,13.351573239999999
167,49.3813725
168,3845.2047333333335
169,12083.113399999998
170,662.416838
171,186.67268
172,8.83407094
173,3.507963975
174,108723.79566666666
175,1.7662245250000002
176,0.0
177,0.0
178,240.3316133333333
179,2815.18388
180,12254.67834
181,10314.17046
182,1426.3108
183,0.0
184,15.27086324
185,0.0
186,0.0
187,0.0
188,581.7529
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,114.3114992
199,0.0
200,152629.6008
201,22104.264199999998
202,225420.1054
203,507779.304
204,9.210044666666667
205,3.23099514
206,38.329558399999996
207,5294.9676
208,602.053304
209,1455.3893379999997
210,0.0
211,0.0
212,643.657186
213,1429.90939
214,270.79922
215,2.53893746
216,0.0
217,0.0
218,116.00138159999999
219,0.0
220,23.3840406
221,0.0
222,176.85430720000002
223,8605.778234000001
224,0.0
225,851.258546
226,37.046334
227,0.0
228,0.0
229,0.0
230,74045.2176
231,0.0
232,337.0823794
233,644.5164520000001
234,0.0
235,121.42308
236,3499.04738
237,155.096561
238,3.9400508800000003
239,0.0
240,856.188786
241,0.0
242,0.0
243,0.0
244,10911.387279999999
245,1.9387524800000002
246,0.0
247,451.3186159999999
248,52.8175575
249,136.237384
250,2.18718592
251,0.0
252,90811.85133333334
253,282.44868
254,11404.857
255,0.0
256,0.0
257,12816.88576
258,4234.10793
259,0.0
260,841.35712
261,1212.0104800000001
262,0.0
263,0.0
264,0.0
265,16.602868666666666
266,10.9124888
267,55.7141312
268,3304.6416400000003
269,1.8377772333333333
270,9.18978132
271,4481.909808
272,0.0
273,0.0
274,6915.7909199999995
275,2486.2374028
276,0.0
277,7113.0786499999995
278,71.83035459999999
279,11443.068519999999
280,0.0
281,1383.7652400000002
282,2312.765454
283,0.0
284,3056.3688
285,240.46797399999997
286,2151.02915
287,17.30906498
288,0.0
289,0.0
290,0.0
291,4943.50458
292,0.0
293,1160.7042666666666
294,0.0
295,15.547685199999998
296,64.99996159999999
297,308.8794672
298,0.0
299,97721.3186
300,56.2471576
301,218.23612400000002
302,4448.276879999999
303,14.500269600000001
304,399.4945
305,1868.9908799999998
306,0.0
307,10286.27508
308,181.14545600000002
309,7419.889666666667
310,109.71807099999998
311,0.0
312,287.14159200000006
313,1.58595495
314,272583.76
315,47642.41359999999
316,681.25452
317,705.908136
318,0.0
319,0.0
320,0.0
321,28588.6898
322,6926.363219999999
323,939.755504
324,53.93448579999999
325,0.0
326,0.0
327,1065.66891
328,378827.65
329,136.237392
330,0.0
331,2.2581437999999996
332,0.0
333,47.6837976
334,1.54193684
335,0.0
336,0.0
337,111.44714200000001
338,1608.87166
339,17.8566003
340,16.92947775
341,172.97363
342,2672.0429
343,1771.224048
344,0.0
345,2.0058878
346,36.13351625
347,137.29163780000002
348,365.43625000000003
349,0.0
350,125.081983
351,0.0
352,440.217436
353,293.889674
354,509.6433500000001
355,58.882734199999994
356,1170.39815322
357,17952.979
358,1.56028316
359,601.0607200000001
360,0.0
361,66.67402560000001
362,70101.20300000001
363,11.8092745
364,98640.21960000001
365,68.1617948
366,58.909661400000005
367,1.54253485
368,1.5407608400000001
369,2381.48818
370,0.0
371,0.0
372,120.57422
373,115.350638
374,0.0
375,0.0
376,0.0
377,215.619902
378,280.42794599999996
379,12108.924280000001
380,0.0
381,78.35464499999999
382,55.369134599999995
383,0.0
384,0.0
385,1694.9024519999998
386,384.04541400000005
387,1.542573275
388,1624.5641799999999
389,504.081322
390,3.376142266666667
391,0.0
392,45.276327599999995
393,47.071177
394,0.0
395,193.734903
396,165.41344899999999
397,1.9027987750000002
398,1.54110942
399,718.05483356
400,2.5374904000000003
401,0.0
402,4557.7017399999995
403,0.0
404,58.8827268
405,2655.3873200000007
406,1.5521114400000002
407,461177.42300000007
408,0.0
409,730.2972666666666
410,8.183005560000002
411,341.44594400000005
412,49.879254333333336
413,51450.74739999999
414,533.6120269999999
415,13.923317
416,0.0
417,201.091722
418,2195.33848
419,2.7630286400000004
420,0.0
421,0.0
422,244.48906247999997
423,1.5417862000000002
424,1.5412711600000002
425,4701.913159999999
426,0.0
427,2497.46108
428,0.0
429,668.75109
430,315.8917575
