p6n,w6n
0,0
0,0
0.272842604,0.609356443
0,0
0,0
0,0
0,0
0,0
0,0.020080344
-0.525876582,1.087908119
0,0.416661003
0,-0.0006672
0,0
1.129482156,2.415168002
0,0.025223774
0,-0.122065245
0.037695911,0.558120213
0,0.412972914
0,0.043057641
0,-0.016316307
0.244880446,1.215202726
1.006300439,3.151344997
0.405543924,1.326919423
-0.037272718,0.204673468
0,0.869651382
0.675390202,2.202519389
0,0
0,0.096920817
0.070888825,0.158223253
0,-0.011056401
0,0.206950607
-0.25764885,0.432768015
0.030530431,0.434948834
0.357062416,1.251291308
0,0.148226792
0.1213049,0.422174436
0.395662548,3.111313293
0,0.282834766
0,0.208986552
0,0.28256837
0.628270858,2.466965429
0.612893016,1.703392676
0,0
0.437267656,1.344820971
-0.078477725,0.788385569
0,0.008503769
0.461986747,5.245981078
0,0.10073545
0.236097489,1.516507426
0,0.075738191
0,0
0,0
0,0.734647738
0,0
0.451745324,1.517128222
0,0.056450511
0,-0.042697529
0,2.280431105
0,0
0,0
0,0
0,0
0,0.111516639
0,0.023937702
0,0.092250405
0,-0.077918924
0,0.072361267
0.570554533,0.877995146
2.241847364,3.926041924
0.188964332,1.974091848
0.662649672,2.144710321
0.385400406,0.949472364
0.793748809,5.231598999
0.01159269,0.895157507
0.0589059,0.522850256
0,-0.186613036
0.183676858,1.624517519
0.22505557,1.136508663
0,0.504402126
0,0.499663177
0.059550252,0.940988848
0,0.023211184
0,0.132062153
0,0.050312046
0,0.046784599
0,0.22123387
0,-0.010686395
0,0
0,-0.011674852
0,0.506826269
0,0.518922753
0,0
0,0.282795186
2.976506082,7.515415511
0,0.078716542
0,0
0,-0.115871268
3.853115623,15.38521284
0.140961223,1.277249618
0.081657084,1.019345551
0,-0.04263453
0,-0.073946561
0,0.229310162
0,0.104471142
0.629406997,3.946386007
0.151670996,0.720281887
0,0.063611387
0,0
0,0.287887375
0,0.26863676
0,0.114457092
1.508985336,3.678427627
0,0.613337995
0.202123186,1.024518713
1.313933138,5.59824605
0,0
0,0.18832149
1.33013812,3.845858
0,-0.0416482
0,0.10741843
0,0
0,-0.170793359
1.233381117,3.160009268
0,1.379412497
0.654628573,1.400539641
0,1.430861983
1.011207461,3.902026863
0.114713134,0.769764998
1.110529612,1.94600917
0,0
0,0
0,0.182939932
0,1.093989636
0.199889777,0.75747545
0.573126165,1.577541093
1.387734778,2.949644606
0.41999618,1.645000257
0.166007374,0.590533751
0,0.197298375
0,0.209034601
0,0
0.084371978,0.91319403
0,0.21220992
0,-0.113833903
0,0.750561705
0,0.020746963
0,0.147491704
0,-0.033451719
0.162849507,0.347480575
0,0.074783661
1.81870694,2.21870694
