ID,D6N
1,0
2,0
3,1.833333333
4,0
5,0
6,0
7,0
8,0
9,1
10,4.5
11,1
12,2
13,0
14,7.166666667
15,4.166666667
16,1
17,9.5
18,3
19,1.833333333
20,1.166666667
21,7.833333333
22,11.16666667
23,4.166666667
24,4.666666667
25,4.166666667
26,8
27,0
28,1
29,4.333333333
30,1
31,2.666666667
32,3
33,2.833333333
34,4.2
35,1.25
36,2.833333333
37,19.66666667
38,1
39,1
40,3.666666667
41,6.166666667
42,3.333333333
43,0
44,4.666666667
45,18.83333333
46,1
47,17.16666667
48,1
49,12.83333333
50,1
51,0
52,0
53,4.2
54,0
55,4.5
56,1
57,1.666666667
58,6
59,0
60,0
61,0
62,0
63,2.833333333
64,1
65,1
66,2
67,1
68,1.5
69,8
70,12
71,11
72,3
73,23.66666667
74,9.5
75,6.666666667
76,2
77,22.5
78,8.166666667
79,2
80,6.833333333
81,5.166666667
82,1
83,3.166666667
84,1
85,1.333333333
86,2.666666667
87,1
88,0
89,1
90,2.5
91,2
92,0
93,1.5
94,16
95,2.5
96,0
97,1
98,76
99,5.833333333
100,7.5
101,1
102,1
103,1.2
104,2
105,22.5
106,3.25
107,1
108,0
109,1
110,2.5
111,2
112,11.66666667
113,1.6
114,9
115,52.66666667
116,0
117,1
118,14.5
119,1
120,3.75
121,0
122,1
123,9
124,5
125,5.666666667
126,9.333333333
127,12.66666667
128,4.5
129,4
130,0
131,0
132,1
133,5
134,3.5
135,6.166666667
136,8
137,15.83333333
138,3.5
139,4.5
140,1
141,0
142,13.5
143,2
144,1.75
145,2.833333333
146,1
147,2.2
148,1
149,3.666666667
150,1
151,3
152,1.833333333
153,2
154,2.333333333
155,0
156,5.6
157,0
158,4.166666667
159,2
160,1.5
161,0
162,5.833333333
163,31.16666667
164,2
165,5.5
166,4.166666667
167,1.5
168,1
169,3
170,11.2
171,2
172,1
173,1
174,1
175,37
176,1
177,0
178,2.2
179,3
180,12.83333333
181,8.666666667
182,15.33333333
183,9
184,0
185,1
186,0
187,0
188,1.833333333
189,2.166666667
190,1
191,1
192,0
193,0
194,0
195,5
196,0
197,0
198,0
199,2.5
200,0
201,38.33333333
202,16.5
203,31.83333333
204,83.83333333
205,1.6
