ID,I6N
1,0
2,0
3,1.56422975
4,0
5,0
6,0
7,0
8,0
9,1.2880718
10,2.176444167
11,1.2880718
12,1.639956517
13,0
14,2.493689467
15,2.11657945
16,1.28872358
17,2.686569583
18,1.89250665
19,1.5816299
20,1.347488467
21,2.555892383
22,2.778481
23,2.106995917
24,2.194429333
25,2.11020285
26,2.510688017
27,0
28,1.28549145
29,2.150946417
30,1.2848994
31,1.799316333
32,1.87996935
33,1.847317033
34,1.99271256
35,1.378783
36,1.855911633
37,3.07730815
38,1.28549145
39,1.287035325
40,2.032733133
41,2.051330467
42,1.95785785
43,0
44,2.190930867
45,3.030484917
46,1.2954766
47,3.009043583
48,1.28872358
49,2.8640988
50,1.293235667
51,0
52,0
53,2.12035404
54,0
55,2.1713148
56,1.28549145
57,1.523321267
58,2.39068616
59,0
60,0
61,0
62,0
63,1.856480183
64,1.2880718
65,1.2880718
66,1.644913925
67,1.289658
68,1.465619133
69,2.550651733
70,2.827698333
71,2.76660645
72,1.82559235
73,3.142080383
74,2.688020617
75,2.452829733
76,1.639956517
77,3.123225783
78,2.566028383
79,1.639956517
80,2.463959917
81,2.2730295
82,1.282907933
83,1.933217533
84,1.293235667
85,1.412069
86,1.811981717
87,1.2954766
88,0
89,1.2880718
90,1.769577817
91,1.6315827
92,0
93,1.465619133
94,2.99133906
95,1.75256505
96,0
97,1.2880718
98,3.447318533
99,2.3438013
100,2.510759317
101,1.2880718
102,1.28990116
103,1.35987152
104,1.6315827
105,3.1329765
106,1.953572975
107,1.28990116
108,0
109,1.28549145
110,1.771117967
111,1.609445967
112,2.81164445
113,1.50295796
114,2.649350667
115,3.385185333
116,0
117,1.2880718
118,2.931751967
119,1.28868898
120,2.04135235
121,0
122,1.28748848
123,2.655743683
124,2.256404317
125,2.342140767
126,2.6497548
127,2.790078783
128,2.1356966
129,2.1183271
130,0
131,0
132,1.289658
133,2.2791905
134,1.966046417
135,2.372840833
136,2.578113675
137,2.782616133
138,1.9373316
139,2.178583983
140,1.289658
141,0
142,2.8936877
143,1.6519766
144,1.54755605
145,1.857018433
146,1.2880718
147,1.64976098
148,1.2880718
149,2.023854
150,1.282907933
151,1.9033946
152,1.581647833
153,1.64292018
