,D7N
0,0.0
1,0.0
2,1.4285714285714286
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,4.142857142857143
10,1.0
11,2.0
12,0.0
13,6.0
14,3.7142857142857144
15,1.0
16,9.0
17,3.0
18,1.5714285714285714
19,1.0
20,6.714285714285714
21,10.142857142857142
22,3.7142857142857144
23,4.285714285714286
24,3.5714285714285716
25,7.6
26,0.0
27,1.0
28,4.0
29,1.0
30,2.2857142857142856
31,2.5714285714285716
32,2.5714285714285716
33,4.0
34,1.0
35,2.7142857142857144
36,18.857142857142858
37,1.0
38,1.0
39,3.4285714285714284
40,6.0
41,3.142857142857143
42,0.0
43,4.142857142857143
44,16.428571428571427
45,1.0
46,15.857142857142858
47,1.0
48,12.285714285714286
49,1.0
50,0.0
51,0.0
52,4.2
53,0.0
54,4.0
55,1.0
56,1.5714285714285714
57,6.0
58,0.0
59,0.0
60,0.0
61,0.0
62,2.7142857142857144
63,1.0
64,1.0
65,2.0
66,1.0
67,1.5
68,7.0
69,10.714285714285714
70,9.75
71,2.4285714285714284
72,20.285714285714285
73,9.285714285714286
74,6.142857142857143
75,1.7142857142857142
76,19.857142857142858
77,7.428571428571429
78,2.0
79,6.142857142857143
80,4.714285714285714
81,1.0
82,2.857142857142857
83,1.0
84,1.3333333333333333
85,2.5714285714285716
86,1.0
87,0.0
88,1.0
89,2.2857142857142856
90,2.0
91,0.0
92,1.5
93,16.0
94,2.142857142857143
95,0.0
96,1.0
97,70.42857142857143
98,5.428571428571429
99,6.714285714285714
100,1.0
101,1.0
102,1.2
103,2.0
104,20.714285714285715
105,3.25
106,1.0
107,0.0
108,1.0
109,2.2857142857142856
110,1.8
111,11.428571428571429
112,1.6
113,8.857142857142858
114,49.57142857142857
115,0.0
116,1.0
117,14.5
118,1.0
119,3.75
120,0.0
121,1.0
122,8.428571428571429
123,4.714285714285714
124,5.571428571428571
125,8.142857142857142
126,11.142857142857142
127,4.0
128,4.0
129,0.0
130,0.0
131,1.0
132,5.0
133,3.5
134,5.571428571428571
135,8.0
136,13.166666666666666
137,2.8333333333333335
138,4.142857142857143
139,1.0
140,0.0
141,11.428571428571429
142,2.0
143,1.75
144,2.7142857142857144
145,1.0
146,2.2
147,1.0
148,3.4285714285714284
149,1.0
150,3.0
151,1.5714285714285714
152,2.0
153,2.142857142857143
154,0.0
155,5.6
156,0.0
157,4.0
158,2.0
159,1.4285714285714286
160,0.0
161,5.833333333333333
162,26.428571428571427
163,2.0
164,5.0
165,4.0
166,1.4285714285714286
167,1.0
168,3.0
169,10.8
170,2.0
171,1.0
172,1.0
173,1.0
174,37.0
175,1.0
176,0.0
177,2.2
178,3.0
179,11.285714285714286
180,8.142857142857142
181,14.0
182,8.571428571428571
183,0.0
184,1.0
185,0.0
186,0.0
187,1.5714285714285714
188,1.8333333333333333
189,1.0
190,1.0
191,0.0
192,0.0
193,0.0
194,5.0
195,0.0
196,0.0
197,0.0
198,2.2857142857142856
199,0.0
200,33.42857142857143
201,15.857142857142858
202,29.571428571428573
203,78.85714285714286
204,1.6
205,2.2
206,1.7142857142857142
207,6.0
208,3.2857142857142856
209,3.142857142857143
210,0.0
211,0.0
212,2.7142857142857144
213,1.0
214,10.428571428571429
215,1.0
216,2.0
217,7.0
218,1.0
219,0.0
220,1.2857142857142858
221,0.0
222,3.857142857142857
223,3.857142857142857
224,1.0
225,6.333333333333333
226,1.0
227,0.0
228,1.0
229,0.0
230,29.714285714285715
231,0.0
232,3.2857142857142856
233,5.428571428571429
234,0.0
235,10.0
236,7.142857142857143
237,6.142857142857143
238,1.0
239,1.25
240,4.0
241,0.0
242,0.0
243,1.0
244,16.285714285714285
245,1.0
246,0.0
247,3.4285714285714284
248,1.0
249,1.0
250,1.8571428571428572
251,0.0
252,14.571428571428571
253,2.0
254,17.0
255,2.5
256,3.6666666666666665
257,11.0
258,4.0
259,0.0
260,10.285714285714286
261,11.428571428571429
262,0.0
263,1.0
264,0.0
265,4.0
266,3.857142857142857
267,1.0
268,5.857142857142857
269,1.0
270,2.0
271,5.285714285714286
272,1.0
273,1.0
274,9.857142857142858
275,10.285714285714286
276,0.0
277,39.2
278,7.285714285714286
279,12.571428571428571
280,26.0
281,1.0
282,13.0
283,0.0
284,6.428571428571429
285,1.0
286,5.714285714285714
287,1.0
288,0.0
289,0.0
290,0.0
291,6.142857142857143
292,0.0
293,2.0
294,1.0
295,6.714285714285714
296,1.0
297,2.857142857142857
298,10.0
299,52.2
300,3.142857142857143
301,1.7142857142857142
302,10.571428571428571
303,2.5714285714285716
304,2.5
305,7.285714285714286
306,0.0
307,12.142857142857142
308,6.571428571428571
309,4.0
310,2.5714285714285716
311,0.0
312,2.5714285714285716
313,1.6
314,15.8
315,10.6
316,2.0
317,2.2857142857142856
318,1.0
319,0.0
320,1.0
321,17.857142857142858
322,9.571428571428571
323,4.428571428571429
324,3.0
325,0.0
326,1.4285714285714286
327,34.5
328,148.28571428571428
329,1.1428571428571428
330,0.0
331,1.0
332,0.0
333,1.6
334,1.4285714285714286
335,0.0
336,3.0
337,3.142857142857143
338,7.428571428571429
339,1.7142857142857142
340,1.6
341,1.0
342,15.571428571428571
343,3.0
344,1.0
345,1.0
346,2.0
347,1.7142857142857142
348,1.0
349,5.428571428571429
350,2.0
351,0.0
352,2.0
353,2.0
354,3.2857142857142856
355,1.0
356,2.0
357,11.0
358,1.0
359,7.0
360,34.2
361,1.8
362,28.285714285714285
363,1.8571428571428572
364,55.42857142857143
365,2.2857142857142856
366,3.857142857142857
367,1.8571428571428572
368,1.0
369,6.285714285714286
370,2.6666666666666665
371,1.5
372,1.0
373,4.857142857142857
374,0.0
375,0.0
376,0.0
377,1.0
378,1.7142857142857142
379,21.857142857142858
380,1.0
381,1.0
382,1.0
383,8.5
384,0.0
385,3.142857142857143
386,3.5714285714285716
387,1.0
388,2.0
389,3.0
390,1.3333333333333333
391,1.0
392,3.142857142857143
393,1.1666666666666667
394,7.0
395,2.0
396,2.0
397,1.0
398,1.0
399,3.857142857142857
400,1.5
401,0.0
402,1.0
403,1.0
404,1.0
405,15.714285714285714
406,1.0
407,31.0
408,0.0
409,2.0
410,3.0
411,16.428571428571427
412,3.4
413,23.571428571428573
414,8.428571428571429
415,1.0
416,1.0
417,5.285714285714286
418,9.0
419,1.0
420,0.0
421,1.0
422,3.857142857142857
423,1.0
424,1.0
425,4.0
426,0.0
427,13.0
428,0.0
429,14.714285714285714
430,1.0
431,22.571428571428573
432,7.0
433,1.0
434,1.0
435,4.0
436,9.714285714285714
437,0.0
438,3.0
439,0.0
440,9.0
441,2.7142857142857144
442,1.5714285714285714
443,0.0
444,2.0
445,5.857142857142857
446,11.0
447,14.857142857142858
448,1.0
449,3.5714285714285716
450,1.2
451,1.8571428571428572
452,5.0
453,0.0
