,S7N
0,0.0
1,0.0
2,2200.0059072285717
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,2.1494217571428575
9,1228.0618554285716
10,451.2786343333334
11,2154.3514628571425
12,0.0
13,1374.9418514285715
14,1777.7022914285715
15,3.6088427199999997
16,19151.78495714286
17,1491.16975
18,337.30496600000004
19,12906.619294285716
20,118928.32892857143
21,60873.27864285714
22,27232.383257142857
23,17562.379885714287
24,14640.9298
25,50015.4746
26,0.0
27,25.882628999999998
28,38640.57
29,3349.5961500000003
30,195.12800125714284
31,3190.6284611428578
32,5338.337149999999
33,11192.593687999999
34,14.0249237
35,49959.088085714284
36,142786.8997142857
37,11.338967866666666
38,1113.4539413333334
39,9947.931474285715
40,136238.6093978
41,14179.939100857144
42,0.0
43,42128.022999999994
44,64775.654142857136
45,543.9255400000001
46,132577.09457142855
47,261.28355794
48,50603.39014285715
49,1152.50678
50,0.0
51,0.0
52,112.6400846
53,0.0
54,215.69068308571428
55,3.8419327666666665
56,2.7402454857142855
57,45471.74279999999
58,0.0
59,0.0
60,0.0
61,0.0
62,8630.476688142857
63,15.066327699999997
64,3217.695078571428
65,1507.0716499999999
66,1666.670575
67,64.17384583333333
68,190094.55914285715
69,12580.284700000002
70,20657.238599999997
71,362.9948598571429
72,256776.02285714287
73,51712.30737142857
74,111696.48028571428
75,253.38655285714285
76,3628.4286071428573
77,3206.8061600000005
78,3445.622892857143
79,10821.338075714286
80,2998.5152714285714
81,1.5406916666666668
82,6321.0068
83,434.06667999999996
84,451.91354500000006
85,2269.1190942857143
86,2936.2466
87,0.0
88,738.3729119999999
89,31645.245484285715
90,10600.560790000001
91,0.0
92,1873.8339049999997
93,1780356.02
94,3292.0784142857146
95,0.0
96,4.764789714285714
97,1816322.4485714287
98,15012.513132857144
99,62055.847311428566
100,17.8297688
101,17755.336199999998
102,5.93944106
103,1324.8954
104,223067.89857142858
105,19750.49625
106,275.345532
107,0.0
108,238.53068399999998
109,2055.700274071429
110,4957.305216
111,29049.50655714286
112,410.594366
113,52993.22125714285
114,821872.5038571426
115,0.0
116,653.8713687142857
117,360840.10300000006
118,1528.742734
119,1426.0499715
120,0.0
121,199.75016925
122,4443.910905714287
123,10701.574338571429
124,14924.093142857144
125,1277.7691014285715
126,411571.1273714286
127,3927.036631285714
128,1489.2256
129,0.0
130,0.0
131,41.855264500000004
132,59762.203
133,1304.5129341666668
134,16168.891057142857
135,70947.0655
136,42319.33001666667
137,4603.710292333333
138,1858.7270385714285
139,5121.26645
140,0.0
141,59161.211814285714
142,1039.9625
143,587.63928925
144,908.4948852857143
145,4115.510690714286
146,499.842292
147,1623.0014857142862
148,8100.330661428571
149,739.38819
150,85.49883279999999
151,211.8829078571429
152,374.397938
153,1606.6715514285713
154,0.0
155,65964.1076
156,0.0
157,15657.173306000002
158,39.276536428571426
159,8.702098728571427
160,0.0
161,1957.0858866666667
162,254455.79300000003
163,31.546308999999997
164,13208.082385714286
165,6487.7826428571425
166,75.29027542857143
167,284.173799
168,13141.668520000001
169,24360.26558
170,8711.614185714285
171,662.2005983333333
172,54.59754614285715
173,8.199551433333333
174,1195202.9466666665
175,1.7256225
176,0.0
177,1157.904956
178,698.9250233333333
179,47578.834157142854
180,79874.45041428572
181,154411.49085714287
182,16124.04742857143
183,0.0
184,507.8372313428572
185,0.0
186,0.0
187,6839.487481428571
188,3954.261733333333
189,124.92826050000001
190,13.020672999999999
191,0.0
192,0.0
193,0.0
194,3647.8581900000004
195,0.0
196,0.0
197,0.0
198,4231.116312857143
199,0.0
200,1161281.1918571428
201,266335.6412857143
202,1545138.6135714282
203,5871500.551428571
204,23.453427
205,11.499014399999998
206,502.57213
207,57110.8112
208,4278.4603371428575
209,5522.886885571429
210,0.0
211,0.0
212,4562.880214285714
213,10539.979733333334
214,6080.366100000001
215,3.1836259285714283
216,25888.05975
217,124472.94633333334
218,965.518745
219,0.0
220,157.82626992857143
221,0.0
222,1474.709802857143
223,14302.555157142857
224,964.3338000000001
225,23020.636083333335
226,115.97736056666668
227,0.0
228,566.5332333333333
229,0.0
230,831870.6120428572
231,0.0
232,2731.6666044999997
233,3220.0669301428575
234,0.0
235,83031.33625
236,23878.0687
237,1279.3339214285713
238,216.00816042857144
239,64.36788257500001
240,2365.168874285714
241,0.0
242,0.0
243,13.3850894
244,108688.08357142858
245,6.3120926285714285
246,0.0
247,6129.3896942857145
248,306.6322625
249,3217.69494
250,8.072141885714284
251,0.0
252,185369.7395957143
253,6774.7336399999995
254,54729.856414285714
255,34406.94896666667
256,30639.584958333333
257,47654.5252
258,52872.64238428571
259,0.0
260,18063.89694285714
261,20772.4227
262,0.0
263,128.37877166666667
264,0.0
265,71.34197585714286
266,1149.3724945714287
267,353.53785471428574
268,62125.339732857145
269,7.750664183333334
270,176.69666285714285
271,110778.39628571428
272,15051.92087
273,1.5789433000000002
274,38202.55479999999
275,18002.49595142857
276,0.0
277,104598.6488
278,1077.4321885714287
279,270000.5291428572
280,194813.02
281,8391.289600000002
282,15383.798828571433
283,0.0
284,15136.917442857144
285,1835.6052740000002
286,10858.079342857145
287,115.65778800000002
288,0.0
289,0.0
290,0.0
291,30996.317535714286
292,0.0
293,8639.29072
294,9.359722999999999
295,87.20322300000001
296,383.35762742857145
297,4605.312658571429
298,62617.081666666665
299,5522462.42
300,484.8496271428571
301,3686.6307457142866
302,107954.24321428571
303,74.010083
304,22029.047300000002
305,30559.492857142854
306,0.0
307,102055.26161428573
308,29288.291914285714
309,57911.06316666667
310,21851.377692857142
311,0.0
312,1866.4899142857143
313,18.63063976
314,3315410.04
315,208725.25900000002
316,4282.86545
317,2025.640382857143
318,6.159228639999999
319,0.0
320,5204.7528357142855
321,145429.2022857143
322,35220.66132557143
323,5035.342381857142
324,236.6428071428571
325,0.0
326,2.5030489285714284
327,35744.50683333334
328,5044436.88
329,2372.9353873714285
330,0.0
331,2.88069614
332,0.0
333,918.576016
334,1.8099345857142854
335,0.0
336,5384.943966666667
337,771.91374
338,17289.853014285716
339,162.15658271428575
340,53.431684860000004
341,5121.267375
342,14752.59337142857
343,39605.86727142857
344,11224.219200000001
345,3.8634507714285715
346,1539.9716162500001
347,726.2440457142856
348,2228.37715
349,3428.825127142857
350,2086.2288785714286
351,0.0
352,1272.4689328571428
353,1950.361097142857
354,1556.9665628571431
355,161.20413714285715
356,8829.667371428572
357,49619.2985
358,1.5574047500000001
359,4376.478291428571
360,791887.534
361,509.68737799999997
362,699288.1136142856
363,192.24044999999998
364,623689.8342857143
365,745.4262982857144
366,535.3392014285714
367,1690.3902914285713
368,1.5429983285714286
369,29025.331885714288
370,99.23249976666666
371,2367.1027495
372,238.53062775
373,2710.2927785714287
374,0.0
375,0.0
376,0.0
377,738.3729067142857
378,2053.464404285714
379,194776.296
380,219.139378
