ID,SC,DC,EC,IC,LAC,BC,NC
2219,1160752.8,110,0.28451228,3.1717887,1.290909,495676.5,13.03141
98,1046092.5,85,0.26975197,3.145641,2.8235295,395836.5,22.673744
3722,690539.94,49,0.219711,3.065045,4.4489794,132783.11,16.77619
2500,573355.2,61,0.20050387,3.1017797,2.1311476,246039.33,8.91307
2128,445608.38,48,0.17618436,3.0612204,1.7916666,82590.555,7.089412
4527,413472.38,33,0.1707066,2.9791512,2.5454545,136590.47,4.486039
2909,337125.84,31,0.15378413,2.9629545,3.7419355,66316.55,9.280404
1567,336661.62,47,0.15285867,3.05723,1.4042553,148131.52,5.7661963
2747,317140.22,137,0.13251701,3.1896253,0.16058394,745122.5,3.4016004
2707,267223.66,55,0.13449284,3.0852568,1.0545454,194544.78,4.1954613
204,238408.69,63,0.12450698,3.1066682,0.7936508,296406.9,3.7144616
1754,231520.31,32,0.12789822,2.9713142,1.9375,138558.6,3.850432
329,221305.98,89,0.12122524,3.1508377,0.80898875,378774.47,12.08171
577,214916.61,26,0.12295594,2.9130278,2.3076923,60582.52,3.763372
3661,191764.36,43,0.115841515,3.0396569,1.4883721,88794.7,7.30248
3578,175929.9,75,0.102305256,3.1306145,0.96,308391.9,7.6476655
3977,159970.7,16,0.10560626,2.7392995,2.5,41432.008,2.6666667
1570,149462.25,48,0.098054335,3.0612204,1.9583334,174178.77,8.682729
3418,148931.08,13,0.101955414,2.6479497,3.2307692,24391.219,3.5595238
5069,147956.11,14,0.101712435,2.681733,2.142857,34802.68,2.7307692
280,128242.62,11,0.09436345,2.5671017,2.5454545,7137.775,2.8
4055,123513.84,76,0.086145945,3.1322916,0.6315789,370203.06,6.071677
3968,113590.48,17,0.08931854,2.7640464,1.7647059,51268.883,2.0565476
616,110203.92,23,0.08823296,2.874307,2.4347825,29141.06,5.4957614
2388,105793.46,17,0.08646123,2.7640464,1.882353,31103.47,2.4097223
718,96073.44,8,0.08157203,2.3963768,2.75,7419.877,3.142857
2071,94751.234,23,0.081292465,2.874307,0.95652175,71367.3,2.2684634
365,93562.71,38,0.081043385,3.0129998,0.57894737,110764.836,1.4096615
2429,84532.75,24,0.07704843,2.888138,0.9166667,84411.8,1.383851
4124,73340.49,10,0.071810655,2.5181897,2.2,19585.629,2.4444444
3672,69927.57,79,0.06560165,3.13708,0.5316456,354825.84,6.888361
5054,67748.63,24,0.06894063,2.888138,0.16666667,42449.992,0.2638796
3920,65855.28,25,0.06792764,2.901039,1.52,78776.22,3.115218
4014,65175.785,11,0.06737702,2.5671017,1.2727273,19572.104,1.4
461,64009.664,9,0.066497624,2.4618704,0.8888889,14994.703,1
2191,63790.777,30,0.066797145,2.9540834,1,100956.055,2.207139
182,62589.816,14,0.06624055,2.681733,1.4285715,38450.43,2.1619658
2563,58669.473,23,0.06431061,2.874307,1.1304348,43559.312,2.2735603
4465,56247.254,7,0.06252388,2.3192317,0.85714287,5724.276,1
2001,54517.1,45,0.061260585,3.0487921,0.4888889,219310.89,2.045751
1747,54142.418,26,0.061526388,2.9130278,0.6923077,74331.914,1.2986264
615,50898.598,26,0.059847962,2.9130278,1.0769231,73033.32,3.329321
3491,50642.754,50,0.057740867,3.068691,0.72,212595.06,5.6547246
1025,48986.098,8,0.05845464,2.3963768,1.75,15238.357,2
1341,48750.074,13,0.05859552,2.6479497,0.7692308,31814.174,1
4353,47050.54,35,0.056880962,2.9937446,0.51428574,103840.45,3.1491272
3634,45056.844,30,0.053583343,2.9540834,1,86234.98,2.7123642
2570,44586.098,15,0.055121537,2.7120373,0.4,50409.473,0.45714286
1020,44114.617,7,0.055529576,2.3192317,0.5714286,28671.955,0.6666667
4034,42359.688,16,0.054382123,2.7392995,0.625,28207.873,1.3833333
694,41817.19,16,0.05393597,2.7392995,1.5,20346.805,3.8833334
3286,41739.273,33,0.054140877,2.9791512,0.060606062,87357.53,0.12142857
1625,41592.49,9,0.05411618,2.4618704,0.8888889,15748.5205,1.2083334
2586,40976.758,15,0.05377597,2.7120373,0.93333334,41660.16,1.4476191
1424,40215.99,21,0.052766237,2.8433695,0.6666667,75349.93,2.1464286
3300,38905.438,7,0.05195519,2.3192317,0.85714287,5607.299,1
3916,38631.65,8,0.0517958,2.3963768,1.75,1938.4581,2.0238094
3193,37642.188,11,0.05129644,2.5671017,1.0909091,26061.193,1.9833333
3839,37319.58,4,0.051006775,1.9758046,1,7082.333,1.3333334
