ID,SC,DC,EC,IC,LAC,BC,NC
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,1216.0927,1,0.001349418,1.2818854,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,2.049709,1,1.06E-05,1.2818854,0,0,0
9,2.2360883,1,1.73E-05,1.2818854,0,0,0
10,690.60004,1,0.001112083,1.2818854,0,0,0
11,1676.6335,2,0.001476206,1.6299068,0,524.1376,0
12,0,0,0,0,0,0,0
13,618.43353,6,0.000174,2.363155,1.6666666,619.2124,2.8
14,0,0,0,0,0,0,0
15,3.2551644,1,2.28E-05,1.2818854,0,0,0
16,16796.873,10,0.004836225,2.6936707,1,34670.895,1.2301587
17,0,0,0,0,0,0,0
18,493.2903,2,0.000947,1.6299068,0,735.747,0
19,35643.2,1,0.008150646,1.2818854,0,0,0
20,83826.81,7,0.011401216,2.467237,1.1428572,999.91235,1.3333334
21,48342.668,11,0.007108447,2.7497208,1.2727273,8840.358,1.9
22,64003.895,4,0.01094678,2.08215,1,3452.2322,1.3333334
23,14005.866,4,0.003795056,2.08215,0,7364.488,0
24,1496.542,3,0.001596798,1.8859326,0,1709.4949,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,11226.086,4,0.004298272,2.08215,0,2397.905,0
29,0,0,0,0,0,0,0
30,337.58456,3,0.000773,1.8859326,0,1561.5266,0
31,150.21683,2,0.00046,1.6299068,0,85.76867,0
32,853.316,3,0.001199217,1.8859326,0,1487.301,0
33,0,0,0,0,0,0,0
34,8.43705,1,8.09E-05,1.2818854,0,0,0
35,40180.914,2,0.008670046,1.6299068,0,2168.7249,0
36,164550.23,20,0.016446838,3.0490146,2.5,36985.047,5.6918716
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,12585.297,4,0.004214925,2.08215,0,7987.836,0
40,240136.75,11,0.021173635,2.7497208,1.4545455,8459.384,1.6222222
41,22339.105,4,0.00640986,2.08215,0.5,2852.5515,0.6666667
42,0,0,0,0,0,0,0
43,31986.396,4,0.00748667,2.08215,0,2977.229,0
44,5497.544,9,0.002929072,2.6293442,0,18120.295,0
45,0,0,0,0,0,0,0
46,205706.84,14,0.0194132,2.8817422,7.571429,1917.0585,9.624534
47,333.9587,1,0.000751,1.2818854,0,0,0
48,31174.398,10,0.00703052,2.6936707,0.8,29864.055,1.4555556
49,435.26193,1,0.000871,1.2818854,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,110.20037,5,0.000396,2.2373536,0,11423.735,0
53,0,0,0,0,0,0,0
54,21.847412,3,0.000123,1.8859326,1.3333334,66.589966,2
55,0,0,0,0,0,0,0
56,1.7263826,1,3.58E-06,1.2818854,0,0,0
57,48281.555,6,0.00944656,2.363155,0,7729.2466,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
