,I8N
0,0.0
1,0.0
2,1.39138384
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.2592943428571428
9,1.7819702625
10,1.26282835
11,1.5942910499999998
12,0.0
13,2.2437482799999997
14,1.9199404142857144
15,1.251380675
16,2.37334815
17,1.8429378499999998
18,1.4244526000000002
19,1.25465955
20,2.0817339375
21,2.5759403833333336
22,1.8547383000000002
23,1.8997049750000001
24,1.8098666857142856
25,2.2834398250000003
26,0.0
27,1.24858705
28,1.8288259999999998
29,1.26190435
30,1.57393725
31,1.5686613874999997
32,1.6006977428571427
33,1.979521225
34,1.2545577
35,1.6447614714285714
36,2.7477638875
37,1.24858705
38,1.24138175
39,1.6930932250000001
40,1.988125575
41,1.8257733666666667
42,0.0
43,2.0583263
44,2.6315346250000005
45,1.2408736999999999
46,2.704832475
47,1.2592257
48,2.5162113749999997
49,1.2650043333333334
50,0.0
51,0.0
52,2.0328273249999995
53,0.0
54,1.8493307375
55,1.24858705
56,1.349721857142857
57,2.321417725
58,0.0
59,0.0
60,0.0
61,0.0
62,1.6937796571428572
63,1.25844548
64,1.2597269333333332
65,1.6111906666666664
66,1.2545577
67,1.4353547249999998
68,2.1993829714285713
69,2.4090857375
70,2.4934027333333333
71,1.6234631833333335
72,2.9145863166666666
73,2.3901478000000003
74,2.028257125
75,1.3390703125
76,2.7833251875
77,2.1989272375000004
78,1.5080367749999999
79,2.127935485714286
80,1.9836793625
81,1.2612173
82,1.6507822624999997
83,1.27706965
84,1.2650043333333334
85,1.7247684428571428
86,1.2408736999999999
87,0.0
88,1.257113725
89,1.6391540833333333
90,1.5966228500000001
91,0.0
92,1.4416698499999998
93,2.8837294
94,1.563294214285714
95,0.0
96,1.2616024199999998
97,3.22762014
98,2.0005245857142855
99,2.2606171000000006
100,1.2616024199999998
101,1.2694869999999998
102,1.3526441249999999
103,1.5966228500000001
104,2.733919625
105,1.818630475
106,1.2694869999999998
107,0.0
108,1.2552457000000001
109,1.6321137399999999
110,1.422813525
111,2.5879077833333333
112,1.4420133749999997
113,2.4506135125
114,3.09382005
115,0.0
116,1.2601185833333333
117,2.8356339999999998
118,1.2585251400000002
119,1.9522320333333332
120,0.0
121,1.2460159333333332
122,2.47308584
123,1.93008805
124,2.145884225
125,2.261226614285714
126,2.5248160833333335
127,1.8510232857142859
128,1.9758046000000002
129,0.0
130,0.0
131,1.2545577
132,2.1149986000000003
133,1.89079276
134,2.2137459
135,2.4597745
136,2.4550750800000003
137,1.61562312
138,1.8035953142857142
139,1.25898175
140,0.0
141,2.4734119125
142,1.5640823
143,1.4780398000000001
144,1.723620483333333
145,1.257113725
146,1.5414484499999999
147,1.25722154
148,1.7074936285714284
149,1.2612173
150,1.8592297249999998
151,1.4259670666666666
152,1.609912675
153,1.5236568625
154,0.0
155,2.26195425
156,0.0
157,1.8598149499999999
158,1.4652762624999998
159,1.3751361666666666
160,0.0
161,2.174609333333333
162,2.9902678600000003
163,1.4971943714285714
164,2.0429726875
165,1.8669526125000002
166,1.4041871285714282
167,1.2552457000000001
168,1.8592297249999998
169,2.6128906
170,1.5439422142857142
171,1.2613085
172,1.2549508428571428
173,1.24858705
174,3.130223
175,1.25898175
176,0.0
177,1.5490394749999998
178,1.84151515
179,2.4334295875
180,2.279710475
181,2.5981781875000003
182,2.259528175
183,0.0
184,1.26349758
185,0.0
186,0.0
187,1.45611938
188,1.4186604
189,1.26282835
190,1.2516430499999998
191,0.0
192,0.0
193,0.0
194,2.13774
195,0.0
196,0.0
197,0.0
198,1.464552625
199,0.0
200,3.0698723
201,2.680997375
202,2.92001185
203,3.2134003625
204,1.4420133749999997
205,1.670524425
206,1.5029641799999998
207,2.32141765
208,1.75195225
209,1.8257733666666667
210,0.0
211,0.0
212,1.7611253166666667
213,1.2612173
214,2.50711075
215,1.25722154
216,1.585776
217,2.39176775
218,1.2576915199999998
219,0.0
220,1.3742973
221,0.0
222,1.7791680250000002
223,1.7995786
224,1.26190435
225,2.17705986
226,1.24858705
227,0.0
228,1.2612173
229,0.0
230,2.9026013833333333
231,0.0
232,1.8284310333333333
233,2.0544720714285716
234,0.0
235,2.398877
236,2.2213611249999996
237,2.2024749333333333
238,1.257113725
239,1.3621723
240,1.9462335142857143
241,0.0
242,0.0
243,1.2494891799999999
244,2.6468504625
245,1.2616024199999998
246,0.0
247,1.7066232249999997
248,1.2552457000000001
249,1.2597269333333332
250,1.5461758285714284
251,0.0
252,2.7726818333333334
253,1.5992678999999999
254,2.7729220875
255,1.7183964749999998
256,1.6547916
257,2.69344155
258,1.8019019625000001
259,0.0
260,2.61262848
261,2.68276364
262,0.0
263,1.27706965
264,0.0
265,1.9290979333333336
266,1.7714854125
267,1.2571344
268,2.0789470000000003
269,1.2634895199999998
270,1.594291
271,1.954518025
272,1.2574166999999998
273,1.2565638
274,2.438960185714286
275,2.485510733333333
276,0.0
277,3.1909304499999998
278,2.2906529625
279,2.4114477125000002
280,2.9130278
281,1.257113725
282,2.6014705142857144
283,0.0
284,2.2284832333333333
285,1.2584521799999997
286,2.2134965833333333
287,1.2694869999999998
288,0.0
289,0.0
290,0.0
291,2.0710376999999998
292,0.0
293,1.609912675
294,1.2408736999999999
295,2.2044594250000005
296,1.2573693142857143
297,1.5876117857142857
298,2.603979
299,3.243313
300,1.8550639125000001
301,1.3565571285714284
302,2.4359675500000004
303,1.6879314285714284
304,1.7232948666666668
305,2.1725349375
306,0.0
307,2.4194535375
308,2.2212703250000003
309,2.0286077000000002
310,1.6528776833333334
311,0.0
312,1.64018075
313,1.4420133499999999
314,2.881570925
315,2.6672115749999996
316,1.50575255
317,1.6062973285714286
318,1.254993375
319,0.0
320,1.25722154
321,2.8021174125
322,2.46770875
323,2.074573416666667
324,1.7167364
325,0.0
326,1.3914776399999997
327,3.05992502
328,3.305314057142857
329,1.2530542666666664
330,0.0
331,1.26948695
332,0.0
333,1.4107401499999999
334,1.39138374
335,0.0
336,1.7994295
337,1.6825981374999999
338,2.243489225
339,1.4894708
340,1.418992225
341,1.2545576666666667
342,2.6626457250000004
343,1.728241557142857
344,1.26139965
345,1.2594279428571427
346,1.593125075
347,1.4273265625
348,1.2544360666666665
349,2.1498907000000003
350,1.4991974857142856
351,0.0
352,1.452943575
353,1.5949139499999998
354,1.7999800285714287
355,1.2571729857142857
356,1.5972797599999997
357,2.4889161375
358,1.2574166599999999
359,2.2507622
360,3.08840335
361,1.4545734799999999
362,2.8479278875
363,1.4248751874999996
364,3.1427928
365,1.417094575
366,1.9813097799999997
367,1.4808163499999998
368,1.2546594999999998
369,2.2195627000000004
370,1.67750068
371,1.4353547249999998
372,1.2552456749999998
373,1.9176692874999999
374,0.0
375,0.0
376,0.0
377,1.2571137
378,1.3813661749999997
379,2.8364497625
380,1.2566087666666665
381,1.2770696
382,1.2601185499999998
