,L8N
0,0.0
1,0.0
2,0.4
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1.2583333375
10,0.0
11,0.0
12,0.0
13,1.48571426
14,0.0
15,0.0
16,0.725496055
17,0.0
18,0.0
19,0.0
20,0.8059524125000002
21,1.6835017
22,0.4666666666666666
23,0.0
24,0.0
25,0.95
26,0.0
27,0.0
28,0.21428571428571427
29,0.0
30,0.0
31,0.75
32,0.09523809999999999
33,0.5
34,0.0
35,0.2857143
36,1.9473557874999998
37,0.0
38,0.0
39,0.0
40,0.72727275
41,0.3888889
42,0.0
43,0.8400000000000001
44,0.28288691
45,0.0
46,5.7059874624999996
47,0.0
48,0.5525932462500001
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.029166675
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.5
68,2.1666666714285716
69,1.6854166875
70,1.0404040333333333
71,0.8333333333333334
72,0.4555555599999999
73,0.05714285714285715
74,0.54047619625
75,0.0
76,0.27043560875000006
77,0.5386904825000001
78,0.0
79,0.0
80,1.4416666499999997
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,2.75
94,0.0
95,0.0
96,0.0
97,1.8397058999999998
98,0.921088442857143
99,0.20740740666666668
100,0.0
101,0.0
102,0.0
103,0.0
104,0.7895292262499999
105,0.70833335
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,1.2555555666666667
112,0.0
113,0.9474206387500002
114,1.4855116625
115,0.0
116,0.0
117,0.5476190649999999
118,0.0
119,0.0
120,0.0
121,0.0
122,1.5288889200000002
123,0.0
124,1.17083335
125,0.0
126,1.0999999999999999
127,0.19047619999999998
128,1.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.8
134,0.742857148
135,0.873015885
136,0.36195570000000005
137,0.2
138,0.0
139,0.0
140,0.0
141,0.3238636375
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.5238095285714286
149,0.0
150,1.3333334
151,0.0
152,0.0
153,0.416666675
154,0.0
155,0.0
156,0.0
157,0.31666666666666665
158,0.0
159,0.0
160,0.0
161,3.967857
162,0.54452346
163,0.0
164,0.1
165,0.0
166,0.14285714285714285
167,0.0
168,0.0
169,2.01666665
170,0.0
171,0.0
172,0.0
173,0.0
174,0.8108108
175,0.0
176,0.0
177,0.0
178,0.0
179,0.21346154250000002
180,0.0729166675
181,0.587188865
182,0.31944444499999997
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.6274509833333334
201,0.39972663374999995
202,0.16432044875
203,0.67131085625
204,0.0
205,0.0
206,0.0
207,0.6666667
208,0.3750000125
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,1.2979055333333334
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.30476191428571425
224,0.0
225,0.35
226,0.0
227,0.0
228,0.0
229,0.0
230,0.98748475
231,0.0
232,0.7055555666666665
233,0.0
234,0.0
235,0.7
236,2.7470237875
237,0.0
238,0.0
239,0.0
240,2.0
241,0.0
242,0.0
243,0.0
244,0.62926694375
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,3.275
253,0.0
254,2.897694475
255,0.0
256,0.45
257,0.0
258,0.0
259,0.0
260,2.8444444
261,0.9844156000000002
262,0.0
263,0.0
264,0.0
265,1.9166666666666667
266,0.0
267,0.0
268,0.7537415142857142
269,0.0
270,0.0
271,0.1041666675
272,0.0
273,0.0
274,0.7900845428571428
275,1.5083333333333335
276,0.0
277,2.3238095000000003
278,0.29255953
279,1.3087121000000002
280,0.23076923
281,0.0
282,2.4257250428571426
283,0.0
284,0.0
285,0.0
286,0.13333333333333333
287,0.0
288,0.0
289,0.0
290,0.0
291,2.4749999750000002
292,0.0
293,0.0
294,0.0
295,0.411904775
296,0.0
297,0.0
298,0.6
299,0.7227826975
300,0.0
301,0.0
302,0.27689394125
303,0.0
304,0.0
305,0.22559524250000001
306,0.0
307,0.7239704874999999
308,0.24880953
309,0.5
310,0.0
311,0.0
312,1.25
313,0.0
314,5.8980395
315,0.381818185
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,2.7999254875
322,2.469230833333333
323,0.0
324,1.5714285714285714
325,0.0
326,0.0
327,1.0685714400000002
328,0.7200588457142857
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.9708333499999999
339,0.6666666666666666
340,0.0
341,0.0
342,1.544507575
343,0.6666666857142857
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,1.40333336
350,0.0
351,0.0
352,0.0
353,0.0
354,1.333333342857143
355,0.0
356,0.0
357,3.0900793624999996
358,0.0
359,0.09375
360,0.46396396999999995
361,0.0
362,2.0474464375
363,0.0
364,0.6338435075
365,0.0
366,2.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.5
372,0.0
373,0.1125
374,0.0
375,0.0
376,0.0
377,0.0
378,0.25
379,0.6622975425
380,0.0
381,0.0
382,0.0
383,0.19999999999999998
384,0.0
385,0.0
386,1.5952381142857146
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.45238095714285714
393,0.0
394,0.8719851857142858
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0857142875
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,1.36008675
406,0.0
407,4.83871
408,0.0
409,0.0
410,0.0
411,0.6206349285714285
412,0.0
413,3.8900797749999994
414,0.53541668
415,0.0
416,0.0
417,2.9125
418,0.4419643
419,0.0
420,0.0
421,0.0
422,0.08843537714285714
423,0.0
424,0.0
425,1.5
426,0.0
427,0.2545177075
428,0.0
429,1.2773809674999999
430,0.0
431,0.6520534037500001
432,1.2568027
433,0.0
434,0.0
435,0.0
436,2.4363095
437,0.0
438,0.0
439,0.0
440,3.5555556000000004
441,0.0
442,0.0
443,0.0
444,0.0
445,0.6666666666666666
446,1.2923521
447,1.4328114375000003
448,0.0
449,0.22222223333333332
450,0.0
451,0.0
452,1.2
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.4317460428571428
461,0.0
462,1.0125000124999999
463,0.5339105457142856
464,0.24642857499999998
465,0.0
466,0.0
467,0.51428574
468,0.0
469,0.0
470,0.0
471,1.5555555333333333
472,2.3833333333333333
473,0.0
474,0.179782998
475,0.21111111
476,0.4761904857142857
477,0.0
478,0.22857143333333332
479,0.2479343975
480,0.0
481,1.0
