,N8N
0,0.0
1,0.0
2,0.8
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1.75
10,0.0
11,0.0
12,0.0
13,2.12
14,0.0
15,0.0
16,0.88710317125
17,0.0
18,0.0
19,0.0
20,0.99583335
21,2.3505952333333338
22,0.6111111333333333
23,0.0
24,0.0
25,1.4575396999999999
26,0.0
27,0.0
28,0.2857143
29,0.0
30,0.0
31,1.25
32,0.14285714285714285
33,1.0
34,0.0
35,0.42857142857142855
36,4.130513162500001
37,0.0
38,0.0
39,0.0
40,0.8269841
41,0.5555555666666666
42,0.0
43,1.1833333400000001
44,0.6045725124999999
45,0.0
46,7.7535635875
47,0.0
48,1.63592175
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.510416675
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.0
68,2.7414965714285713
69,2.5648088125
70,1.537037
71,1.3333333333333333
72,0.9382754516666666
73,0.07256236285714286
74,0.65
75,0.0
76,0.9166346175000001
77,1.1177083250000002
78,0.0
79,0.0
80,2.120833325
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,3.2388888499999995
94,0.0
95,0.0
96,0.0
97,12.89618252
98,1.6595238285714287
99,0.25
100,0.0
101,0.0
102,0.0
103,0.0
104,1.2141364374999999
105,1.166666675
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,2.1995249833333332
112,0.0
113,1.1195436837500001
114,6.07244541875
115,0.0
116,0.0
117,1.66456045
118,0.0
119,0.0
120,0.0
121,0.0
122,2.51547624
123,0.0
124,1.9874999999999998
125,0.0
126,1.2120610666666665
127,0.2285714285714286
128,1.3333334
129,0.0
130,0.0
131,0.0
132,0.0
133,1.06666672
134,1.04000004
135,3.875
136,1.1707021
137,0.3
138,0.0
139,0.0
140,0.0
141,0.36428571249999997
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.9047619142857144
149,0.0
150,2.0
151,0.0
152,0.0
153,0.75
154,0.0
155,0.0
156,0.0
157,0.4166666833333333
158,0.0
159,0.0
160,0.0
161,5.067460333333333
162,1.3370052600000002
163,0.0
164,0.125
165,0.0
166,0.2857142857142857
167,0.0
168,0.0
169,2.793109625
170,0.0
171,0.0
172,0.0
173,0.0
174,3.2728506500000005
175,0.0
176,0.0
177,0.0
178,0.0
179,0.578977275
180,0.0857142875
181,1.2967758
182,0.47410715
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,1.6039699666666667
201,0.52088189625
202,0.332488405
203,3.62712705
204,0.0
205,0.0
206,0.0
207,0.8
208,0.645833325
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,2.090355966666667
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.4404762
224,0.0
225,0.61380952
226,0.0
227,0.0
228,0.0
229,0.0
230,2.1197379166666668
231,0.0
232,1.31944445
233,0.0
234,0.0
235,0.9551587500000001
236,3.7666666500000003
237,0.0
238,0.0
239,0.0
240,2.8095238
241,0.0
242,0.0
243,0.0
244,0.9074531412499999
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,5.616667533333334
253,0.0
254,5.656916475
255,0.0
256,0.5833333333333334
257,0.0
258,0.0
259,0.0
260,5.06621208
261,1.7001282
262,0.0
263,0.0
264,0.0
265,2.7777777666666665
266,0.0
267,0.0
268,0.9166666571428573
269,0.0
270,0.0
271,0.13333333749999998
272,0.0
273,0.0
274,2.3420634999999996
275,2.9016234166666663
276,0.0
277,11.053302749999999
278,0.36071429374999997
279,1.4687062999999998
280,0.26597825
281,0.0
282,3.0217147714285715
283,0.0
284,0.0
285,0.0
286,0.16666666666666666
287,0.0
288,0.0
289,0.0
290,0.0
291,3.2212797
292,0.0
293,0.0
294,0.0
295,1.0770833375
296,0.0
297,0.0
298,0.6736111499999999
299,2.2242388250000005
300,0.0
301,0.0
302,0.52718255
303,0.0
304,0.0
305,0.26726191
306,0.0
307,1.2343208749999999
308,0.32499999625
309,0.6666667
310,0.0
311,0.0
312,2.125
313,0.0
314,6.655833800000001
315,0.5166666799999999
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,4.437433287499999
322,2.9196489333333333
323,0.0
324,2.4285714285714284
325,0.0
326,0.0
327,5.320586359999999
328,15.433632000000001
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,1.1571428625
339,1.3333333333333333
340,0.0
341,0.0
342,3.0051767875
343,1.1428571428571428
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,1.83333332
350,0.0
351,0.0
352,0.0
353,0.0
354,2.0
355,0.0
356,0.0
357,3.5568542625
358,0.0
359,0.31369046625
360,1.44932805
361,0.0
362,4.4863086625
363,0.0
364,2.8705488
365,0.0
366,2.8
367,0.0
368,0.0
369,0.0
370,0.0
371,1.0
372,0.0
373,0.1458333375
374,0.0
375,0.0
376,0.0
377,0.0
378,0.5
379,1.8880338574999997
380,0.0
381,0.0
382,0.0
383,0.5555555333333334
384,0.0
385,0.0
386,2.3809523857142856
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.8095238142857143
393,0.0
394,1.2984126485714285
395,0.0
396,0.0
397,0.0
398,0.0
399,0.1041666675
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,3.9845238375000003
406,0.0
407,13.5148355
408,0.0
409,0.0
410,0.0
411,3.828081185714286
412,0.0
413,7.68428335
414,2.5
415,0.0
416,0.0
417,3.8125
418,0.86607144125
419,0.0
420,0.0
421,0.0
422,0.1047619057142857
423,0.0
424,0.0
425,2.0
426,0.0
427,0.36747662125
428,0.0
429,2.5254374000000004
430,0.0
431,1.23339717
432,1.5948979571428572
433,0.0
434,0.0
435,0.0
436,3.0821428625
437,0.0
438,0.0
439,0.0
440,4.0
441,0.0
442,0.0
443,0.0
444,0.0
445,1.5777777666666666
446,2.9011337714285714
447,2.14905772875
448,0.0
449,0.3333333333333333
450,0.0
451,0.0
452,1.5
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.5
461,0.0
462,1.3041666625
463,1.3176870857142855
464,0.541666675
465,0.0
466,0.0
467,2.13911765
468,0.0
469,0.0
470,0.0
471,1.8666666666666665
472,2.776271883333333
473,0.0
474,1.0578186425
475,0.25
476,0.7619047714285714
477,0.0
478,0.27777778000000003
479,1.13956259375
480,0.0
481,2.0
482,0.0
483,0.0
