row,col
10,3255
10,3471
12,1747
15,2625
15,3390
17,1078
17,1809
17,2466
17,3990
17,4594
21,204
21,507
21,1270
22,709
22,751
22,1754
22,2191
22,2500
22,3722
22,4003
22,4385
22,4828
23,475
24,2219
24,3156
26,204
26,735
26,1167
26,1969
32,361
32,3601
32,4718
33,3325
36,475
37,769
37,1102
37,1146
37,1702
37,2054
37,2650
37,3806
37,3866
45,1116
45,1413
45,1640
45,1701
45,2046
45,2491
45,2910
45,3876
45,3996
45,4837
45,5036
47,958
47,983
47,1046
47,1055
47,1942
47,2749
47,2819
47,2852
47,3224
47,3364
47,3683
47,4162
47,4525
49,480
49,1769
49,2001
49,2362
50,1413
55,646
55,1921
55,3655
55,4281
57,4569
65,2747
70,343
70,853
70,914
70,2224
70,3141
70,4817
74,1747
74,2362
74,3578
74,3963
75,630
75,3578
76,2111
77,78
77,79
77,1137
77,1278
77,2157
77,2561
77,3144
77,3308
77,3559
77,3846
77,3860
77,5035
78,1683
78,2662
78,4924
78,5035
79,2747
80,380
80,2747
81,1639
81,2111
81,2946
81,4761
81,5091
83,1419
89,3519
106,3390
106,4739
114,432
114,690
114,998
114,2744
114,2913
124,1881
124,4306
136,204
136,487
136,1005
136,2191
136,2321
136,2390
136,2575
136,2747
136,3742
140,2747
142,271
142,507
142,519
142,860
142,4108
146,2362
154,1029
162,895
162,1792
162,4042
164,3403
165,3148
165,4121
165,4790
166,2747
166,4442
166,4718
171,2747
176,2540
178,2650
180,1171
180,1565
180,2727
180,3904
180,3962
180,4198
180,4298
181,3208
182,4566
183,3014
183,3977
183,4846
202,630
202,709
202,903
202,916
202,1565
202,1746
202,3720
202,4034
202,4975
203,519
203,630
203,903
203,916
203,2086
203,2699
203,3401
203,3578
203,3728
203,4108
203,4353
203,4368
203,4663
203,4825
204,363
204,380
204,386
204,519
204,561
204,625
204,630
204,726
204,824
204,860
204,903
204,906
204,916
204,1008
204,1467
204,1469
204,1598
204,1665
204,1754
204,2570
204,2746
204,2910
204,2963
204,3002
204,3019
204,3092
204,3142
204,3371
204,3495
204,3554
204,3572
204,3578
204,3682
204,3720
204,3728
204,3863
204,4034
204,4108
204,4206
204,4324
204,4353
204,4527
204,4825
204,4826
204,4840
204,5005
209,2910
209,3433
224,884
234,2046
234,4291
234,4352
236,480
236,1559
236,2513
237,2223
237,3080
237,4117
237,5062
239,1107
241,3806
241,4827
245,625
245,3423
245,4386
250,2747
251,1985
251,3637
255,463
255,1653
255,1688
255,3173
255,3532
255,3814
255,4366
267,3076
269,3763
269,4825
271,3330
272,2556
274,4815
279,1062
279,2784
280,519
280,2219
280,2500
282,2219
286,625
292,992
292,1502
292,2362
292,2813
297,3371
301,930
301,2118
301,4799
304,1698
304,4735
309,1209
309,2458
309,2558
309,3148
309,4121
313,2489
313,3390
317,827
318,827
318,1209
322,617
322,625
322,1869
322,1885
322,2458
322,2650
322,2747
322,2945
322,3565
322,3866
322,4626
322,5076
330,2747
334,380
338,753
338,1843
343,912
343,2224
343,3141
343,3786
343,4817
344,3578
344,4756
347,916
348,827
353,1701
355,1146
356,3226
358,1332
358,1701
358,1896
358,4285
358,4354
360,4626
360,4718
361,386
361,824
361,874
361,1107
361,1415
361,1467
361,1469
361,1597
361,1598
361,1754
361,2348
361,2402
361,2699
361,2910
361,3002
361,3034
361,3371
361,3601
361,3682
361,3720
361,3925
361,3944
361,4108
361,4116
361,4654
361,4663
361,4718
361,4826
361,4840
362,3371
363,1171
363,3540
363,3603
363,4626
364,4352
366,3371
379,3532
380,818
380,902
380,2001
380,3112
380,3153
380,3763
380,4185
380,4825
380,4972
381,3034
386,2556
387,1758
387,3390
389,3578
390,3720
391,770
393,1078
393,1809
396,2001
396,3156
400,4811
405,3226
411,3559
411,3909
415,2768
415,3044
415,3810
424,3344
425,4958
428,569
428,1395
428,2262
428,2348
428,2513
428,3938
432,624
432,1163
432,1467
432,2380
432,2512
432,2889
432,3259
432,3716
432,3840
432,4095
437,1896
437,3535
442,794
442,3744
447,2625
447,4198
447,4611
447,4961
450,2747
450,2769
461,2219
461,2621
461,3228
461,4752
462,3371
463,2824
466,2165
466,3231
471,3519
475,487
475,760
475,903
475,929
475,965
475,1444
475,1450
475,2191
475,2519
475,2890
475,2970
475,3007
475,3074
475,3226
475,3746
475,3760
475,3847
475,3945
475,4123
475,4124
475,4235
475,4506
475,4756
480,884
480,1146
480,1347
480,1352
480,2749
480,2854
480,3004
480,3441
480,3728
480,3970
480,4280
480,4799
480,5089
481,2910
486,2272
487,1005
487,2034
487,2321
487,2390
487,2491
487,3742
487,4715
493,2749
493,4871
496,2687
496,2747
500,1626
500,1755
500,3752
500,4061
507,1209
507,1230
507,1467
507,1469
507,2687
507,3209
507,3572
507,3720
507,4353
507,4819
507,4975
507,5005
508,3452
517,558
517,888
517,3371
517,4717
519,1025
519,2034
519,2889
519,3500
519,3823
519,4819
521,1679
523,4311
523,4377
527,2987
527,3113
527,3519
528,2219
533,1639
533,2488
533,4236
536,1756
536,2401
536,3013
536,3854
541,646
541,1238
541,2224
544,2747
545,1688
545,3540
550,3495
552,2380
557,2143
558,619
558,2111
558,2431
558,2769
559,3806
561,874
561,1645
561,3154
566,2137
566,3133
566,4108
566,4206
567,1178
568,3578
568,3996
569,646
569,713
569,742
569,776
569,915
569,1414
569,2001
569,2219
569,2687
569,3866
569,3996
571,2650
571,3920
576,3578
581,1671
581,2747
583,3371
583,4251
588,2105
588,2362
590,4041
592,966
592,2458
596,1167
596,1618
596,1896
596,3186
596,3532
596,4285
597,930
597,3255
602,617
602,1415
602,2362
602,2747
602,3133
602,3511
602,4206
607,1419
607,2219
607,2909
607,3722
613,1062
615,930
615,2429
615,2435
615,2714
615,2765
615,3079
615,3728
615,4893
617,1148
617,1200
617,1502
617,2650
617,3565
617,3609
617,4390
624,998
624,1428
624,1846
624,2718
624,4198
624,4261
625,906
625,948
625,2601
625,2650
625,3728
625,3918
625,4139
630,1450
630,1565
630,1758
630,1969
630,2034
630,2362
630,2491
630,2510
630,2575
630,2871
630,2916
630,3012
630,3390
632,1062
643,3364
646,827
646,2001
646,2023
646,3655
646,3759
646,3766
646,3863
650,1661
650,4351
651,1301
651,2047
656,966
656,2380
666,865
666,992
666,1502
666,1688
666,1816
666,2362
666,2813
666,2945
666,3254
666,3362
666,3565
666,3734
666,3866
669,2820
673,3224
675,1062
678,2844
686,3132
690,2512
690,4353
690,4846
691,698
696,930
698,2137
704,2500
709,751
709,1754
709,2183
709,2219
709,2491
709,4385
709,4828
709,4965
713,3722
718,2219
718,2862
718,2909
724,1469
724,1618
724,2429
724,2740
724,3815
725,1347
725,1597
725,2998
725,3962
725,4441
726,3225
729,884
729,965
729,2402
733,1062
735,1167
735,1373
735,3233
735,3920
735,4141
740,2219
751,1754
751,2033
751,2183
751,2491
751,4385
751,4965
752,2001
753,2811
753,3687
753,4896
756,3513
760,2488
767,956
767,2404
767,3840
769,2883
769,3494
769,3806
770,4132
776,947
776,2370
776,3654
778,1633
780,867
780,1270
780,1805
780,2034
780,2510
780,3137
780,3325
781,3513
783,1363
783,3578
790,1747
790,3513
805,1469
805,2191
805,2501
805,2556
806,1633
806,2747
809,4353
810,2747
810,2909
810,3722
818,1746
818,3371
818,3491
824,2491
824,2575
827,906
827,1178
827,1346
827,1368
827,1565
827,1747
827,2633
827,2735
827,3783
827,4381
827,4783
827,4794
827,4817
827,5042
834,2219
853,1332
853,2219
860,1397
860,2491
862,2436
865,1816
865,3471
865,3822
865,4735
869,1413
869,3682
874,1701
874,2556
874,3154
883,2001
884,1013
884,1430
884,3441
888,4259
895,1792
895,2262
895,3235
895,4042
899,1463
899,1889
899,3390
899,3927
902,1008
902,3720
902,3728
902,4663
903,1296
903,1403
903,2034
903,2491
903,2556
903,2889
903,3208
903,3310
903,3687
903,3720
906,5005
911,3161
912,4206
914,2435
916,1969
916,2257
916,2575
916,3687
916,4075
929,3390
930,994
930,1413
930,2563
930,2586
930,3331
930,3493
930,3660
930,3976
930,3977
930,4235
930,4318
933,1317
947,2118
956,1079
956,2001
956,3826
956,3840
956,3975
956,4489
956,4511
958,1046
958,1942
958,2819
958,3224
958,3364
958,3683
960,4377
963,2697
964,2988
964,4213
965,2396
965,2506
965,2527
965,3441
965,5017
966,3604
966,3668
975,4837
977,3755
983,1046
983,1633
983,2687
983,3224
983,3364
983,3491
983,3492
983,3683
983,4579
983,4972
984,1653
984,2498
984,3944
991,1413
991,3208
992,1868
992,2362
994,1008
998,1146
998,1163
998,1889
998,2018
998,2489
998,2998
998,4071
998,4340
998,4394
1002,1922
1007,1055
1007,1747
1007,1860
1007,3491
1007,3512
1007,3513
1007,3975
1008,2262
1008,2491
1008,3225
1008,3585
1008,3799
1008,3807
1018,2747
1019,2219
1020,1219
1020,2219
1020,2747
1020,4574
1023,1100
1024,1051
1024,2579
1024,3331
1025,2219
